advantage_norm,policy_loss,PMM:episode_rewards,explained_variance,P09:episode_rewards,policy_entropy,grad_norm,fps,episode_length,frames,value_loss,P01:episode_rewards,epoch_idx
1.7350621682405472,0.010377496373403119,1.0,-3.1924020510911943,2.0,1.3125943072140216,2.9814956122230343,328,163.8695652173913,8000,0.05883887814337868,0.0,1
1.2058908458426594,0.002828476642025635,1.1910112359550562,-0.05609750509262085,3.0,1.371959249973297,0.2074571148217063,229,172.6067415730337,16000,0.013957302680446447,0.0,2
1.2455858057364821,-0.00018972101388499142,1.42,-0.016345174908638002,3.0,1.3823684084415435,0.21215676007452144,246,185.5,24000,0.014719324947855057,0.0,3
1.1120769641548396,0.0013890841678949072,1.26,-0.015366626381874084,3.1000000000000085,1.3819405496120454,0.1893493313070808,259,180.21,32000,0.012192561725250926,0.0,4
1.2215084265172482,0.002769928289344534,1.14,-0.017311941385269165,3.0,1.3814118897914887,0.24198628759269497,267,173.63,40000,0.014076449846288596,0.0,5
1.3041448064148426,-0.0003077900997595862,1.41,-0.030866400599479676,4.0,1.3824336814880371,0.22704486459836484,274,184.91,48000,0.015263585658212833,0.0,6
1.4482570745050907,0.00353617293672869,1.83,0.08614118933677674,5.0,1.3821524477005005,0.25722909482938383,277,199.25,56000,0.017302813227579462,0.0,7
1.3507063569128512,0.0042250739989685825,2.04,0.14405442595481874,5.1000000000000085,1.3788524770736694,0.27598897452307136,280,206.22,64000,0.015033441637642682,0.0,8
1.4958030986785888,-0.0031614146020729093,2.19,0.4760331922769547,5.1000000000000085,1.3474189257621765,0.44790514604964893,283,209.82,72000,0.0170484795543598,0.0,9
1.613117299079895,-0.0030609904183074832,2.68,0.6614123457670211,6.1000000000000085,1.3615492582321167,0.4706801571110717,285,228.7,80000,0.01899730816250667,0.0,10
1.441497790813446,-0.005776814852142706,2.41,0.7202633512020111,5.1000000000000085,1.3456850653886796,0.5331361310387956,284,219.81,88000,0.022552707708673552,0.0,11
1.288383664190769,-0.00036998866882640867,2.01,0.7737244588136672,5.0,1.3457164549827576,0.3974342531480237,285,209.71,96000,0.012099761775461957,0.0,12
1.3377647310495377,-0.0012795078780618496,1.79,0.8411212706565857,5.0,1.3570561635494232,0.40527977928678055,285,200.02,104000,0.0156679069774691,0.0,13
1.2580807828903198,-0.003931729976611678,2.0,0.8394288206100464,5.1000000000000085,1.3550902605056763,0.3678367855214914,286,202.49,112000,0.011432952720206231,0.0,14
1.130495558679104,-0.0014558244630461558,2.29,0.833927047252655,7.1000000000000085,1.3449064195156097,0.3102492083333798,285,211.71,120000,0.009337293871212751,0.0,15
1.138724047243595,-0.0031051176827168094,2.13,0.8789630931615829,6.1000000000000085,1.3582701253890992,0.3576410555497766,285,204.42,128000,0.010738308224244975,0.0,16
0.994285846054554,-0.0012898574004066177,2.37,0.9101973307132721,6.1000000000000085,1.3529604065418244,0.2725976405775146,286,215.91,136000,0.007186814852175303,0.0,17
0.9585697099566459,-0.002119973390363157,2.03,0.9149748253822326,6.0,1.352586110830307,0.3127785071024184,287,207.06,144000,0.007073556301183999,0.0,18
1.1400408798456192,0.0010554456379031762,1.94,0.8663459748029709,5.0,1.354356062412262,0.3317941871619918,288,203.09,152000,0.010757978125475347,0.0,19
1.0663849061727524,-0.007422902317339322,2.17,0.909060400724411,5.0,1.3285814464092254,0.4423673672492814,287,209.56,160000,0.016545236337115056,0.0,20
0.9657460528612137,-0.0015081557525263634,2.09,0.9067585957050324,5.0,1.34852383852005,0.32185910154884106,288,205.57,168000,0.01099756346317008,0.0,21
0.7705805635452271,-0.0020121565356384964,1.9,0.9344003665447235,5.0,1.3476038122177123,0.19987325831841,289,203.56,176000,0.004564601389574818,0.0,22
0.9871465280652046,0.0006899524174514227,2.04,0.9018261009454727,5.0,1.3452237462997436,0.310386268490048,289,210.2,184000,0.007748413512017578,0.0,23
0.760363994538784,-0.0016729261435102672,2.09,0.9610163688659668,5.0,1.3415139186382294,0.20694455571481454,289,210.89,192000,0.004323095359432046,0.0,24
0.9479865366220475,-0.0009642522485955852,1.74,0.9082162600755691,5.0,1.3565244174003601,0.25476173505161154,289,195.61,200000,0.006812760049942881,0.0,25
