grad_norm,epoch_idx,q_loss,policy_gradient_loss,frames,policy_loss,P01:episode_rewards,rollout_prob_std,avg_q_retraced,model_prob_std,advantage_norm,fps,PMM:episode_rewards,explained_variance,P09:episode_rewards,policy_gradient_bias_correction,episode_length,policy_entropy,avg_q_selected
0.026817561809844976,1,8.558678928238805e-05,3.095210950050386e-05,7200,3.095210950050386e-05,0.0,0.008036536304280162,0.0015741894068317683,0.008036536785463491,0.04358230829238892,364,0.0,-10.898514556884766,0.0,0.0,0,2.1929535706837973,0.0014388665085789398
0.4327743093035352,2,0.0016157852667068558,-0.00036238869653667887,14400,-0.00036238869653667887,0.0,0.036102366641474266,0.008220008974664477,0.03610236689758797,0.08579642015198867,395,0.0,-19.424950313568115,0.0,0.0,0,2.032205311457316,0.009736475600705792
0.006055102851345487,3,2.176490919130932e-05,6.742083730083929e-05,21600,6.742083730083929e-05,0.0,0.0036773207209383446,-0.0013313998167480653,0.003677320713177323,0.02340870170543591,433,0.0,-19.29053481419881,0.0,0.0,0,2.1964675903320314,-0.0013989625932784597
0.005787852674070437,4,1.3645137354008815e-05,-3.0939828078165496e-05,28800,-3.0939828078165496e-05,0.0,0.003969089329863588,0.00046875008702045305,0.003969089345385631,0.0221411288715899,455,0.0,-13.212060991923014,0.0,0.0,0,2.1964858690897624,0.0005069708492859112
0.0022179148572965247,5,4.2911344015313565e-06,1.2864825779009455e-05,36000,1.2864825779009455e-05,0.0,0.0018949568582077821,-0.00028030860606425754,0.001894956904773911,0.012276651275654634,472,0.0,-11.821948305765789,0.0,0.0,0,2.1970337788263956,-0.00029469475800093884
0.002441758036266249,6,6.033674965995791e-06,2.1798773741465993e-05,43200,2.1798773741465993e-05,0.0,0.002588038515144338,-0.0002713119979830481,0.00258803857723251,0.016297683430214722,484,0.0,-10.375343290964762,0.0,0.0,3325.0833333333335,2.1969134489695232,-0.00028656844836708235
0.0048283914910432464,7,5.425651727364311e-06,1.580006323441315e-05,50400,1.580006323441315e-05,0.0,0.002287407568655908,-0.0006302586208524493,0.0022874077044737835,0.01072321015720566,492,0.0,-10.154177284240722,0.0,0.0,3325.0833333333335,2.1963358720143638,-0.0006436210751417093
0.001996036547490271,8,5.449822670774059e-06,2.7005626604174417e-05,57600,2.7005626604174417e-05,0.0,0.001736908603925258,-0.0016071420318136613,0.0017369086970575153,0.012617606731752554,501,0.0,-10.54110058148702,0.0,0.0,3325.0833333333335,2.1970716953277587,-0.001584275239535297
0.0010488461963662024,9,2.8818850902704676e-06,2.3989113697098218e-05,64800,2.3989113697098218e-05,0.0,0.0016968461607272426,-0.0007558570563560352,0.0016968461490857105,0.01174631241398553,506,0.0,-8.652887709935506,0.0,0.0,3325.0833333333335,2.1970940987269083,-0.000767179253307404
0.001013669128842594,10,1.8993767990120128e-06,1.1225536848276837e-05,72000,1.1225536848276837e-05,0.0,0.0013897035426149766,-0.0005591417066170834,0.0013897035794798284,0.008468252187594772,512,0.0,-9.837648868560791,0.0,0.0,3325.0833333333335,2.1971192598342895,-0.0005647771956622213
0.0009974241493112086,11,3.022251654745863e-06,2.383306726490749e-06,79200,2.383306726490749e-06,0.0,0.0017774248476295422,-0.00040090159576114577,0.001777424851510053,0.012973932114740213,518,0.0,-7.912816937764486,0.0,0.0,3325.0833333333335,2.1970842440923053,-0.0003832734647100248
0.0007348810978673636,12,9.518945319086924e-07,2.7942020915361353e-05,86400,2.7942020915361353e-05,0.0,0.0009922324369351068,-0.000959892893054833,0.0009922324660389373,0.006697691713149349,522,0.0,-9.655859136581421,0.0,0.0,3324.2083333333335,2.197177267074585,-0.000962789250172591
0.002113488140122355,13,2.4515782314438185e-06,2.786857463282407e-05,93600,2.786857463282407e-05,0.0,0.001509705993036429,-0.0011238888662774115,0.0015097060124389828,0.007710101952155431,526,0.0,-11.07036919593811,0.0,0.0,3324.2083333333335,2.1969732602437335,-0.001137203637820979
0.0007566323680591582,14,2.2268562929639303e-06,3.740215417262031e-05,100800,3.740215417262031e-05,0.0,0.0010168569860979915,-0.0010330583415149401,0.0010168569860979915,0.0082714787684381,529,0.0,-11.244748894373576,0.0,0.0,3324.2083333333335,2.1971625010172526,-0.00106606301269494
0.0007619372681569875,15,1.9336978605603386e-06,2.2508783907445225e-05,108000,2.2508783907445225e-05,0.0,0.0014353357818132886,-0.0004923839742938678,0.001435335810917119,0.010859427251853048,533,0.0,-7.586802307764689,0.0,0.0,3324.2083333333335,2.1971378644307453,-0.0005201576389178323
0.00041533025074945624,16,7.310329702174083e-07,2.333218297584002e-05,115200,2.333218297584002e-05,0.0,0.0007524593995185569,-0.0007148182883004969,0.0007524594703378777,0.005723853843907515,535,0.0,-9.07509740193685,0.0,0.0,3324.2083333333335,2.1971937974294025,-0.0007324551319470629
0.0007132760569964221,17,1.935083367143875e-06,8.258078659671946e-06,122400,7.894988539318446e-06,0.0,0.004212794718575121,-0.0005891404416858375,0.0014400515010789536,0.010723828741099204,530,0.0,-7.957740856144162,0.0,-3.630901607754856e-07,3324.3611111111113,2.1971356907818054,-0.0005657622849932725
0.0005902289798306851,18,1.0015582140969371e-06,1.153820548618944e-05,129600,1.1178636470056459e-05,0.0,0.007445141468123192,-0.0009570524193363131,0.0009202966869541716,0.0063465688358585815,516,0.0,-8.992093924624578,0.0,-3.5956906204983314e-07,3324.3611111111113,2.1971762266991632,-0.0009358761317557694
