epoch_idx,approx_kl_divergence,PMM:episode_rewards,policy_loss,clip_fraction,P01:episode_rewards,policy_entropy,frames,fps,explained_variance,episode_length,grad_norm,P09:episode_rewards,value_loss,advantage_norm
1,0.10214642127325582,103.44827586206897,0.009730931584635982,0.2890380859375,20.000000000000007,1.691120640002191,10240,177,-0.04720174297690392,323.0689655172414,105.74324400272351,230.0,11.922871249780291,15.968718808889388
2,0.0025031578538801114,118.95161290322581,-0.0011999763242783955,0.18369140625,25.0,1.7326708450913428,20480,181,-1.4901161193847657e-09,322.9516129032258,0.386752791365051,225.0,0.01630849222710822,15.968717938661575
3,0.001763019132044974,139.40217391304347,-0.0019088397413725034,0.122412109375,25.0,1.7652716629207135,30720,186,-2.7567148208618165e-08,331.5,0.2739287565887694,275.0,0.01819747046974953,15.968718200922012
4,0.0010639160414740445,142.25,-0.0014428752705498483,0.061328125,0.0,1.76657952144742,40960,186,1.3411045074462891e-08,332.92,0.1550704783583955,277.5000000000002,0.01758251742212451,15.968717843294144
5,0.0003819144091664839,169.75,-0.0009731729151098989,0.006689453125,25.0,1.7786244764924048,51200,187,0.0,339.76,0.09416962598951858,377.5000000000002,0.022643941099522634,15.968718141317368
6,0.0003661257906525606,175.5,-0.001169533113079524,0.00654296875,25.0,1.7819093324244022,61440,186,-2.3469328880310058e-08,338.75,0.09251828742013532,407.5000000000006,0.01960345477418741,15.968718057870865
7,0.00020681777154010205,167.5,-0.0007964981352415635,0.0,25.0,1.7885371536016463,71680,187,-1.080334186553955e-08,336.13,0.07442817156286552,407.5000000000006,0.015554324844561051,15.968717968463897
8,0.00016881291413568534,164.25,-0.0005747987648646813,0.0,25.0,1.786013401299715,81920,186,2.6077032089233397e-09,335.76,0.07013969140249007,280.00000000000045,0.020365771412616595,15.968718081712723
9,0.00014222624751454306,152.5,-0.00048356268071074736,0.0,25.0,1.7840448006987573,92160,185,-2.6822090148925782e-08,338.05,0.07773024266982517,275.0,0.019604058208642527,15.968718028068542
10,0.00016220050640693983,166.25,-0.0006624722416745498,0.0,25.0,1.7791155502200127,102400,186,8.940696716308593e-09,340.52,0.07646563193942202,302.5000000000002,0.02145100409106817,15.968718206882476
11,0.0002376041288734143,171.0,-0.0008782022978266468,0.0009765625,25.0,1.7762566842138767,112640,186,1.4528632164001465e-08,341.55,0.082058156181013,325.0,0.020844967453740537,15.968718230724335
