epoch_idx,approx_kl_divergence,PMM:episode_rewards,policy_loss,clip_fraction,P01:episode_rewards,policy_entropy,frames,fps,explained_variance,episode_length,grad_norm,P09:episode_rewards,value_loss,advantage_norm
12,0.00012545441158060556,190.75,-0.00045206991671875585,0.0,25.0,1.7759132809937,122880,186,-9.685754776000977e-09,346.72,0.07344471574960074,335.00000000000085,0.020249054531450383,15.968718093633651
13,0.000126506439318419,201.5,-0.0004509803871769691,0.0,25.0,1.7794875413179398,133120,186,-1.1548399925231934e-08,349.72,0.07001983477624096,430.0000000000004,0.02137512440676801,15.968718057870865
14,9.301946355968482e-05,211.5,-0.0003229893758543767,0.0,25.0,1.7823332324624062,143360,186,-5.215406417846679e-09,348.8,0.07525218357139368,477.5000000000002,0.023182791366707534,15.968718141317368
15,0.00013416595431268164,180.25,-0.0005805956050608074,0.0,25.0,1.7879595324397086,153600,187,-1.30385160446167e-08,342.87,0.06848840086561706,377.5000000000002,0.020614068052964285,15.968717950582505
16,0.00012508104398563092,180.0,-0.0005156163048013696,0.0,25.0,1.7867667622864247,163840,186,4.470348358154297e-09,337.32,0.06823338398319598,405.00000000000045,0.019562938529998065,15.968718034029006
17,0.00018484032372825254,179.75,-0.0006343560293316841,0.0,25.0,1.78142179697752,174080,186,-5.587935447692871e-09,341.09,0.06871367344413633,355.00000000000045,0.01993548793834634,15.968717950582505
18,0.00017337039472451466,177.5,-0.0007827717498003039,0.0,25.0,1.7843453221023082,184320,186,-2.421438694000244e-08,333.67,0.07191048452959356,405.00000000000045,0.020020073678460905,15.968718099594117
19,0.00014121030341307517,174.5,-0.0006022981462592725,0.001123046875,25.0,1.7859905779361724,194560,186,-1.4901161193847656e-08,338.66,0.06949319594314725,305.00000000000045,0.01913834507286083,15.968718135356903
20,0.00012438302211918993,168.5,-0.00044145586944068784,0.0,25.0,1.7812479183077812,204800,187,-7.078051567077636e-09,333.54,0.07194224996716199,300.0,0.021891801999299788,15.96871829032898
21,0.00018567345058393415,163.0,-0.0008259816455392866,0.0011474609375,25.0,1.7812486380338668,215040,187,-4.097819328308106e-09,331.21,0.07567533394359596,300.0,0.019920165601070038,15.968718081712723
22,9.463081785892058e-05,183.5,-0.0003490134708044934,0.0,25.0,1.782899482548237,225280,187,-2.0861625671386717e-08,333.35,0.0680274220553071,350.0,0.02403389845858328,15.968718338012696
23,0.00015760064506018523,187.25,-0.0006127722961537074,0.0,25.0,1.785997535288334,235520,187,3.3527612686157227e-09,332.16,0.07048026650467457,355.00000000000045,0.0228477960859891,15.968718141317368
24,0.00011419557387135627,191.5,-0.0004949754023982677,0.0,25.0,1.7857289366424083,245760,187,4.8428773880004884e-09,332.94,0.06833158404918342,427.5000000000002,0.021132754554855637,15.968718177080154
25,0.00010072546822073036,187.75,-0.0004477795500861248,0.0,25.0,1.7827161803841591,256000,187,3.2782554626464846e-08,332.43,0.05568913004978724,450.0,0.017526534118223934,15.968717753887177
26,0.00010080075473624106,174.5,-0.0004048160948514123,0.0,25.0,1.7829972423613072,266240,187,1.7881393432617187e-08,331.71,0.054290656015282754,402.5000000000002,0.020159330574097113,15.968718153238296
27,0.00014608881627999892,171.5,-0.0006362114676448982,0.0,25.0,1.7816285513341428,276480,187,-1.9744038581848144e-08,332.75,0.05655341519683703,377.5000000000002,0.0230243288751808,15.96871845126152
28,8.452312393032457e-05,174.5,-0.00033074984748964197,0.0,25.0,1.7765405796468259,286720,187,-7.078051567077636e-09,336.8,0.0546449462962886,350.0,0.0204149300174322,15.968718057870865
29,0.00017229527900681775,168.0,-0.0007982573049957864,0.0,25.0,1.7819212898612022,296960,187,-1.3783574104309083e-08,333.67,0.05588958323045742,350.0,0.01644747426325921,15.968717843294144
30,0.00012063459627711381,157.75,-0.0005067983016488143,0.0,25.0,1.783056525886059,307200,187,-2.2724270820617674e-08,330.7,0.05469265515214618,350.0,0.01759766588220373,15.968718022108078
31,0.00015196887743336164,152.0,-0.000646081800095999,0.0,25.0,1.7860319770872592,317440,187,1.9744038581848144e-08,327.18,0.05679855521893122,327.5000000000002,0.020257456305262166,15.968718391656875
32,0.00010782981368056,167.5,-0.0005044013747465215,0.0,22.500000000000007,1.7825040519237518,327680,187,1.899898052215576e-08,334.9,0.058797956190837476,325.0,0.020518216147320346,15.968718141317368
33,0.0001646717264915054,160.25,-0.000789707883450319,0.0043212890625,25.0,1.781191836297512,337920,187,-1.3411045074462891e-08,333.07,0.057102923854824184,275.0,0.021300481003709137,15.968718135356903
34,9.850137733788956e-05,169.25,-0.00037983446854923387,0.0,25.0,1.78144970536232,348160,188,-1.7881393432617187e-08,333.82,0.05484095728387354,275.0,0.021509491815231742,15.968718147277832
35,0.00016197685718175592,180.5,-0.000708182711241534,0.0,25.0,1.7819860145449637,358400,188,7.078051567077636e-09,331.5,0.056871935663124,402.5000000000002,0.02034442080766894,15.968718093633651
36,0.0001535751633699789,205.5,-0.0005873475824046181,0.0,25.0,1.7858583323657513,368640,188,2.2351741790771484e-09,338.49,0.05518210796853865,500.0,0.025711619260255246,15.96871845126152
37,0.00015447686775722503,206.5,-0.0007453698824974708,0.0,50.0,1.7872230373322964,378880,188,1.899898052215576e-08,342.27,0.053566579929565226,500.0,0.02094491572934203,15.968717962503433
38,0.00015408588809400213,214.5,-0.0006544457361997047,0.0,50.0,1.7794457495212554,389120,188,-4.097819328308106e-09,346.0,0.05587084038128355,500.0,0.02219717045663856,15.968718123435973
39,0.000128805759352435,200.75,-0.0005009699929360067,0.0,50.0,1.7781731829047203,399360,188,3.3527612686157227e-09,343.63,0.05458704654816966,452.50000000000017,0.022422644984908403,15.96871822476387
40,7.992207245806071e-05,194.25,-0.00037630085280397906,0.0,50.0,1.7794392853975296,409600,188,1.825392246246338e-08,339.66,0.05428264190990506,405.00000000000045,0.020662436258862726,15.968718075752259
41,0.00011919511415108275,176.5,-0.000504681034362875,0.0,25.0,1.7836691334843635,419840,189,2.5331974029541015e-08,338.07,0.05674503860703865,330.0000000000004,0.017120580651680938,15.968718177080154
42,0.00017026390923859935,154.75,-0.0007557899331004592,0.0,25.0,1.7889098197221756,430080,189,-1.862645149230957e-08,331.89,0.055417085697026934,302.5000000000002,0.018642433098284526,15.968718099594117
43,0.00015441256832016137,154.5,-0.0008378743119465071,0.0,25.0,1.7804960109293462,440320,189,-1.4528632164001465e-08,333.56,0.05731529062201265,325.0,0.018965119232598228,15.968718039989472
44,0.00012576201435479106,146.5,-0.00039107399479689777,0.0,25.0,1.7742046169936656,450560,188,-1.9744038581848144e-08,331.18,0.05639631151768905,302.5000000000002,0.012795005957013928,15.968717813491821
45,0.0001033530426287399,129.5,-0.0004098823879758129,0.0,22.500000000000007,1.7840765170753001,460800,188,5.960464477539063e-09,323.57,0.054321924863076056,230.0000000000004,0.01382902954792371,15.968717861175538
46,0.00016289023217410658,113.75,-0.0007711230107815936,0.0,0.0,1.7856572791934013,471040,188,9.685754776000977e-09,318.61,0.05748795000631142,200.0,0.017873947860789486,15.968718039989472
47,0.00010300249796664218,137.0,-0.00042358225146017504,0.0,25.0,1.7804645858705044,481280,189,8.568167686462402e-09,321.98,0.05361631860192667,252.50000000000023,0.022304916597204284,15.968718099594117
48,0.00015443428025889715,155.5,-0.0006252026692891377,0.0,25.0,1.787589343637228,491520,189,1.4901161193847656e-08,330.67,0.058073117732277815,275.0,0.019496721113682725,15.96871811747551
49,9.835442450203402e-05,173.5,-0.00045034844661131503,0.0,25.0,1.7849424757063388,501760,189,-1.2665987014770507e-08,338.16,0.05599549779184695,300.0,0.022121155279455705,15.968718135356903
50,0.00010516608590336319,165.5,-0.0004495031254919013,0.0,50.0,1.7809994719922542,512000,188,-1.7508864402770997e-08,336.55,0.05674703966006399,300.0,0.018699470342835412,15.968717950582505
51,0.00013316894320141158,176.75,-0.0006521939099911833,0.0,50.0,1.784575241804123,522240,188,7.82310962677002e-09,334.61,0.05537750387344416,327.5000000000002,0.0211716232879553,15.968718099594117
52,0.00017641076475598537,189.5,-0.0007940114108350826,0.0,50.0,1.7738480508327483,532480,189,-1.7508864402770997e-08,336.88,0.05883523796066642,477.5000000000002,0.02242334306938574,15.96871812939644
53,8.69417850026366e-05,209.75,-0.00034149339444411453,0.0,25.0,1.7866022497415543,542720,189,-1.0430812835693359e-08,344.9,0.05593366686765294,550.0,0.0191126123041613,15.968717950582505
54,9.316625672468603e-05,205.75,-0.00045837652978661934,0.0,25.0,1.7846303276717663,552960,189,1.4901161193847657e-09,344.89,0.05639059387444508,552.5000000000002,0.02214407714782283,15.968718284368515
55,9.247754907732997e-05,190.0,-0.00037346787212300114,0.0,25.0,1.7814634941518306,563200,189,3.3527612686157227e-09,341.7,0.054610615728114396,477.5000000000002,0.021852627626503817,15.968718254566193
56,0.00011086243208673352,183.75,-0.0004744507936266018,0.0008544921875,47.50000000000001,1.7813234217464924,573440,189,1.1175870895385742e-09,339.83,0.05622049194060852,352.5000000000002,0.0213925005402416,15.968718135356903
57,0.00010999643129849801,200.5,-0.0004957595407176996,0.0,50.0,1.7856605790555478,583680,189,-1.862645149230957e-09,348.37,0.056346451254394456,382.5000000000007,0.021688479240401647,15.968718308210374
58,8.247459048185135e-05,189.75,-0.0003480964351183502,0.0,50.0,1.7808680899441243,593920,189,-3.054738044738769e-08,345.41,0.05483736942867941,327.5000000000002,0.023538914159871638,15.96871822476387
59,0.00013069734742074957,206.0,-0.0006377616798999952,0.0,50.0,1.7722621306777,604160,189,-7.450580596923828e-09,349.89,0.05800020507076799,375.0,0.02533295332104899,15.96871838569641
60,0.00012682808334076867,208.25,-0.0005914809160458389,0.0,75.0,1.7718748599290848,614400,189,-7.450580596923828e-09,349.46,0.053488774356625024,375.0,0.025172343238955362,15.968718278408051
61,9.613730184963032e-05,219.5,-0.0003831776473816717,0.0,75.0,1.7760650508105755,624640,189,-1.6391277313232423e-08,352.2,0.05670546356446907,402.5000000000002,0.0235630773648154,15.968718260526657
62,8.32147008281936e-05,212.0,-0.000352286904490029,0.0,75.0,1.7826071329414845,634880,189,-1.7136335372924803e-08,350.13,0.05221590889294003,402.5000000000002,0.022958254191325977,15.968718165159226
63,7.950844139124059e-05,203.0,-0.00036124661931467015,0.0,50.0,1.7842297039926052,645120,189,-1.4156103134155273e-08,349.13,0.05421593616344844,400.0,0.02270304816920543,15.968718272447585
64,0.00016246112712963167,190.75,-0.0007411634753225372,0.0,25.0,1.7779299050569535,655360,189,-5.215406417846679e-09,340.09,0.05658837800322679,425.0,0.017712181314709596,15.968718075752259
65,0.00011600560398861148,200.0,-0.0004766697074956028,0.0,25.0,1.7802846021950245,665600,189,-1.30385160446167e-08,339.13,0.05512155774938027,455.0000000000004,0.021827170642791317,15.96871817111969
66,0.00010726666885254587,202.75,-0.0005084678938146681,0.0,25.0,1.7822524838149547,675840,189,9.685754776000977e-09,338.05,0.05550895806792918,500.0,0.01908943272428587,15.968718063831329
67,0.00011496102888184368,194.5,-0.0004532097274932312,0.0,25.0,1.78666767552495,686080,189,-3.725290298461914e-09,338.18,0.055347352352509024,500.0,0.0213036427507177,15.968718248605729
68,7.491824488194964e-05,209.75,-0.0002913025553425541,0.0,25.0,1.7869246505200862,696320,189,5.215406417846679e-09,342.73,0.05306341260429902,480.00000000000045,0.02281518376839813,15.96871821284294
69,0.00012891160900068143,180.5,-0.0005544764684600523,0.0,25.0,1.7874632641673087,706560,190,-2.9802322387695314e-09,336.64,0.0589727368631616,427.5000000000002,0.017939807291259057,15.968717992305756
70,0.00011601441060236085,171.75,-0.0005077125566458563,0.0,25.0,1.788037323951721,716800,190,3.7252902984619143e-10,330.98,0.05625934231832179,427.5000000000002,0.019000715867150575,15.968718045949936
71,0.0001237513481928687,146.25,-0.0005751105134550016,0.0,25.0,1.7850624337792396,727040,189,-8.940696716308593e-09,326.8,0.05483067318150746,325.0,0.0174578899241169,15.968718016147614
72,0.0001041224336027824,151.5,-0.0004009265114291338,0.0,22.500000000000007,1.784957182407379,737280,189,-4.470348358154297e-09,331.01,0.05721891603213736,330.0000000000004,0.01828227158403024,15.968717992305756
73,6.939722661787328e-05,165.5,-0.0002984387996548321,0.0,25.0,1.7851958401501178,747520,189,6.7055225372314455e-09,339.4,0.05372967684171761,377.5000000000002,0.02018497497192584,15.968718099594117
74,0.00013164332572070946,170.0,-0.0006216773152118548,0.0,25.0,1.7811789318919182,757760,189,7.450580596923829e-10,341.59,0.05549652672531091,355.00000000000045,0.021262281719828025,15.96871801018715
75,0.0001298134982576471,174.25,-0.0005747484290623106,0.0,25.0,1.7854641400277615,768000,189,-9.313225746154785e-09,342.24,0.05662183934341557,327.5000000000002,0.019764754755306056,15.968717968463897
76,0.00011645843181469217,166.5,-0.0005007521649531554,0.0,25.0,1.7838483229279518,778240,189,1.9744038581848144e-08,339.27,0.052265821204481366,300.0,0.020853863522643224,15.968718153238296
77,0.0001160529901063967,175.75,-0.00047707194462418554,0.0,25.0,1.7833797462284564,788480,189,1.862645149230957e-09,340.84,0.0557748201288623,300.0,0.021488486620364712,15.968718153238296
78,9.582610413154669e-05,165.5,-0.0004511482788075227,0.0,47.50000000000001,1.785783775895834,798720,189,-2.458691596984863e-08,332.12,0.05336894794338106,300.0,0.019063880812609568,15.968718057870865
79,0.00017428083768962211,163.0,-0.000771306785827619,0.0,25.0,1.7840541794896125,808960,189,-1.4901161193847657e-09,331.02,0.055911111904403885,300.0,0.018003417925501707,15.968718063831329
80,0.00010376811355854443,169.0,-0.00043502708940650335,0.0,50.0,1.7862075865268707,819200,189,-2.644956111907959e-08,329.11,0.05612117768567393,302.5000000000002,0.021670654334593566,15.968718147277832
81,5.431745236617047e-05,183.5,-0.0002640059547047713,0.0,25.0,1.78401542827487,829440,189,-7.450580596923829e-10,335.45,0.05345154248386019,400.0,0.024866578166256658,15.968718421459197
82,0.00010558366152109144,206.75,-0.0004909817278530681,0.0,50.0,1.7789560928940773,839680,189,-7.078051567077636e-09,338.67,0.053340548306768744,452.50000000000017,0.02315298054891173,15.968718338012696
83,8.891625037108498e-05,203.75,-0.0003876702474371996,0.0,50.0,1.7754720643162727,849920,189,3.725290298461914e-09,341.62,0.054732010677537836,427.5000000000002,0.02182681725535076,15.968718087673187
84,9.495309269169638e-05,192.25,-0.0003935304506740067,0.0,50.0,1.7754243552684783,860160,189,-8.568167686462402e-09,331.17,0.054144739924608595,450.0,0.01935311111737974,15.968718093633651
85,0.00013309891066768387,172.75,-0.0005039972369559109,0.0,50.0,1.7812946297228336,870400,189,-2.458691596984863e-08,328.04,0.05701431384786192,405.00000000000045,0.020775406374013983,15.968718057870865
86,8.44131604344156e-05,197.25,-0.00037317945643735586,0.0,50.0,1.785504825413227,880640,189,3.3527612686157227e-09,332.61,0.05579269233438818,552.5000000000002,0.023915288597345354,15.968718260526657
87,7.592982527349079e-05,211.5,-0.0003028060577889846,0.0,50.0,1.7866001278162003,890880,189,3.129243850708008e-08,340.93,0.05326253354197824,552.5000000000002,0.02333516128710471,15.968718320131302
88,0.00019035853784128421,221.75,-0.0009794327237614199,0.0026123046875,50.0,1.7825332395732403,901120,189,-4.470348358154297e-09,341.66,0.05920174516955967,575.0,0.022897021047538147,15.96871834397316
89,0.0001232788199722279,197.5,-0.0005843213166372152,0.0,25.0,1.7805471189320088,911360,189,-8.195638656616212e-09,334.44,0.05535519095597844,455.0000000000004,0.020161160765565,15.968717974424361
90,0.00013411693624689746,171.25,-0.0005607003884506411,0.0,25.0,1.7794971652328968,921600,189,-2.0116567611694337e-08,329.1,0.05446014007319298,355.00000000000045,0.02010496556176804,15.968717950582505
91,6.224062756956527e-05,169.75,-0.00023449513737432425,0.0,25.0,1.7776242516934873,931840,189,-1.4528632164001465e-08,333.46,0.052313068921279474,355.00000000000045,0.02164392506238073,15.968718206882476
92,7.461741505814246e-05,177.5,-0.0002900803963711951,0.0,25.0,1.783327879011631,942080,189,-2.3096799850463868e-08,340.35,0.05351032441617933,350.0,0.02279064618924167,15.968718153238296
93,7.837978308025128e-05,177.0,-0.00036045875895069913,0.0,50.0,1.7841380700469016,952320,190,-1.7881393432617187e-08,343.06,0.05442255527442881,350.0,0.02066614383656997,15.968717986345291
94,0.00010854615522468692,170.0,-0.0004309070704948681,0.0,50.0,1.7856838583946228,962560,190,-2.421438694000244e-08,340.3,0.05378043515250304,327.5000000000002,0.017759737998130732,15.968718075752259
95,0.00011299161700328852,170.0,-0.0005682060600520344,0.0,50.0,1.7816619470715522,972800,190,2.2724270820617674e-08,337.37,0.05812172156613197,280.00000000000045,0.021411790946149267,15.968718272447585
96,9.181448307860052e-05,169.25,-0.0003351151248352835,0.0,25.0,1.7755318075418471,983040,189,1.1175870895385742e-08,336.18,0.05320172497910265,335.00000000000085,0.01799104436649941,15.96871793270111
97,0.00016060611118575707,169.0,-0.0008019139524549246,0.001171875,25.0,1.7853920206427574,993280,189,1.1548399925231934e-08,338.27,0.06009428817823549,402.5000000000002,0.01920331991859712,15.968718057870865
98,0.00011626329402698587,191.25,-0.0005464813326398144,0.0,25.0,1.782594995200634,1003520,189,-8.568167686462402e-09,344.15,0.05806588678741932,427.5000000000002,0.02368756044888869,15.968718320131302
99,9.43414893811223e-05,172.75,-0.00035013227061426734,0.0,25.0,1.787818618863821,1013760,190,-8.195638656616212e-09,333.04,0.055586027969971655,402.5000000000002,0.018891802040161564,15.96871801018715
100,7.706774380018544e-05,169.5,-0.0003340098017361015,0.0,25.0,1.7906096138060092,1024000,189,1.1175870895385742e-09,329.76,0.055435534257810185,357.5000000000007,0.016150299212313257,15.968717950582505
101,9.692900871698385e-05,159.0,-0.00046994286713015755,0.0,25.0,1.7894956842064857,1034240,190,2.905726432800293e-08,328.5,0.0547951208458987,355.00000000000045,0.019290649771573954,15.968718075752259
102,0.00011202414915914005,155.5,-0.0005772437805717345,0.0,25.0,1.7821855619549751,1044480,190,1.4901161193847656e-08,333.01,0.05669735707245251,325.0,0.021130396221997215,15.968718057870865
103,6.856820449705481e-05,164.25,-0.00023756660484650638,0.0,47.50000000000001,1.7779629103839398,1054720,190,1.0058283805847169e-08,336.97,0.05441751870039763,325.0,0.020215777869452722,15.968718039989472
104,0.00011699388019756896,185.25,-0.0005468223851494258,0.0,50.0,1.779642401635647,1064960,190,-1.0430812835693359e-08,340.8,0.05696766604585729,325.0,0.024354592722374946,15.96871834397316
105,0.00010233198741858019,190.25,-0.00044205657977727244,0.0,75.0,1.7805145502090454,1075200,190,-8.568167686462402e-09,342.25,0.05733640838267875,325.0,0.02307312783377711,15.968718177080154
106,8.073034747653196e-05,200.75,-0.00039189158833323744,0.0,50.0,1.7813076682388782,1085440,190,6.332993507385254e-09,345.07,0.05587427475707103,325.0,0.02077333534543868,15.968718111515045
107,0.00011725745532444875,183.75,-0.000602529273237451,0.0,47.50000000000001,1.7679697893559934,1095680,190,-1.1175870895385742e-08,343.77,0.05673282444103759,325.0,0.022239506579353474,15.968718200922012
108,7.849736163496601e-05,184.0,-0.00032969207713904323,0.0,25.0,1.7654555417597293,1105920,190,-9.685754776000977e-09,342.27,0.053700715581053785,277.5000000000002,0.022702933003893123,15.96871799826622
109,0.00011227784730181157,189.75,-0.0005321116899722256,0.0007568359375,25.0,1.775872039794922,1116160,190,1.3411045074462891e-08,340.7,0.058420903341822684,325.0,0.024914521965547463,15.968718272447585
110,9.796632667118388e-05,198.0,-0.00045419346715789286,0.0,47.50000000000001,1.7747597694396973,1126400,190,-1.3411045074462891e-08,344.32,0.05556084347913155,330.0000000000004,0.020021073566749693,15.968718081712723
111,0.00010019699321137666,190.25,-0.0004863167516305111,0.0,25.0,1.7775292471051216,1136640,190,4.8428773880004884e-09,338.68,0.05388047631549654,375.0,0.021761057266849092,15.968718177080154
112,6.623743956755135e-05,182.75,-0.00022467187336587812,0.0,25.0,1.7835765078663826,1146880,190,-4.470348358154297e-09,340.95,0.0532668349297203,375.0,0.024104677548166364,15.968718415498733
113,0.00010183474167062556,182.0,-0.0005008596195693827,0.0,25.0,1.7843134947121144,1157120,190,8.195638656616212e-09,340.91,0.05507020680283255,375.0,0.02234885861398652,15.968718141317368
114,6.626757295542518e-05,209.5,-0.00026068871757161104,0.0,25.0,1.7841650769114494,1167360,190,3.725290298461914e-09,345.26,0.0566445611577842,430.0000000000004,0.02119528623588849,15.96871817111969
115,9.884684644205777e-05,206.25,-0.00045758217966067604,0.0,25.0,1.7798478431999682,1177600,190,-2.644956111907959e-08,343.25,0.05767287697492812,502.5000000000002,0.023511926212813707,15.968718361854553
116,0.0001003002025434796,209.25,-0.0004330594678322086,0.0,25.0,1.7814928345382213,1187840,190,-1.899898052215576e-08,341.8,0.05586120673414189,525.0,0.02195198369445279,15.968718236684799
117,0.00010749831210432603,190.0,-0.0005309118027071235,0.0008056640625,25.0,1.7843647658824922,1198080,190,4.097819328308106e-09,340.44,0.05582223560772089,427.5000000000002,0.019071819246164523,15.968718063831329
118,0.00010350119795035084,190.75,-0.0004934308144584065,0.0,25.0,1.7886815071105957,1208320,190,5.215406417846679e-09,344.79,0.05611937870651258,427.5000000000002,0.019879950342874507,15.968718004226684
119,0.00017831297205859187,165.75,-0.0008691711325809592,0.0008544921875,50.0,1.78172522559762,1218560,190,-4.8428773880004884e-09,335.56,0.0602950607698006,325.0,0.017926621687365696,15.968718039989472
120,7.458220030009954e-05,160.0,-0.00033732410229276867,0.0,47.50000000000001,1.7812613822519778,1228800,190,1.4156103134155273e-08,331.24,0.053032724058993695,325.0,0.01681638014561031,15.968718111515045
121,5.59191454865271e-05,143.25,-0.0002113657959853299,0.0,47.50000000000001,1.7867325998842716,1239040,190,4.097819328308106e-09,326.91,0.05441360053381563,300.0,0.018082133901771158,15.968717867136002
122,9.140545585246684e-05,151.25,-0.0004513128813414369,0.0,25.0,1.7850494906306267,1249280,190,-2.2724270820617674e-08,332.31,0.05431867540161979,300.0,0.019728571426821873,15.968717807531357
123,8.204065516927982e-05,183.5,-0.00034532621612015646,0.0,25.0,1.781247092038393,1259520,190,-1.080334186553955e-08,340.17,0.05639921612813074,450.0,0.02349701162893325,15.968718338012696
124,8.858224064081099e-05,179.75,-0.00039087411423679443,0.0,25.0,1.7843423821032047,1269760,190,1.1920928955078126e-08,336.97,0.05498180471970053,405.00000000000045,0.01807111989473924,15.96871811747551
125,9.37212373102625e-05,172.0,-0.00047268527632695625,0.0,25.0,1.78233290463686,1280000,190,-1.7508864402770997e-08,334.52,0.054668587508612344,350.0,0.020477185971685685,15.96871812939644
126,0.00010198538655785683,156.25,-0.0004431605113495607,0.0,25.0,1.7893210612237453,1290240,190,1.0430812835693359e-08,330.91,0.0531259087705232,302.5000000000002,0.021770917787216605,15.968718087673187
127,0.00011553591342519098,169.75,-0.0005673174749972531,0.0,25.0,1.7858779422938824,1300480,191,-1.080334186553955e-08,330.59,0.05654383895803737,350.0,0.019251560882548802,15.968718034029006
128,9.450922167388853e-05,166.75,-0.00042050592637679076,0.0,25.0,1.7834132954478263,1310720,191,1.3783574104309083e-08,328.24,0.05550969651771019,300.0,0.02097246591001749,15.968718200922012
129,7.422861050070395e-05,157.25,-0.0003273032338256598,0.0,25.0,1.7867101438343524,1320960,190,6.332993507385254e-09,327.95,0.05439266935994667,275.0,0.019464584610250312,15.96871811747551
130,9.171138145340763e-05,150.0,-0.00043398612451710504,0.0,25.0,1.789638055115938,1331200,190,-1.6763806343078613e-08,329.33,0.05655154056950833,275.0,0.01775959560472984,15.968718016147614
131,8.7195837797438e-05,153.75,-0.0003810942376730964,0.0,25.0,1.7883978374302387,1341440,190,-2.7567148208618165e-08,331.92,0.05591233696300313,252.50000000000023,0.019281002951902337,15.968718087673187
132,0.00010100721305557059,149.75,-0.0004861547611653805,0.0,25.0,1.7859812431037425,1351680,190,3.7252902984619143e-10,329.44,0.05884619770334788,277.5000000000002,0.01705874362087343,15.968717974424361
133,9.314708220635737e-05,154.75,-0.0004341790441685589,0.0,25.0,1.788068976253271,1361920,191,-2.868473529815674e-08,329.35,0.053701704031410016,325.0,0.017834614959429018,15.968718057870865
134,8.027816904814245e-05,160.25,-0.0003536560951033607,0.0,25.0,1.7862060748040676,1372160,190,-9.313225746154785e-09,327.85,0.054356482234417566,352.5000000000002,0.019000989352934993,15.968717986345291
135,0.00015113908266535249,194.25,-0.0007636790505785029,0.0,25.0,1.788005942851305,1382400,190,-5.960464477539063e-09,337.13,0.05749924589986927,500.0,0.023095883271889762,15.968718183040618
136,0.00013907619427619978,187.0,-0.0006648585782386363,0.0,25.0,1.7874156549572944,1392640,190,-1.1175870895385742e-09,338.92,0.05607854658053334,477.5000000000002,0.018668686493765563,15.968717920780183
137,6.401795885970784e-05,187.5,-0.0003271471585321706,0.0,25.0,1.7837272420525552,1402880,190,-7.450580596923828e-09,341.85,0.05477126353164487,427.5000000000002,0.020583819874445908,15.968718159198762
138,0.00011852458989842773,187.5,-0.0005714284872738063,0.0,47.50000000000001,1.7839203849434853,1413120,190,5.960464477539063e-09,340.99,0.054302473952089134,402.5000000000002,0.024780690181069077,15.968718302249908
139,7.959427133328312e-05,186.5,-0.0004134491289732978,0.0,25.0,1.782749642431736,1423360,190,5.215406417846679e-09,339.16,0.05501593466589254,425.0,0.01798121711181011,15.968718189001084
140,6.771526246271976e-05,185.25,-0.0002956327189167496,0.0,25.0,1.7817369110882282,1433600,190,3.3527612686157227e-09,339.09,0.054520687545783944,425.0,0.02168858913355507,15.968718081712723
