fps,approx_kl_divergence,advantage_norm,value_loss,clip_fraction,epoch_idx,policy_loss,grad_norm,frames,explained_variance,P01:episode_rewards,PMM:episode_rewards,P09:episode_rewards,episode_length,policy_entropy
562,2000569.3374967936,15.968704783916474,169051068.38743052,0.2087158203125,1,0.03371753716414787,291787761.14734685,10240,-0.5229826405644417,0.0,27.34375,72.50000000000006,291.03125,0.06840127479092172
514,0.04247085219244866,15.950644862651824,0.0003746913999544242,0.038427734375,2,0.0011533713972880833,0.03883314830711242,20480,-4.097819328308106e-09,0.0,12.32394366197183,25.0,288.49295774647885,0.03937539336586866
501,0.0,15.87006049156189,0.00084920788318668,0.0,3,-2.1937247822734208e-07,0.05115963611303481,30720,-2.16066837310791e-08,0.0,5.75,0.0,287.62,2.8070032698224168e-06
486,0.0,15.938407546281814,1.1729888891122816e-05,0.0,4,3.287660092610167e-07,0.0044904908362012035,40960,-1.30385160446167e-08,0.0,0.0,0.0,286.36,7.0808378325182275e-06
480,1.2019540918117854e-11,15.961798638105392,0.001270998191730406,0.0,5,1.479822344663262e-06,0.0558803051604294,51200,1.862645149230957e-09,0.0,0.0,0.0,286.47,0.00035780064351058626
479,0.07658030045977035,15.9011841237545,0.0004816980969660864,0.1201416015625,6,0.002638564824428613,0.027341041103979606,61440,-1.4901161193847657e-09,0.0,1.0,0.0,286.43,0.2109488742888061
474,0.010253484462145935,15.968716269731521,0.004432177765318101,0.253271484375,7,0.001692031276616035,0.04075720177495819,71680,-1.2665987014770507e-08,0.0,21.75,75.0,290.97,1.0379618670791388
470,0.0061372899589514415,15.968693143129348,0.004328822292057976,0.2179443359375,8,0.0002812228885886725,0.032089883423624996,81920,2.0489096641540527e-08,0.0,42.75,75.0,295.36,1.1976943895220757
470,0.005523398533728141,15.968716889619827,0.004385829022521648,0.2082275390625,9,0.0006070062150683953,0.038157459006951736,92160,-1.2665987014770507e-08,0.0,66.0,150.0,301.39,1.2820410318672657
467,0.00441804906527068,15.968586879968644,0.0029692668556434597,0.2133056640625,10,1.625119002710562e-05,0.03549660953868656,102400,2.0116567611694337e-08,0.0,57.25,127.50000000000021,299.33,1.2346201047301293
465,0.005735884410933067,15.968713909387589,0.0045915480576155685,0.280517578125,11,-0.0004132389414735371,0.037853273108621965,112640,-1.825392246246338e-08,0.0,55.75,125.0,298.39,1.3823995806276799
464,152430062419.7474,15.968713772296905,3548566346.1697073,0.287158203125,12,0.004402942492015427,9473064413.073584,122880,-0.09328975379467011,0.0,57.75,125.0,300.24,1.4192502747755498
466,0.004371656455953143,15.968717139959335,0.005571449494709668,0.277880859375,13,-0.00035638246445159896,0.04507266576234083,133120,0.0,0.0,69.75,150.0,303.92,1.4922429591417312
468,0.003828278179435074,15.96871787905693,0.008559095586315379,0.2250732421875,14,-0.0008525124314473942,0.05198612295444135,143360,2.9802322387695314e-09,25.0,95.25,200.0,311.5,1.5939696341753007
468,0.003829856550646582,15.96871691942215,0.009413645713175356,0.2706298828125,15,-0.0012359199521597476,0.05487076970262226,153600,1.3783574104309083e-08,25.0,130.75,275.0,317.71,1.5997428938746452
467,0.004009461991950047,15.968717628717423,0.009411896056826663,0.2497802734375,16,-0.00163751530344598,0.051967982389153865,163840,7.450580596923828e-09,25.0,162.25,325.0,330.64,1.51779962182045
468,0.002750429970285495,15.968717551231384,0.00923660170592484,0.1983154296875,17,-0.0009913364596286557,0.05078121625222748,174080,9.313225746154785e-09,25.0,165.5,302.5000000000002,334.05,1.5036771297454834
467,0.0035199397344399586,15.968717682361603,0.010718651720435447,0.227197265625,18,-0.001280779745138716,0.05021761161795831,184320,-4.470348358154297e-09,50.0,191.75,425.0,347.72,1.5592487402260304
467,0.0034791987992150554,15.96871775984764,0.010631584355360246,0.24716796875,19,-0.0022308309096843006,0.04832649645790289,194560,-6.7055225372314455e-09,50.0,188.25,327.5000000000002,342.88,1.5034426502883433
466,0.003158325253458827,15.968717622756959,0.011041344083787407,0.2154052734375,20,-0.0007056289345200639,0.05377132237576482,204800,7.450580596923828e-09,72.50000000000001,218.5,477.5000000000002,358.47,1.4974286042153835
467,0.003446112565552539,15.968717563152314,0.01081092882923258,0.191650390625,21,-0.0012682218017289414,0.048268253178015155,215040,5.587935447692871e-09,75.0,239.25,527.5000000000002,363.97,1.5150773115456104
466,0.0027097671691876713,15.968717873096466,0.01130725547700422,0.18759765625,22,-0.0010919426240434404,0.05285283948544415,225280,7.450580596923829e-10,72.50000000000001,249.75,577.5000000000002,365.91,1.5612448818981648
467,0.003504342384087522,15.968717527389526,0.007798351032374739,0.19111328125,23,-0.001040491474850569,0.046522228290288445,235520,1.6391277313232423e-08,50.0,217.75,575.0,353.4,1.5466864712536335
466,0.0047001511846474385,15.968717575073242,0.005722048362804344,0.2687744140625,24,-0.0010752274305559696,0.046643018631713454,245760,-5.587935447692871e-09,25.0,168.5,380.00000000000045,334.72,1.6353453323245049
465,0.0034222022099584136,15.968717449903489,0.006203619956704642,0.267431640625,25,-0.001296495829228661,0.05043422746800835,256000,9.313225746154785e-09,0.0,120.5,250.0,322.52,1.6814672999083995
464,0.0040550929834353155,15.968717497587203,0.005993249002290213,0.2506103515625,26,-0.0011194970789802027,0.04868432023712901,266240,-1.9744038581848144e-08,0.0,113.0,302.5000000000002,319.97,1.6542247623205184
464,0.002168098734682644,15.968717807531357,0.010451450301843579,0.1487548828125,27,-0.0006988510198425501,0.05013096674224728,276480,1.3783574104309083e-08,0.0,141.75,375.0,330.95,1.6104752175509929
464,0.003147298107523966,15.968717753887177,0.007026641465927241,0.19658203125,28,-0.0006576011350261979,0.049078459018308006,286720,-1.4901161193847657e-09,25.0,150.25,400.0,332.08,1.4757496632635594
463,0.002832276360834385,15.96871725320816,0.007185084333923441,0.2129638671875,29,-0.00110069528745953,0.050111523655995416,296960,-2.2351741790771484e-09,47.50000000000001,168.75,475.0,334.04,1.5222843997180462
461,0.0030376263423363527,15.96868816614151,0.003593460700627915,0.2069580078125,30,-0.0006237787019927055,0.04655938678929088,307200,1.0058283805847169e-08,0.0,116.25,287.5000000000011,318.23,1.5168803356587888
461,0.002906816999848161,15.968717676401138,0.008900011562764121,0.200146484375,31,-0.0005162970213859807,0.0530433742814725,317440,-9.313225746154785e-09,0.0,118.25,252.50000000000023,317.21,1.6297890402376651
461,0.0023075504130815718,15.968717777729035,0.01290236346394522,0.1758544921875,32,-0.0008310241402796237,0.05397012148111487,327680,-1.1548399925231934e-08,0.0,140.5,300.0,327.92,1.652177544683218
461,0.0023706475868948474,15.968717992305756,0.013748640340054408,0.183056640625,33,-0.0009531079274893272,0.057433098259336755,337920,-1.3411045074462891e-08,25.0,189.5,327.5000000000002,345.77,1.6115963548421859
462,0.0027987109202058493,15.968717765808105,0.01374591911853713,0.2073486328125,34,-0.000957148597080959,0.057623043293515974,348160,-1.5273690223693846e-08,75.0,243.0,377.5000000000002,361.78,1.5969380587339401
462,0.002562870165638742,15.968717515468597,0.012853655853541568,0.1666015625,35,-0.0010196826904575573,0.054550756364552686,358400,-1.4901161193847656e-08,125.0,249.75,377.5000000000002,361.85,1.4931972995400429
461,0.0025143097110230882,15.968717795610427,0.012806021089636488,0.1850830078125,36,-0.0011343601363478228,0.05432844177365258,368640,8.940696716308593e-09,125.0,237.5,375.0,353.2,1.474252449721098
