fps,advantage_norm,episode_length,approx_kl_divergence,epoch_idx,PMM:episode_rewards,grad_norm,P01:episode_rewards,clip_fraction,P09:episode_rewards,policy_entropy,value_loss,frames,policy_loss,explained_variance
252,15.968718457221986,330.8666666666667,61644.2710602896,1,191.66666666666666,85613222.83311045,150.0,0.18955078125,327.50000000000006,0.07864402917122373,40324902.78469856,10240,0.045832117546251536,-0.1916579432785511
247,15.968715703487396,326.46031746031747,0.0027571373986599924,2,169.84126984126985,1.4359593542662232,150.0,0.0012939453125,245.0000000000001,0.0059549713358102,0.10727212746733131,20480,3.2060471130535004e-05,-1.3411045074462891e-08
262,15.968715453147889,331.3763440860215,0.014307358345017462,3,163.70967741935485,0.23288257409437377,150.0,0.103955078125,175.0,0.3176621850579977,0.011753941685299196,30720,0.0038735137477488024,-8.940696716308593e-09
269,15.968717861175538,333.29,0.0036092884628260435,4,149.75,0.16992983055533561,125.0,0.1049072265625,152.50000000000023,0.7322580147534609,0.01139385067508556,40960,0.0014618233177316141,1.4901161193847657e-09
273,15.968717670440673,338.95,0.003572777975466579,5,147.25,0.1293777331970952,125.0,0.1118408203125,175.0,0.7623453754931688,0.010713538264099043,51200,-0.00023899944389995653,-3.7252902984619143e-10
272,15.968717300891877,345.22,0.0035184447180313327,6,152.0,0.11862171808061979,125.0,0.1037841796875,175.0,0.8015862993896008,0.010287822459554263,61440,0.0001698954976745881,-1.6763806343078613e-08
274,15.968717861175538,339.27,0.002554636948298139,7,148.0,0.09648015325680698,122.5,0.13408203125,175.0,0.9404033858329057,0.0101993256888818,71680,-8.628516770841088e-05,-1.4901161193847657e-09
275,15.968717753887177,332.2,0.003014842609536572,8,141.0,0.08587884524919502,75.0,0.1549072265625,175.0,0.9853398680686951,0.008846708850614959,81920,-0.00041165015172737183,1.862645149230957e-09
277,15.968717783689499,316.45,0.0029629802069337076,9,116.5,0.0691212055391821,50.0,0.164306640625,175.0,1.0266845315694808,0.007445902435210883,92160,-0.0008698992740391986,-5.587935447692871e-09
277,15.968717110157012,307.84,0.0023950561823284033,10,97.75,0.048563156570659585,25.0,0.119287109375,150.0,1.0738985866308213,0.006164714356691548,102400,-0.0005655554790791939,-1.0058283805847169e-08
277,15.9687171459198,301.29,0.002428579903124728,11,78.5,0.042788261879681586,25.0,0.12998046875,150.0,1.0155623108148575,0.005169557853946571,112640,-0.00046506128092005383,1.862645149230957e-09
277,15.96871196627617,297.21,0.0037118840582479606,12,63.0,0.04152976851547216,22.500000000000007,0.2012451171875,125.0,0.9788861129432916,0.003459388177583378,122880,-0.0013190349758588128,6.7055225372314455e-09
277,15.968714690208435,296.57,0.0033823865462537126,13,60.25,0.04146837672565448,0.0,0.2146484375,127.50000000000021,1.0949665550142527,0.005420950942170322,133120,-0.0007963278854731471,3.7252902984619143e-10
277,15.968717169761657,292.31,0.002162045003967705,14,60.0,0.03975329462558426,0.0,0.117333984375,125.0,1.0721970912069083,0.0051294336083969935,143360,-0.0004034171997773228,-1.4901161193847657e-09
277,15.96871521472931,293.59,0.0027360951971559188,15,64.75,0.03536486447478117,0.0,0.1220703125,127.50000000000021,1.031016105785966,0.0035804901304288704,153600,-0.00015039729478303344,4.470348358154297e-09
277,15.96871110200882,292.66,0.0030564769742170484,16,58.0,0.035463493833469285,0.0,0.1564697265625,125.0,1.0344068784266711,0.004719384470088528,163840,-0.0007073542885336793,-1.1175870895385742e-08
276,15.968677616119384,290.39,0.0025190570033601033,17,53.5,0.029484118688913274,0.0,0.1283203125,125.0,0.9394793421030044,0.0035622367523921563,174080,-0.0006856832304038107,-1.1175870895385742e-09
276,15.968716448545456,290.86,0.005218185848298163,18,55.0,0.040704675241155445,0.0,0.24765625,125.0,1.1615176681429147,0.0045580746056430145,184320,-0.0009474125436099712,1.30385160446167e-08
275,15.9687169611454,291.42,0.00333554214950027,19,59.0,0.04415096623781982,0.0,0.2089599609375,125.0,1.1576388031244278,0.005075464918127182,194560,-0.0007107089040800929,2.2351741790771484e-09
276,15.968716192245484,295.79,0.003144575774706482,20,78.5,0.046345650360482056,0.0,0.236962890625,150.0,1.2413290314376355,0.005488387470936118,204800,-0.001150098491598328,-1.6391277313232423e-08
276,15.96871770620346,295.61,0.00215079168963257,21,83.75,0.04162151285586542,0.0,0.1427001953125,175.0,1.1393518552184105,0.006119642007797665,215040,-0.0004957166536769364,-9.313225746154785e-09
276,15.968716502189636,298.31,0.002908230988896321,22,94.0,0.04943314630345229,0.0,0.1876953125,200.0,1.2605395875871181,0.006381591171680157,225280,-0.0004998147960577626,-3.725290298461914e-09
276,15.968717896938324,307.9,0.0027641308670126818,23,122.0,0.06165565237664903,0.0,0.2066650390625,250.0,1.371571334451437,0.012452441303685191,235520,-0.0006998368047788972,-1.899898052215576e-08
276,15.968717813491821,322.68,0.0023752408685254523,24,154.0,0.056009691001783324,25.0,0.1758056640625,325.0,1.3806707046926021,0.012746448882535334,245760,-0.0014471106223936658,1.9744038581848144e-08
276,15.968717747926712,335.99,0.0018677001968399054,25,196.5,0.052422988307270844,25.0,0.1242431640625,400.0,1.369432906061411,0.012795990862650796,256000,-0.0006097745637816843,-7.450580596923829e-10
276,15.968717902898788,343.36,0.002150349499495974,26,214.0,0.05747440525697911,50.0,0.16171875,400.0,1.3506121776998044,0.01333391291263979,266240,-0.0011293935931462329,-5.960464477539063e-09
276,15.968717801570893,347.62,0.0028224034919105633,27,219.75,0.05951138827135066,50.0,0.215625,400.0,1.35371553003788,0.01165035336089204,276480,-0.0018930171192550916,-3.3527612686157227e-09
276,15.968717843294144,345.91,0.0024157960902641664,28,206.5,0.05632602843247064,50.0,0.17421875,332.5000000000006,1.3545802995562553,0.011925996669742745,286720,-0.0009703434971015668,-5.960464477539063e-09
276,15.968718039989472,361.96,0.002570487944467459,29,238.0,0.058016620303798117,75.0,0.1627685546875,482.5000000000007,1.346715785562992,0.015566428386955522,296960,-0.0011321941805363168,-3.725290298461914e-09
276,15.968717849254608,358.82,0.0025372543867774764,30,253.0,0.057280987444875364,75.0,0.1446044921875,502.5000000000002,1.4224024660885335,0.014959004250704311,307200,-0.0008253395240899408,-8.568167686462402e-09
277,15.968717944622039,356.79,0.002887013304075481,31,250.5,0.05623008655794641,50.0,0.179248046875,527.5000000000002,1.4600004687905312,0.011252971427165904,317440,-0.0008228723272623029,-9.685754776000977e-09
277,15.96871782541275,356.22,0.0021054247216852674,32,239.25,0.05310392388069925,97.5,0.1463134765625,455.0000000000004,1.4027270555496216,0.013677898643072695,327680,-0.0010938597355561797,-8.568167686462402e-09
277,15.968718111515045,354.04,0.0021422672016797152,33,234.5,0.05258588935851709,97.5,0.131298828125,502.5000000000002,1.3809755526483058,0.01578052165568806,337920,-0.000707102279557148,-1.4528632164001465e-08
277,15.968717813491821,361.88,0.0023298800681061495,34,249.75,0.05089025661839003,125.0,0.136962890625,405.00000000000045,1.4175107911229134,0.01509349116240628,348160,-0.0006459603719122242,1.4528632164001465e-08
277,15.968717950582505,363.74,0.003101311168325083,35,267.25,0.05663747372053566,150.0,0.1767578125,452.50000000000017,1.4621823877096176,0.01449546517978888,358400,-0.0011770391167374328,-2.7939677238464355e-08
277,15.968717950582505,362.98,0.002776636190549198,36,269.0,0.0552914901120611,150.0,0.184814453125,427.5000000000002,1.4756213217973708,0.01516767455759691,368640,-0.001656008745339932,1.899898052215576e-08
278,15.968717920780183,366.96,0.0023960020392735258,37,280.25,0.054988596681627575,150.0,0.15029296875,525.0,1.4192542247474194,0.014996707438695012,378880,-0.001049618352408288,-1.0430812835693359e-08
278,15.968717950582505,366.68,0.002187483370244081,38,279.0,0.05808694564921746,150.0,0.137060546875,525.0,1.4935678295791148,0.015553286642534659,389120,-0.000719906726226327,-2.0116567611694337e-08
278,15.968717789649963,365.01,0.0028990045152340826,39,267.75,0.055885933493009944,125.0,0.2071044921875,525.0,1.5069279611110686,0.01256578971297131,399360,-0.0015314788492105436,3.725290298461914e-09
278,15.96871770620346,359.87,0.0023808225617557356,40,250.0,0.05339985419025748,125.0,0.1523193359375,382.5000000000007,1.381015696376562,0.014741868164855986,409600,-0.0013532700038922485,6.7055225372314455e-09
278,15.968717968463897,357.7,0.0026842561604439653,41,236.0,0.04906287793844506,125.0,0.1712158203125,375.0,1.2317458815872668,0.012752462364733218,419840,-0.001594282737278263,-4.8428773880004884e-09
278,15.968717694282532,360.2,0.0018080471737789594,42,225.75,0.04971226937228104,125.0,0.11572265625,327.5000000000002,1.2417521215975285,0.015108076839533168,430080,-0.0007838424840883818,0.0
