value_loss,frames,P09:episode_rewards,epoch_idx,PMM:episode_rewards,grad_norm,policy_loss,episode_length,P01:episode_rewards,advantage_norm,policy_entropy,fps,explained_variance
0.02081990972146741,8000,3.0,1,1.0476190476190477,0.8426529395906692,-0.013646819264104125,172.1904761904762,0.0,1.3809059761464595,1.3504574066400528,194,-0.4128133863210678
0.010324450411635553,16000,3.0,2,1.0425531914893618,0.1915562132431906,0.0028768575505819173,170.27659574468086,0.0,0.9399340363591909,1.3782485020160675,177,-0.048384488224983216
0.015381303209196631,24000,4.0,3,1.22,0.2422860131116301,-0.00034520603832788766,176.72,0.0,1.3256185382977128,1.3794695770740508,188,-0.030544158220291138
0.015944799360040632,32000,4.0,4,1.37,0.19978384717624903,0.0006157283669017488,184.1,0.0,1.3499801963940263,1.3753457117080687,195,-0.0070539706945419315
0.01601928427167877,40000,4.0,5,1.69,0.18965277354203192,0.0017776159581262619,197.95,0.0,1.3843243958428502,1.3703073346614838,193,-0.015863177180290223
0.012126183884374768,48000,4.0,6,1.61,0.16225165988978563,-0.0005660831311251968,192.16,0.0,1.1138481271266938,1.3785435998439788,199,-0.010827924013137818
0.014420809417824785,56000,3.0,7,1.34,0.19187733674940816,0.0012330089625902474,180.77,0.0,1.2240528269484638,1.3800951766967773,201,-0.0215219783782959
0.016064185270515736,64000,4.0,8,1.59,0.19970553582348663,0.0025125615741126237,190.2,0.0,1.2974899657070638,1.3808553636074066,200,0.00503374695777893
0.01654900699661084,72000,6.0,9,1.88,0.2225107494713857,0.004109727301402018,198.64,0.0,1.3809943810105323,1.3799950087070465,201,-0.06312720119953155
0.014393528887885622,80000,5.0,10,1.82,0.2019146330288915,8.100046688923613e-05,196.67,0.0,1.2953581763803959,1.3817717695236207,200,-0.0002698290348052978
0.013832084186797147,88000,4.0,11,1.62,0.23726973853174774,0.0004079525611450663,192.09,0.0,1.2412700064480304,1.3815550339221954,203,0.04681916236877441
0.014132632690962054,96000,3.0,12,1.4,0.28496540578825896,-0.0009385751181980595,183.33,0.0,1.2762472987920046,1.3776313638687134,205,0.15147142827510834
0.013597166504332563,104000,3.0,13,1.18,0.24937298640327607,0.0014829815336270258,174.31,0.0,1.31890770226717,1.3760173916816711,206,0.24259860336780548
0.012024901491240598,112000,4.0,14,1.33,0.2345955045515101,-0.0005880957638146355,178.66,0.0,1.258282679915428,1.374861754179001,207,0.32217387795448305
0.012213025968812873,120000,4.0,15,1.41,0.3146242793311999,-0.002473656686488539,180.63,0.0,1.2101745212078094,1.3767352831363677,207,0.2846426576375961
0.013154210427310319,128000,3.0,16,1.2,0.306162875593437,-0.0007120986192057899,174.9,0.0,1.3227917310595512,1.3826232540607453,207,0.5568485563993454
0.013722409551846795,136000,3.1000000000000085,17,1.52,0.3291214353463319,-0.001048443606341607,187.19,0.0,1.3671271231770517,1.3684003925323487,207,0.7361228060722351
0.013436330755939706,144000,5.0,18,1.87,0.3326727432238079,-0.0025179721467429774,202.05,0.0,1.3795150884985923,1.359751034975052,207,0.8143190270662308
0.03340261262259446,152000,5.1000000000000085,19,2.1,0.6569426324985609,-0.010235170142259449,207.12,0.0,1.4773107215762138,1.3269181168079376,207,0.7698327326774597
0.011307646051282063,160000,5.1000000000000085,20,2.13,0.3100612453410355,-0.0015131608891533687,209.58,0.0,1.2393592810630798,1.3406046998500825,207,0.8351803284883499
0.010412821512436493,168000,6.0,21,2.2,0.3076068877953235,-0.002525706692249514,212.17,0.0,1.183187454342842,1.3368970012664796,209,0.8838641947507858
0.00798377395432908,176000,7.0,22,2.4,0.2776012637177729,-0.0018934364835149608,220.02,0.0,1.0027402678132058,1.3379956877231598,210,0.9190091150999069
0.005552214944036678,184000,6.1000000000000085,23,2.22,0.22159397616124749,-0.0018686275152140297,215.24,0.0,0.8808259141445159,1.3518839240074159,210,0.9411607104539871
0.008391108347859699,192000,5.0,24,2.18,0.25420540052926904,-0.0015212811506353319,212.5,0.0,1.0431754699349403,1.35197940826416,209,0.905047932267189
0.0054196970869088545,200000,5.0,25,1.98,0.20397087158479035,-0.0011518135003279896,204.08,0.0,0.840691992342472,1.3619928812980653,210,0.9320249652862549
0.00955438815348316,208000,5.0,26,1.84,0.2652466038281825,-0.00014897768312948755,198.39,0.0,1.0391091921925544,1.3477072715759277,209,0.849800950884819
0.003855578785587568,216000,5.0,27,1.76,0.17981916509664933,-0.0011947128617612178,196.73,0.0,0.7250251939892769,1.3383799302577972,209,0.9598032647371292
0.0032461267101462,224000,5.0,28,1.57,0.16176942982818143,-0.0017008367297239601,189.55,0.0,0.6277806550264359,1.3277468836307527,209,0.9668412178754806
0.004633274695661385,232000,5.0,29,1.74,0.18472562881371768,-0.0017733208871504758,192.3,0.0,0.7379045735299588,1.3314501130580902,210,0.9457926952838898
0.003889710060029756,240000,8.100000000000009,30,2.17,0.151584307865094,0.0001290762137796264,207.66,0.0,0.6620130497217178,1.3494998371601106,210,0.962225860953331
0.00473131090780953,248000,5.0,31,2.07,0.18501310091906753,-0.0018347566784359514,205.81,0.0,0.7345075207948685,1.3619723641872405,210,0.9502812319993973
0.006978181625017896,256000,5.0,32,1.93,0.21027852136649397,-0.0014599540588824311,199.98,0.0,0.9479181969165802,1.3528534877300262,211,0.9242607063055038
0.006064961630036123,264000,6.1000000000000085,33,2.14,0.19381543815808946,-0.0009889445984731537,203.72,0.0,0.8126367501914501,1.367881772518158,211,0.9479765105247497
