#{"t_start": 1544021286.6231275, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,100.276739
2.0,222,119.086581
3.0,250,151.518203
0.0,129,158.235154
2.0,222,171.447769
4.0,299,195.402908
0.0,125,204.572308
2.0,224,217.662462
0.0,127,227.670454
1.0,170,238.970575
1.0,153,247.416279
2.0,223,268.910985
0.0,127,278.907562
2.0,200,291.231584
2.0,188,304.057235
3.0,236,319.120061
1.0,157,329.067193
6.0,358,353.753915
0.0,127,362.399545
1.0,177,377.713038
0.0,129,387.348402
0.0,129,397.378911
0.0,127,405.522485
0.0,125,411.921389
0.0,125,420.099797
4.0,297,443.978935
2.0,198,454.778249
2.0,204,471.56944
1.0,171,485.467044
0.0,125,492.941045
0.0,127,500.169751
3.0,270,516.993164
0.0,127,526.309196
5.0,328,545.558717
3.0,248,566.778957
0.0,129,575.50191
2.0,222,588.17456
1.0,176,600.538014
0.0,125,608.697098
0.0,125,617.329004
0.0,127,626.62128
0.0,127,635.158154
2.0,204,647.986939
0.0,127,656.059312
3.0,236,672.152276
5.0,320,697.898659
1.0,155,706.471708
0.0,129,714.880076
3.0,248,732.001295
0.0,127,741.241376
0.0,129,749.012389
4.0,299,771.130903
10.0,451,807.244756
0.0,125,816.950309
0.0,127,824.061541
0.0,129,831.971534
0.0,125,840.399731
5.0,350,865.424763
7.0,447,894.248088
4.0,301,915.014732
2.0,202,927.825955
0.0,129,936.56073
0.0,127,942.299578
0.0,127,949.861935
0.0,129,958.893248
2.0,200,973.516465
2.0,202,990.569388
0.0,129,1000.886308
0.0,127,1008.632256
0.0,127,1016.277936
0.0,127,1025.427718
0.0,127,1032.90837
3.0,268,1054.101609
9.0,404,1084.499708
2.0,202,1098.959909
0.0,129,1108.105893
2.0,200,1123.365091
4.0,299,1145.939641
9.0,422,1171.703908
6.0,382,1198.758367
0.0,129,1208.812401
3.0,248,1224.155778
0.0,129,1233.006278
0.0,127,1242.610881
2.0,202,1256.534149
0.0,129,1265.19994
2.0,202,1280.635566
9.0,404,1305.658784
10.0,451,1334.812854
4.0,281,1353.86618
4.0,297,1376.061909
0.0,129,1385.379423
2.0,198,1399.529954
0.0,129,1407.442259
5.0,350,1432.21675
0.0,127,1439.534269
0.0,129,1447.895519
0.0,125,1457.416674
1.0,176,1468.160007
2.0,220,1483.877996
4.0,298,1505.432182
5.0,350,1525.769989
2.0,202,1538.214039
9.0,404,1570.203773
1.0,153,1581.938414
0.0,129,1590.43174
0.0,129,1597.973855
1.0,155,1606.451283
2.0,198,1617.977018
0.0,127,1627.456966
0.0,129,1634.921474
0.0,129,1642.72822
0.0,127,1650.281163
2.0,226,1662.672632
1.0,173,1674.563899
6.0,382,1698.829475
0.0,129,1705.9952
10.0,451,1735.48371
0.0,127,1742.267923
0.0,127,1749.013441
3.0,228,1762.25888
0.0,125,1770.446564
2.0,223,1785.787151
1.0,157,1796.823237
2.0,202,1814.132675
0.0,129,1823.395009
2.0,198,1836.423547
6.0,382,1862.783256
8.0,372,1888.439719
0.0,123,1896.042474
0.0,129,1903.32934
0.0,127,1912.82873
0.0,125,1920.644186
5.0,350,1944.916395
3.0,248,1961.635014
2.0,198,1975.108284
0.0,127,1981.554565
1.0,155,1991.320406
1.0,158,2000.566243
0.0,127,2008.442428
0.0,127,2016.570311
0.0,125,2024.830775
2.0,202,2037.532985
0.0,129,2043.906121
0.0,127,2051.518911
0.0,127,2059.210641
4.0,297,2081.509196
5.0,327,2106.45034
3.0,228,2122.857028
1.0,155,2133.400546
2.0,200,2147.233701
0.0,127,2154.693083
3.0,246,2172.461531
1.0,155,2183.528056
2.0,198,2197.19056
1.0,178,2209.972565
9.0,427,2243.570542
5.0,350,2267.443533
0.0,127,2274.049632
0.0,127,2281.437435
5.0,352,2309.14421
0.0,127,2318.535759
0.0,129,2328.446076
1.0,174,2339.940378
2.0,202,2352.688726
2.0,200,2368.367152
0.0,123,2378.238027
1.0,173,2392.62871
4.0,298,2416.285864
0.0,129,2425.523227
1.0,155,2437.949022
1.0,176,2450.834578
3.0,248,2468.008984
1.0,157,2479.665203
2.0,185,2491.212462
2.0,183,2502.517165
2.0,202,2516.005186
3.0,230,2530.333471
5.0,347,2554.612928
5.0,372,2579.617533
2.0,201,2592.281333
5.0,326,2612.720448
1.0,152,2622.978981
3.0,228,2638.290995
14.0,510,2671.999176
6.0,397,2702.577974
0.0,129,2710.547201
0.0,127,2717.857697
9.0,403,2745.040158
2.0,222,2762.159796
2.0,202,2777.982619
9.0,401,2801.986728
3.0,230,2823.547805
1.0,178,2837.419341
0.0,123,2844.309944
2.0,206,2854.88113
7.0,422,2880.566931
0.0,127,2887.386196
1.0,155,2900.100536
0.0,125,2910.115076
0.0,127,2918.695298
0.0,129,2927.969794
0.0,129,2934.141202
3.0,248,2948.791322
2.0,203,2963.79516
0.0,129,2972.885325
5.0,323,3000.652261
0.0,125,3010.028471
1.0,175,3022.504352
4.0,262,3046.268977
1.0,157,3056.92572
13.0,457,3092.900213
10.0,468,3126.160607
4.0,319,3149.026047
0.0,129,3157.749
1.0,176,3168.171751
11.0,466,3203.647647
4.0,259,3220.318433
4.0,297,3239.55545
0.0,129,3247.556868
2.0,202,3261.79671
1.0,178,3274.161798
11.0,502,3308.583904
2.0,202,3326.411651
15.0,549,3361.116232
3.0,231,3375.15396
4.0,319,3399.481871
3.0,234,3414.466874
11.0,482,3451.060431
13.0,354,3477.136128
2.0,187,3491.898341
0.0,129,3498.000395
6.0,360,3523.057256
10.0,433,3551.406623
1.0,155,3562.051425
9.0,404,3589.273603
2.0,202,3601.670425
4.0,263,3618.013766
3.0,248,3637.325768
10.0,455,3670.656702
5.0,350,3698.215302
0.0,129,3705.856736
2.0,189,3717.000942
12.0,529,3766.161376
3.0,254,3789.624048
2.0,221,3803.273275
2.0,222,3820.476828
4.0,264,3840.341648
2.0,204,3853.722733
0.0,129,3862.364409
4.0,297,3884.624547
4.0,277,3906.305107
5.0,350,3928.154221
3.0,235,3942.795116
5.0,311,3969.973082
5.0,336,3996.724752
18.0,497,4041.376717
9.0,425,4073.212644
5.0,276,4091.737588
4.0,273,4111.633809
9.0,472,4142.378925
2.0,224,4160.415543
4.0,284,4182.722144
7.0,393,4212.000454
5.0,319,4234.752416
9.0,326,4258.273399
11.0,486,4293.274788
6.0,398,4320.74307
15.0,473,4355.310642
1.0,157,4365.781716
9.0,522,4402.500838
4.0,286,4421.747579
11.0,486,4459.784262
6.0,327,4484.252686
13.0,496,4518.233861
2.0,204,4530.989598
5.0,312,4552.931798
7.0,390,4578.733053
7.0,408,4609.515446
10.0,357,4633.282406
7.0,417,4669.218765
11.0,421,4696.950215
6.0,361,4721.80583
5.0,357,4747.955498
8.0,480,4778.405122
9.0,326,4799.771219
9.0,481,4844.073267
5.0,278,4863.137645
12.0,468,4899.0978
7.0,388,4928.35303
8.0,475,4957.333683
6.0,396,4980.604833
7.0,365,5007.433994
11.0,556,5043.563897
9.0,308,5062.942891
8.0,384,5087.713102
6.0,406,5116.742311
8.0,299,5134.573335
10.0,348,5157.610142
14.0,382,5184.818704
10.0,505,5217.661926
