avg_q_selected,grad_norm,policy_gradient_loss,policy_gradient_bias_correction,fps,policy_loss,q_loss,P09:episode_rewards,episode_length,rollout_prob_std,avg_q_retraced,PMM:episode_rewards,P01:episode_rewards,advantage_norm,epoch_idx,explained_variance,frames,model_prob_std,policy_entropy
-0.001082718709949404,0.20453672162770892,-0.000763155244931113,0.0,439,-0.000763155244931113,0.0004309741052566096,0.0,0,0.02289192775885264,-0.0018428630195558072,0.0,0.0,0.11972919441759586,1,-5.363402318954468,7200,0.02289192865913113,2.1367467284202575
0.0014258301933296024,0.0891470710138374,-0.00025002909472580844,0.0,373,-0.00025002909472580844,0.00018458125632605515,0.0,0,0.009761397594896455,0.0011825476979235342,0.0,0.0,0.0791721570615967,2,-5.592432117462158,14400,0.009761397967425485,2.182314701875051
1.35058631561454e-05,0.007458588510079476,-2.793805930802288e-05,0.0,382,-2.793805930802288e-05,1.6819611361521916e-05,0.0,0,0.002932777585616956,3.2499786054055827e-06,0.0,0.0,0.03253373764455318,3,-5.498568296432495,21600,0.002932777628302574,2.1966475168863933
0.00055356134835165,0.005016563901291317,-3.193474073365602e-05,0.0,399,-3.193474073365602e-05,1.9598945815838912e-05,0.0,0,0.004037611186504364,0.0005494234457728453,0.0,0.0,0.04014150807633996,4,-4.857278680801391,28800,0.004037611264114578,2.196511427561442
-2.6134433331511296e-07,0.001996501214026847,7.638480023312392e-07,0.0,412,7.638480023312392e-07,6.53384195553978e-06,0.0,0,0.001745517449065422,-6.033531887320957e-06,0.0,0.0,0.019698365948473413,5,-4.644564898808797,36000,0.0017455174878705294,2.1970136721928912
7.07131147767844e-05,0.002481624109567805,-1.5669313400697624e-05,0.0,424,-1.5669313400697624e-05,9.149044285550189e-06,0.0,3324.6666666666665,0.002497405265845979,7.488518248521814e-05,0.0,0.0,0.026076526567339896,6,-5.260812854766845,43200,0.0024974053143523634,2.196886420249939
6.19231328831423e-05,0.001471390354720281,4.733021760330303e-05,0.0,432,4.733021760330303e-05,2.0704204435636105e-06,0.0,3324.6666666666665,0.0008913389523513615,0.00011526905145728961,0.0,0.0,0.010501793182144562,7,-5.277852026621501,50400,0.0008913389077254882,2.1971781492233275
0.0001570622736532338,0.0011681931761202786,6.491728527180385e-06,0.0,437,6.491728527180385e-06,2.121288429179913e-06,0.0,3324.6666666666665,0.0008747002963597575,0.00017489061465312262,0.0,0.0,0.01137498429355522,8,-5.593379640579224,57600,0.0008747003448661417,2.197181804974874
-0.00025151114580997575,0.0014268377995750455,-3.2828277956771975e-07,0.0,439,-3.2828277956771975e-07,5.209685810806756e-06,0.0,3324.6666666666665,0.0017046953570873788,-0.0002497451447804148,0.0,0.0,0.018968014605343343,9,-5.189635864893595,64800,0.0017046953861912092,2.1970524152119952
-0.00016783968355108905,0.001071646972661782,4.341831345300306e-06,0.0,442,4.341831345300306e-06,3.0768308150186385e-06,0.0,3324.6666666666665,0.0011949985268681,-0.00017399380927069313,0.0,0.0,0.01397468827975293,10,-4.893413305282593,72000,0.0011949985385096321,2.1971231142679852
-0.00034938442816686194,0.0014469217599980251,2.28200351709044e-05,0.0,446,2.28200351709044e-05,5.049313032164567e-06,0.0,3324.6666666666665,0.0019124061005034794,-0.00031803015116717385,0.0,0.0,0.020334850492266316,11,-4.66718684832255,79200,0.0019124060888619473,2.1970490058263143
0.0001404905167873949,0.00040237248201108075,1.0277678741961912e-05,0.0,450,1.0277678741961912e-05,6.669746928385696e-07,0.0,3324.0,0.0004626211079691226,0.000159203229607859,0.0,0.0,0.0056112698822592694,12,-5.664573415120443,86400,0.000462621119125591,2.1972052176793415
0.00038393253416870723,0.0006188829151352579,6.308977640401281e-06,0.0,452,6.308977640401281e-06,5.533509051266113e-07,0.0,3324.0,0.0004670191420397411,0.0003998682528617792,0.0,0.0,0.005734794625702004,13,-5.196609274546305,93600,0.0004670191333085919,2.1972126881281535
0.0002515635858192885,0.000458601593812457,-9.272048569168116e-06,0.0,456,-9.272048569168116e-06,5.660629421792388e-07,0.0,3324.0,0.00042223931037976094,0.00024639871959758843,0.0,0.0,0.005251822232579192,14,-5.037029417355855,100800,0.00042223932929725074,2.1972116152445476
-0.0002371856396621297,0.0009614435935540956,3.9383465764331047e-05,0.0,458,3.9383465764331047e-05,2.6336606280115876e-06,0.0,3324.0,0.0015015561254889084,-0.00019736283720703796,0.0,0.0,0.015940495976246895,15,-4.340358654658,108000,0.0015015561769056755,2.197125260035197
8.19369745234629e-05,0.0003503819376912869,2.188700974177967e-06,0.0,460,2.188700974177967e-06,6.685901309329741e-07,0.0,3324.0,0.0004926719397190027,8.259385455554972e-05,0.0,0.0,0.005368123905888448,16,-5.482592407862345,115200,0.0004926719566962372,2.19719922542572
-7.68954297781319e-05,0.000748241034979571,1.9481621227694427e-05,1.1294371557508183e-08,460,1.9492915596401874e-05,2.0874708264139054e-06,0.0,3324.1388888888887,0.003360145750880798,-6.082230491453325e-05,0.0,0.0,0.013454505359404722,17,-4.740832630594572,122400,0.0012507319018631175,2.1971494432952667
0.00015361206345331657,0.0002389299967199294,2.5488911306761937e-06,-2.974128897727092e-09,454,2.5459169981152237e-06,3.858925848025553e-07,0.0,3324.1388888888887,0.004363409981928675,0.00016144775740853913,0.0,0.0,0.005577753699372619,18,-4.520079783087684,129600,0.00048382281052288326,2.1972123942299495
