explained_variance,fps,PMM:episode_rewards,P01:episode_rewards,grad_norm,value_loss,policy_entropy,P09:episode_rewards,frames,episode_length,policy_loss,advantage_norm,epoch_idx
-0.9228424096107483,201,1.1,0.0,1.764638149040396,0.06505654135477017,1.3446313369274139,3.0,8000,170.95,-0.015440835075205541,1.8074014488235115,1
-0.19360947012901306,167,1.3255813953488371,0.0,0.30908806591461113,0.014451506176715156,1.356508412361145,4.0,16000,182.45348837209303,-0.0009359897436479514,1.230845942236483,2
-0.45029434204101565,179,1.2,0.0,0.22076910495176488,0.011485691669770403,1.3758858942985535,4.0,24000,176.56,0.004219179598330811,1.0058230314776302,3
-0.006124865412712097,187,1.31,0.0,0.27775872164040455,0.017931767868230964,1.3701826739311218,3.0,32000,179.23,0.001401153737679124,1.4688657985255122,4
-0.016300053596496583,190,1.34,0.0,0.22110752510732976,0.012043571755893935,1.3783347618579864,3.0,40000,180.04,-0.0001690589386271313,1.15336078889668,5
-0.1161502504348755,197,1.03,0.0,0.19973487617779292,0.010311375972796667,1.3759866285324096,2.1000000000000085,48000,166.69,0.00027353252182365394,1.0206450712308288,6
-0.26028991520404815,200,1.22,0.0,0.45339177769934097,0.02464907238179876,1.3784152388572692,3.0,56000,175.14,-0.004037032229825854,1.5783919958770276,7
0.028100097179412843,197,1.49,0.0,0.29857324928547396,0.012782688260922442,1.3652170741558074,3.0,64000,186.78,-0.0013197616947581991,1.1883009216934441,8
0.05787317097187042,195,1.47,0.0,0.2934908387745442,0.011569595277469489,1.3754039430618286,4.0,72000,186.74,0.0005138974240981042,1.1555032841861248,9
0.1553491932153702,198,1.39,0.0,0.493220406960794,0.02380986208707327,1.3626988863945007,4.0,80000,185.17,-0.003562346866237931,1.4546070440113545,10
0.5962547188997269,197,1.65,0.0,0.4076343431818381,0.01699038367223693,1.359775356054306,4.0,88000,192.92,-0.0035241911759294454,1.4846589076519012,11
0.5506928676366806,197,1.76,0.0,0.36384637360476274,0.012633319185697474,1.372911241054535,4.0,96000,195.81,-0.002606009365990758,1.28804611697793,12
0.573335422873497,200,1.43,0.0,0.32385475089729765,0.011342988729593344,1.3779714059829713,4.0,104000,183.75,0.0014612562164256814,1.2129074111580849,13
0.741567365527153,203,1.31,0.0,0.35594525908727254,0.012682480564690195,1.36366907954216,3.1000000000000085,112000,179.76,-0.004362258862238377,1.3087174412608147,14
0.8808867055177688,206,1.55,0.0,0.3101864074258344,0.008324721700046212,1.3518485689163209,4.1000000000000085,120000,188.98,-0.0019858113705413416,1.0708679693937302,15
0.7617716652154922,205,2.17,0.0,0.4456388909891502,0.015000560082262382,1.3436797869205475,6.0,128000,211.62,-0.005194662585126935,1.3055471524596214,16
0.8471187055110931,206,2.12,0.0,0.3036019141283778,0.007784602488973178,1.3531196820735931,7.0,136000,206.81,-0.001139037101092981,1.0111546355485916,17
0.9013908457756042,208,1.54,0.0,0.24687343949415477,0.0058286879694787784,1.3539097487926484,4.1000000000000085,144000,184.44,-0.0013045757239160594,0.8652698275446892,18
0.9356673967838287,209,1.44,0.0,0.2589722976728677,0.0062278730422258375,1.3396903824806214,4.0,152000,184.0,-0.0004074811666214373,0.9379717460274697,19
0.9488088470697403,209,1.69,0.0,0.20822371396451753,0.004512850996106863,1.3366567134857177,5.1000000000000085,160000,191.78,-0.0015300717257196084,0.7683381268382072,20
0.9167410063743592,209,1.81,0.0,0.25646507859824824,0.00703673483862076,1.349411906003952,5.1000000000000085,168000,198.58,0.0014239330524287652,0.9508276572823524,21
0.9323826837539673,210,2.16,0.0,0.25945093443433204,0.007641282577533275,1.3447207641601562,5.0,176000,211.91,-0.0023324821751157286,0.9592950588464737,22
0.9297278410196305,211,2.28,0.0,0.1992425049985171,0.004827633348759264,1.341871027946472,5.1000000000000085,184000,212.28,-0.000544241753523238,0.7869897279143333,23
0.917614016532898,212,2.1,0.0,0.20016681803831138,0.004228678487124853,1.3296861004829408,6.0,192000,205.54,-0.0020540275915845994,0.738594555258751,24
0.9589316964149475,212,1.78,0.0,0.17393812043383367,0.0036079341091681274,1.3248894250392913,5.0,200000,195.42,-0.0007805195266882947,0.6791190999746323,25
0.8985829770565033,213,1.91,0.0,0.23544982510440818,0.007206499778840225,1.368040426969528,5.0,208000,199.5,-0.0007639772957554669,0.9211991107463837,26
0.8904374915361405,212,2.0,0.0,0.2436126820303297,0.0072434806363889945,1.3701542663574218,5.0,216000,201.16,-0.000438975965953432,0.9587755161523819,27
0.9677820801734924,212,1.72,0.0,0.17536779194860708,0.0030573944408388344,1.337974364757538,5.0,224000,192.62,-0.0015466157748596744,0.619625576287508,28
0.9741911047697067,212,1.84,0.0,0.16241041730013353,0.002818799972301349,1.340492286682129,5.0,232000,195.23,-0.0009339668838947545,0.5955066375434399,29
0.9609811735153199,213,1.89,0.0,0.1799036953496973,0.003984245100582484,1.3456504845619202,6.0,240000,196.2,-0.001309426038642414,0.6700068187713623,30
0.9723815274238586,213,1.82,0.0,0.15466793182288047,0.0030540355853736403,1.3494836688041687,5.0,248000,195.86,-0.0006839267245959491,0.6146872809529305,31
0.94052177131176,213,1.84,0.0,0.16360120016625765,0.004123415804788238,1.3441647207736969,5.0,256000,198.65,-0.0008216451802582015,0.6870549377799035,32
0.9414876013994217,213,2.1,0.0,0.18054391450748683,0.004740947742247954,1.362941701412201,5.1000000000000085,264000,206.85,0.0003585133925662376,0.7520431286096573,33
0.9489265036582947,213,1.88,0.0,0.16476530991269128,0.004532440063776448,1.3590293741226196,5.0,272000,199.22,-0.0016236547233711462,0.7214077386260033,34
