#{"t_start": 1544021288.5907137, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,155,97.200282
0.0,129,106.430869
5.0,328,147.604278
2.0,198,162.750397
0.0,127,173.929849
1.0,155,184.126355
1.0,154,195.890447
1.0,155,204.033832
0.0,125,212.642851
0.0,127,223.154109
5.0,333,247.196296
1.0,169,256.627652
0.0,129,266.960435
0.0,129,277.5964
1.0,157,288.110504
4.0,276,304.175894
0.0,127,310.118987
0.0,123,316.150304
0.0,129,326.115908
0.0,127,333.819367
0.0,129,340.988151
6.0,361,372.132358
4.0,301,396.745296
0.0,129,404.353091
2.0,200,420.267871
0.0,129,430.409912
2.0,202,447.46187
1.0,176,460.979677
1.0,173,470.251341
2.0,221,484.783829
3.0,246,504.236734
2.0,202,521.681681
4.0,278,543.341665
4.0,299,564.348041
3.0,270,583.266897
1.0,153,592.893215
0.0,125,600.173361
0.0,125,606.645154
0.0,125,612.709646
3.0,270,628.801589
0.0,127,637.460608
0.0,127,643.931942
0.0,127,650.700105
0.0,127,658.48794
9.0,404,688.20148
1.0,177,700.446624
0.0,127,709.950908
0.0,127,718.721048
3.0,268,736.887629
2.0,202,748.988116
4.0,277,767.3405
0.0,129,775.165683
0.0,129,782.27755
5.0,329,802.545161
0.0,129,811.351412
0.0,125,820.082402
0.0,127,829.449866
2.0,200,841.804533
5.0,350,868.974419
0.0,127,877.62971
0.0,125,886.551956
0.0,129,895.339142
2.0,202,909.414949
0.0,125,915.360213
12.0,431,940.918302
2.0,202,955.764962
0.0,127,964.492181
5.0,350,986.024821
3.0,248,1001.503243
2.0,202,1015.851519
5.0,350,1042.26813
0.0,125,1050.394248
0.0,125,1056.666213
2.0,201,1069.242206
0.0,125,1078.869494
2.0,219,1095.744426
0.0,127,1103.070176
0.0,129,1111.157381
0.0,127,1120.880572
5.0,352,1144.816365
0.0,127,1152.77464
2.0,200,1168.082843
2.0,198,1181.58655
0.0,127,1190.47331
0.0,125,1197.928445
4.0,299,1215.851991
0.0,129,1224.922815
0.0,129,1232.741559
10.0,451,1264.984301
0.0,127,1273.971286
0.0,129,1283.916756
0.0,127,1291.397595
0.0,129,1300.319468
0.0,129,1308.99702
0.0,127,1317.263338
5.0,350,1345.631447
0.0,125,1354.928009
0.0,127,1363.174103
0.0,129,1370.850831
10.0,454,1398.434134
9.0,404,1432.555791
0.0,129,1441.03899
0.0,129,1451.133595
5.0,347,1481.038047
0.0,125,1490.994144
0.0,129,1499.709418
0.0,129,1508.473017
2.0,202,1524.629358
0.0,125,1532.480212
0.0,127,1538.374424
0.0,127,1545.753524
2.0,200,1561.028501
3.0,248,1576.43977
3.0,271,1594.822568
0.0,127,1602.550861
9.0,404,1627.615686
0.0,129,1635.097852
0.0,129,1641.699737
0.0,129,1651.490121
2.0,202,1663.209422
5.0,350,1692.321389
2.0,202,1707.096603
4.0,297,1728.284386
2.0,202,1742.391399
0.0,127,1750.932793
9.0,404,1786.546314
0.0,123,1794.949105
0.0,129,1804.516279
2.0,202,1814.304773
0.0,129,1822.590478
0.0,129,1829.223176
2.0,202,1843.015423
0.0,127,1851.45202
9.0,404,1886.446018
2.0,203,1898.762259
5.0,352,1922.789801
0.0,127,1931.7313
0.0,129,1941.724128
0.0,127,1950.817074
9.0,404,1973.375501
4.0,297,1990.558406
2.0,200,2005.594794
2.0,200,2020.794323
9.0,404,2053.398441
3.0,232,2068.584563
0.0,125,2074.890042
6.0,332,2099.782771
3.0,246,2120.263766
0.0,129,2128.557118
0.0,129,2136.289178
2.0,200,2149.639899
2.0,203,2161.083874
0.0,129,2169.656931
3.0,237,2186.75814
2.0,206,2197.643494
0.0,125,2203.363012
4.0,286,2221.247126
1.0,175,2233.164772
0.0,129,2241.913136
5.0,365,2267.262331
3.0,251,2282.924106
2.0,202,2295.319703
9.0,404,2316.722415
2.0,202,2329.966362
0.0,127,2336.748239
9.0,404,2366.359244
5.0,352,2393.503959
1.0,172,2405.616153
2.0,206,2420.5176
0.0,129,2428.755251
4.0,260,2446.547726
2.0,200,2459.865329
0.0,129,2468.789374
2.0,198,2480.075388
0.0,125,2487.347224
0.0,129,2496.483389
0.0,127,2502.954256
3.0,248,2521.686721
3.0,248,2539.422595
1.0,152,2550.615398
5.0,326,2576.243588
4.0,319,2595.533548
0.0,129,2603.671345
1.0,157,2615.007886
3.0,249,2630.516827
2.0,202,2644.45482
3.0,230,2660.158781
1.0,155,2670.998175
0.0,127,2678.236363
3.0,249,2690.377997
0.0,129,2698.278313
2.0,187,2708.779832
1.0,177,2719.177686
0.0,127,2725.693376
1.0,157,2735.099661
2.0,183,2749.149499
2.0,205,2764.903842
9.0,404,2791.681962
5.0,350,2818.769422
1.0,157,2829.730544
9.0,404,2860.376766
12.0,534,2897.553799
0.0,129,2905.023542
0.0,129,2914.865028
4.0,277,2936.068785
0.0,127,2944.815673
0.0,129,2952.714337
0.0,127,2961.637984
0.0,123,2969.509354
0.0,129,2977.065618
3.0,228,2996.06476
10.0,451,3027.464941
