P01:episode_rewards,PMM:episode_rewards,fps,epoch_idx,policy_loss,episode_length,frames,value_loss,grad_norm,advantage_norm,P09:episode_rewards,policy_entropy,explained_variance
0.0,1.2307692307692308,242,1,0.16090127214905806,181.76923076923077,8000,1.4952733151928168,37.57008294923671,5.054546767808497,3.200000000000003,1.2896559545397759,-1.755296931862831
0.0,1.2209302325581395,228,2,0.0007211610593367368,179.41860465116278,16000,0.008990098218164348,0.13158817388799574,0.9192604680359363,3.0,1.3835732531547547,-0.36414144456386566
0.0,1.28,234,3,-0.0001371829173876904,179.03,24000,0.008861992134934554,0.11838859858619545,0.9150706644356251,3.0,1.3850437080860138,-0.28646754920482637
0.0,1.37,241,4,0.0006033481238409877,181.94,32000,0.009667992287650123,0.13040741833082478,0.9336308197677136,3.0,1.3859528374671937,-0.2953378075361252
0.0,1.34,247,5,0.0014472812606982188,179.92,40000,0.010034074302438967,0.13723749867346494,0.9498083694651723,3.0,1.3832972037792206,-0.6340212458372116
0.0,1.46,250,6,-0.0011439596879063174,185.21,48000,0.011264173447561915,0.18941204726147073,1.078960315771401,3.0,1.378166674375534,-0.21918686091899872
0.0,1.59,252,7,0.001906793473608559,188.65,56000,0.007354853581678072,0.11888731853617643,0.7757672324590384,3.0,1.3802252888679505,-0.31900395452976227
0.0,1.41,253,8,-0.0003735363116720691,182.11,64000,0.009842587449547864,0.15410546837916264,0.970812114328146,3.0,1.3771878504753112,-0.13636053144931792
0.0,1.49,254,9,-0.0012930624415457715,186.15,72000,0.00957613527491958,0.1793989249142498,0.9676540211960674,4.0,1.3692500567436219,-0.4353809517621994
0.0,1.55,256,10,-0.000977692053420469,185.63,80000,0.008967378204033594,0.16877181171158695,0.9127005874365568,4.0,1.3606425750255584,-0.35957739889621737
0.0,1.49,255,11,0.000883914308360545,183.38,88000,0.010749498443128686,0.19155018627356443,1.0618803987652063,4.0,1.3716270065307616,-0.19106516778469085
0.0,1.52,255,12,-0.0007806387692107819,186.63,96000,0.008108884096436668,0.1576635743561864,0.9021723511070013,4.0,1.377981276512146,-0.22910527467727662
0.0,1.32,257,13,0.0016130655179586028,180.61,104000,0.007883168936277798,0.15888610630836678,0.8635792209208012,3.0,1.3758626759052277,-0.4319376963376999
0.0,1.4,258,14,0.002739731023320928,183.54,112000,0.009046703664207598,0.24937171285812681,0.9662983006238938,3.0,1.3788652694225312,-0.4440605753660202
0.0,1.47,258,15,-0.0010192976586404256,187.43,120000,0.0073309561906353335,0.21348234891729967,0.8930421949923039,4.0,1.3807135939598083,-0.28030236303806305
0.0,1.12,258,16,0.00010400573042716132,172.51,128000,0.006185333427674777,0.17451105051190788,0.7503739288449287,3.0,1.381616599559784,-0.5671622121334076
