P01:episode_rewards,epoch_idx,explained_variance,episode_length,value_loss,P09:episode_rewards,fps,frames,advantage_norm,policy_entropy,grad_norm,policy_loss,PMM:episode_rewards
0.0,1,-4.092991138696671,167.5609756097561,0.08223818374760412,2.0,197,8000,1.9605882804095744,1.3068310922384263,1.9633331411343065,-0.02199640000311774,0.975609756097561
0.0,2,-0.05637921869754791,173.9120879120879,0.013619363822162995,3.0,169,16000,1.209475859068334,1.3557153737545014,0.2528131272964475,0.0034176570817362516,1.2307692307692308
0.0,3,-0.017159499526023865,178.56,0.010844043574570606,3.1000000000000085,179,24000,1.0618864733353257,1.380035058259964,0.18617988252962678,0.0009330418590980116,1.34
0.0,4,-0.0027730995416641235,181.34,0.015031217723399095,3.1000000000000085,185,32000,1.2914356162399054,1.3826505947113037,0.20904496729182323,-0.0012472202559001744,1.36
0.0,5,-0.05553047120571136,186.47,0.03291717719680946,3.0,187,40000,1.5548655281215906,1.3702410340309144,0.527125334284391,-0.0029129618147271685,1.49
0.0,6,-0.04717246472835541,176.64,0.0121036712714249,3.0,188,48000,1.0969153360649944,1.3734163165092468,0.21219227134521315,-0.00015797741572896485,1.22
0.0,7,-0.005979709029197693,178.72,0.013243445695734409,4.0,188,56000,1.2246651639044286,1.3784338784217836,0.19410101237590247,0.0010774477606173604,1.24
0.0,8,-0.04543202221393585,188.2,0.012217324740258845,4.0,188,64000,1.0878704841062428,1.3816697072982789,0.2017019648554863,0.002534545857924968,1.47
0.0,9,-0.02760580837726593,178.96,0.01291224919538763,3.0,191,72000,1.1213768218457698,1.383003123998642,0.2051960177040927,0.003374076156178489,1.28
0.0,10,-0.00619869589805603,178.78,0.016710213932965415,3.0,194,80000,1.3931049477681519,1.3845131635665893,0.2149217353446622,0.0009512317751068622,1.32
0.0,11,-0.08540150940418244,189.62,0.019064037260686745,3.0,199,88000,1.479222685918212,1.3778925997018814,0.29544828881393015,0.004100678054383025,1.62
0.0,12,0.017870141863822936,198.32,0.015753975068837463,4.0,200,96000,1.3295931531116367,1.3799445641040802,0.22937387248167962,0.00030211126548238096,1.8
0.0,13,-0.008703232407569886,191.69,0.010858260638005959,4.0,204,104000,1.0381982547044755,1.3796437633037568,0.18303383170604012,-0.00021775129367597402,1.58
0.0,14,-0.013319290280342101,173.15,0.011651810831826879,3.0,204,112000,1.0548161475360394,1.3810712790489197,0.19241034483565314,0.0024785316645875356,1.16
0.0,15,0.029099098443984985,174.12,0.011512713994452497,3.0,204,120000,1.101161166653037,1.3735922491550445,0.19429922656042758,-0.0014438659755978732,1.18
0.0,16,0.01449065089225769,169.56,0.010763897807701142,2.0,206,128000,1.0510075286775828,1.3725393199920655,0.2151312929116072,0.0008442242222372442,1.04
0.0,17,-0.04950330257415771,165.0,0.013929375374355004,2.1000000000000085,206,136000,1.154329047203064,1.3772864758968353,0.30261178859748245,-0.002743418548052432,0.94
0.0,18,0.10724773049354554,170.42,0.010061998651799513,3.0,205,144000,1.0520687709003687,1.3790801584720611,0.2406733065253641,0.0015420391791849397,1.09
0.0,19,0.2744321590662003,174.08,0.01783383781381417,3.0,205,152000,1.3978022655844689,1.3744921100139618,0.37251395312372837,-0.002947805881194654,1.17
0.0,20,0.4023467153310776,187.26,0.014958305452018976,3.0,206,160000,1.4255828186869621,1.3718896913528442,0.3450262670554675,-0.002613996038126061,1.5
0.0,21,0.4486537390947342,184.37,0.011008842149021803,3.1000000000000085,207,168000,1.1506218485534192,1.3625412142276765,0.2990737675970215,-0.0026858249574434013,1.41
0.0,22,0.6364694631099701,185.93,0.013888814583187923,4.1000000000000085,208,176000,1.3893904101848602,1.3723641121387482,0.333666562682768,0.0008312708976154681,1.45
0.0,23,0.4838402771949768,193.65,0.012273331712931395,5.0,209,184000,1.2414486545324326,1.3742059314250945,0.2976415966679172,-0.00025213209562934935,1.61
0.0,24,0.6168636059761048,196.01,0.015526419641100802,5.0,210,192000,1.3809346029162406,1.3482841497659683,0.41587750274409546,-0.003900582002243027,1.68
0.0,25,0.7239031380414963,184.81,0.011445212733233347,3.0,210,200000,1.241271825134754,1.3645601856708527,0.3423617841419556,-0.005494758840359282,1.45
0.0,26,0.6506890028715133,188.29,0.012502916837838711,4.1000000000000085,211,208000,1.2780600096285344,1.3255848643183707,0.34603112042839096,-0.0014670741721056401,1.59
0.0,27,0.8194289839267731,200.21,0.00908825606747996,5.0,212,216000,1.1054930946230888,1.3556260418891908,0.27997873969384424,-0.0009575534227769821,1.96
0.0,28,0.8691154539585113,187.0,0.008423336982377804,5.0,212,224000,1.0328529757261276,1.3582398748397828,0.2592189062826493,-0.00031238964715157635,1.52
0.0,29,0.9015812689065933,187.4,0.007589493145351298,5.0,213,232000,1.0232005307078362,1.3469755959510803,0.25054305839459423,-0.0027748219110071658,1.61
0.0,30,0.916022732257843,200.86,0.008196689046453685,5.0,213,240000,1.0469945079088212,1.3418661546707153,0.2729664553354409,-0.0014714110249224178,1.96
0.0,31,0.9337141168117523,201.48,0.007278538555256091,5.0,214,248000,0.9731606483459473,1.3416827428340912,0.25976160265234144,-0.00014485433843219653,1.92
0.0,32,0.896458603143692,213.54,0.008712388170533814,5.1000000000000085,214,256000,1.080453186929226,1.3513520300388335,0.264525469569882,0.0009933523618383332,2.22
0.0,33,0.9006835740804672,214.5,0.008110243828268722,6.1000000000000085,214,264000,1.0212632131576538,1.3577607142925263,0.25555940669944244,-0.00017247351235710084,2.32
