#{"t_start": 1543698235.0312636, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,233,97.865773
3.0,232,110.818073
2.0,201,127.945366
3.0,214,139.334018
0.0,125,145.999774
1.0,155,154.19402
4.0,318,171.37546
0.0,127,178.018083
0.0,129,184.805707
1.0,177,194.180595
2.0,200,204.38845
0.0,129,210.437558
0.0,127,216.389037
0.0,129,223.222105
2.0,224,235.33681
2.0,219,246.37972
2.0,203,257.93261
2.0,229,270.177585
0.0,127,276.689827
2.0,220,290.990811
1.0,155,299.432956
0.0,129,306.290686
0.0,127,313.167396
1.0,155,321.154532
2.0,203,332.388504
1.0,177,341.517012
1.0,151,349.087766
5.0,295,364.811544
1.0,154,373.146277
2.0,200,384.661074
1.0,157,394.055482
0.0,123,400.384272
1.0,173,408.996727
0.0,125,416.53916
2.0,181,426.284883
0.0,127,432.364522
2.0,202,443.919705
4.0,299,460.805186
4.0,301,478.081501
1.0,157,485.890006
1.0,174,495.32088
2.0,200,506.437231
2.0,219,517.992037
0.0,129,524.011221
1.0,173,533.623164
0.0,127,540.396594
2.0,225,552.939238
0.0,129,559.066162
0.0,129,565.799755
2.0,206,576.692514
0.0,127,582.938204
0.0,129,589.32673
2.0,198,600.421874
0.0,127,607.104492
1.0,176,616.584735
1.0,171,625.28175
1.0,169,634.946653
0.0,129,641.282936
8.0,375,662.827757
0.0,127,669.995483
3.0,270,685.193214
9.0,404,707.876825
0.0,129,714.962618
0.0,129,721.289258
3.0,248,734.628449
0.0,127,740.540005
2.0,200,752.81716
5.0,350,771.985906
3.0,270,785.979112
2.0,202,796.843246
5.0,350,816.103249
2.0,202,826.651558
0.0,127,833.157101
10.0,435,860.376175
3.0,246,874.758974
0.0,127,880.433614
0.0,129,886.715209
9.0,404,909.065628
0.0,127,915.947452
1.0,173,926.992903
5.0,350,945.687601
5.0,350,967.065535
0.0,125,973.453269
5.0,352,992.773196
5.0,329,1011.886806
1.0,170,1020.14109
0.0,127,1026.451406
10.0,450,1052.695377
0.0,129,1059.26048
2.0,202,1070.581014
0.0,129,1077.740858
2.0,200,1088.808273
0.0,129,1095.049813
0.0,129,1101.781
0.0,125,1108.031646
0.0,125,1113.692602
2.0,202,1124.93415
5.0,347,1144.092599
0.0,127,1150.343174
9.0,404,1171.728451
0.0,129,1177.883554
0.0,127,1185.060526
3.0,248,1198.388262
1.0,157,1206.865362
5.0,352,1226.039958
0.0,127,1232.972135
2.0,202,1245.209884
4.0,299,1264.981679
0.0,127,1272.492461
0.0,127,1278.628804
5.0,322,1296.644707
0.0,127,1303.549222
0.0,127,1310.073353
0.0,127,1316.256953
0.0,129,1322.083869
4.0,291,1338.06291
0.0,125,1344.864682
5.0,352,1364.503068
1.0,157,1371.785045
5.0,352,1390.426952
11.0,485,1418.949641
3.0,246,1432.507481
3.0,222,1446.544392
2.0,200,1457.453417
0.0,125,1463.505569
2.0,222,1476.406364
3.0,250,1489.750802
3.0,251,1505.009453
2.0,201,1515.524177
1.0,157,1523.663667
0.0,125,1529.901087
1.0,157,1537.906818
0.0,129,1545.030436
4.0,297,1560.59061
1.0,157,1569.117646
0.0,125,1575.930799
0.0,127,1582.383797
2.0,202,1592.766725
3.0,274,1607.196778
2.0,202,1619.196493
0.0,129,1626.292829
0.0,127,1633.309296
0.0,125,1640.137128
9.0,425,1663.503772
2.0,198,1674.026214
0.0,129,1680.7015
2.0,202,1691.422806
0.0,125,1696.965398
4.0,285,1713.722011
2.0,202,1724.390278
0.0,129,1731.857998
0.0,129,1739.643783
0.0,129,1745.832484
2.0,218,1757.943609
0.0,127,1768.410126
0.0,125,1780.867973
5.0,350,1799.26441
6.0,396,1821.294431
0.0,129,1827.629503
2.0,199,1837.829947
0.0,127,1844.776835
3.0,218,1856.904545
0.0,129,1863.093757
2.0,202,1873.886431
5.0,346,1893.603296
2.0,220,1906.046829
1.0,155,1913.978533
5.0,352,1933.418448
0.0,129,1939.953059
1.0,155,1948.927855
0.0,127,1955.274122
4.0,322,1974.14187
0.0,127,1981.78895
0.0,127,1989.192811
1.0,155,1997.736252
4.0,258,2013.248491
4.0,299,2029.040121
1.0,173,2038.429075
0.0,129,2046.089454
0.0,129,2051.721208
1.0,155,2059.987894
1.0,155,2068.064833
7.0,432,2091.6564
1.0,153,2099.969256
11.0,476,2126.154188
3.0,254,2139.8208
2.0,202,2149.426298
0.0,129,2155.350858
1.0,158,2163.439988
3.0,274,2179.726885
2.0,198,2190.200208
1.0,155,2197.892282
6.0,400,2217.774779
6.0,350,2242.73519
13.0,459,2268.389015
2.0,185,2279.147152
2.0,202,2289.496778
0.0,127,2296.108662
2.0,205,2306.986437
0.0,127,2312.921592
6.0,324,2331.623922
4.0,260,2345.691093
10.0,450,2371.020556
3.0,231,2382.748685
10.0,467,2409.298942
2.0,200,2419.830422
0.0,127,2425.624628
12.0,513,2455.619101
3.0,216,2466.294125
4.0,257,2480.421339
6.0,380,2501.901989
4.0,258,2514.953528
2.0,223,2525.993543
2.0,184,2535.076612
1.0,174,2543.379452
3.0,235,2554.784781
4.0,301,2573.340764
5.0,350,2590.466146
3.0,250,2603.546914
1.0,173,2612.785451
2.0,202,2622.884794
4.0,297,2638.224681
1.0,174,2646.991194
9.0,404,2666.984188
10.0,428,2690.400985
4.0,300,2705.642095
4.0,248,2719.283937
1.0,155,2727.056465
10.0,451,2749.432939
4.0,265,2762.908034
14.0,400,2784.014761
1.0,157,2792.078584
9.0,404,2815.282967
6.0,400,2836.874556
11.0,480,2863.339165
2.0,205,2873.371391
0.0,129,2879.64573
10.0,443,2903.461419
9.0,380,2924.005059
10.0,389,2944.142253
13.0,543,2972.625504
2.0,202,2982.282512
4.0,242,2995.528366
5.0,277,3009.143597
3.0,238,3031.681711
3.0,251,3045.148606
2.0,201,3055.972595
3.0,230,3067.525804
2.0,187,3078.235564
6.0,353,3097.613843
2.0,205,3108.380907
15.0,518,3138.744748
15.0,507,3166.25684
4.0,297,3181.691195
10.0,430,3204.803727
6.0,381,3225.828933
9.0,344,3244.62879
12.0,575,3274.868071
11.0,443,3301.636688
14.0,617,3335.780101
8.0,447,3361.914804
9.0,403,3383.386613
5.0,330,3401.163446
12.0,458,3425.026883
