advantage_norm,explained_variance,epoch_idx,value_loss,P01:episode_rewards,PMM:episode_rewards,episode_length,P09:episode_rewards,approx_kl_divergence,policy_entropy,fps,frames,grad_norm,policy_loss,clip_fraction
15.968716603517532,-1.599957115575671,1,493372385.2779465,125.0,148.33333333333334,321.9,175.0,3749176.311485248,0.16894484173663732,186,10240,480986990.4666014,0.034809236748424156,0.1687255859375
15.968714284896851,2.0116567611694337e-08,2,0.012392408990029935,125.0,161.88524590163934,325.1475409836066,200.0,0.009465456584357046,0.3128658999921754,174,20480,0.1225410686806705,0.0022030072822076365,0.06337890625
15.968717849254608,5.960464477539063e-09,3,0.01206052280649601,125.0,171.38888888888889,335.84444444444443,250.0,0.004377805338481267,1.0611931014806033,189,30720,0.06088150514645415,0.001182452301509329,0.1390869140625
15.968717694282532,1.1175870895385742e-09,4,0.011495724598353263,150.0,181.0,338.48,252.50000000000023,0.00335392691818015,1.2835754990577697,197,40960,0.04352428618460108,0.0002768423306406476,0.1833740234375
15.968717896938324,-8.568167686462402e-09,5,0.010012344844653853,122.5,180.75,345.43,275.0,0.003775215296582246,1.4147505670785905,203,51200,0.04583521832453676,-0.0010681541367375757,0.208544921875
15.968717801570893,-1.6391277313232423e-08,6,0.010465201228362276,75.0,179.0,344.43,275.0,0.0031849601703072493,1.3750138454139234,207,61440,0.040806733404734605,-0.0011730904763680883,0.161328125
15.968717551231384,1.2665987014770507e-08,7,0.008069356730811706,50.0,159.5,336.82,275.0,0.0034510608996697555,1.338749384880066,211,71680,0.040646132023811433,-0.0011682222422678024,0.1994873046875
15.968717622756959,-8.568167686462402e-09,8,0.00944050308153237,50.0,155.25,330.95,252.50000000000023,0.0036590558129148574,1.3517365649342536,214,81920,0.039933554757177636,-0.001368464827828575,0.197216796875
15.968717980384827,-7.078051567077636e-09,9,0.013544490655476693,50.0,161.75,334.26,275.0,0.002573172871677798,1.412914613634348,215,92160,0.04314181300315864,-0.00029192585534474345,0.1302490234375
15.968717795610427,-2.1979212760925294e-08,10,0.011698816504213028,50.0,183.75,343.11,277.5000000000002,0.0033766499195508003,1.4977184489369393,215,102400,0.0503892269535355,-0.0011319740915496368,0.2224609375
15.968717783689499,-2.6077032089233397e-09,11,0.011900708674511406,100.0,205.25,350.41,300.0,0.003542418063580044,1.5152551643550396,216,112640,0.05078994843369444,-0.0016655275590892415,0.2116455078125
15.968717670440673,8.568167686462402e-09,12,0.012183336116140708,122.5,229.0,353.74,302.5000000000002,0.0034790940261018475,1.4830164037644864,216,122880,0.05193166888656272,-0.0015868750033405377,0.204833984375
15.968717736005782,-1.30385160446167e-08,13,0.012556974715698744,125.0,226.25,349.77,300.0,0.002207388191595783,1.5176977962255478,217,133120,0.0508200321868207,-0.0007956023539009039,0.1387939453125
