episode_length,model_prob_std,avg_q_selected,grad_norm,policy_gradient_loss,fps,frames,policy_entropy,policy_loss,advantage_norm,rollout_prob_std,P01:episode_rewards,PMM:episode_rewards,P09:episode_rewards,avg_q_retraced,policy_gradient_bias_correction,q_loss,explained_variance,epoch_idx
0,0.009150093297163646,-0.0005728356165491278,0.04665127828743808,5.321278614853024e-05,452,7200,2.1855094909667967,5.321278614853024e-05,0.029973252614339193,0.009150093467906118,0.0,0.0,0.0,-0.0007156011820976953,0.0,0.00023002995822025697,-41.91471563975016,1
0,0.004058461034825693,0.003967756217025453,0.014012309524795624,-7.599579150034212e-05,267,14400,2.195742956797282,-7.599579150034212e-05,0.0166372071330746,0.004058460957215478,0.0,0.0,0.0,0.003741865073910352,0.0,4.7298274057538944e-05,-44.60220971902211,2
0,0.002465393483483543,0.0011117606734236082,0.0022371452282061166,-4.0103300383028305e-05,376,21600,2.196896537144979,-4.0103300383028305e-05,0.015944228585188586,0.002465393425275882,0.0,0.0,0.0,0.0010618314702999971,0.0,1.5402807108936636e-05,-16.814335028330486,3
0,0.004103735267805556,0.0003942791461668094,0.0032274350365935353,-2.4748571831878508e-06,462,28800,2.196496343612671,-2.4748571831878508e-06,0.02740013279641668,0.004103735252283513,0.0,0.0,0.0,0.0005083675787318498,0.0,2.2242371536170442e-05,-20.88565673828125,4
0,0.0017908331860477726,0.0006898466046550312,0.0012790414379846445,-1.4503779505048442e-05,470,36000,2.1970279216766357,-1.4503779505048442e-05,0.012006853163863221,0.0017908331879880278,0.0,0.0,0.0,0.0006688494099459301,0.0,8.51856807457807e-06,-40.43975801467896,5
3324.6666666666665,0.002367481032464032,0.0003154211939545348,0.0015788854034359907,-1.503989911005495e-05,452,43200,2.1969173828760784,-1.503989911005495e-05,0.01776171011539797,0.0023674810460458198,0.0,0.0,0.0,0.00033095250925422687,0.0,1.0042908949496146e-05,-43.05304765701294,6
3324.6666666666665,0.0008338100529120614,0.0007523971739222664,0.0007553760236124828,-6.55147869489762e-06,449,50400,2.1971686204274494,-6.55147869489762e-06,0.006209570045272509,0.0008338100276887416,0.0,0.0,0.0,0.0007391457217939509,0.0,5.104924112705097e-06,-78.01667757034302,7
3324.6666666666665,0.0009645341138821095,0.0018762436501371363,0.0009136448550627862,-5.005356582993651e-05,455,57600,2.1971720774968464,-5.005356582993651e-05,0.006451852371295293,0.0009645340925393005,0.0,0.0,0.0,0.001904907413215066,0.0,5.150485075470594e-06,-73.89340437253317,8
3324.6666666666665,0.0014232869095091398,0.00036199909445713276,0.0007529181550444073,-6.968106030550795e-06,462,64800,2.197103579839071,-6.968106030550795e-06,0.011090045018742481,0.0014232868910767139,0.0,0.0,0.0,0.0003430568482144736,0.0,4.227864606794659e-06,-33.336349932352704,9
3324.6666666666665,0.0010120970095158555,0.00027683470734700676,0.0005265580281069517,-7.1626312906876896e-06,468,72000,2.197148648897807,-7.1626312906876896e-06,0.007828441976259152,0.0010120969998145787,0.0,0.0,0.0,0.00024871154770759557,0.0,2.7156364183156257e-06,-106.75492992401124,10
