P01:episode_rewards,P09:episode_rewards,epoch_idx,episode_length,explained_variance,fps,advantage_norm,frames,policy_entropy,grad_norm,policy_loss,value_loss,PMM:episode_rewards
0.0,2.0,1,154.32,-4.375964502096176,240,1.6048844807595015,8000,1.3428443253040314,1.358036601482777,-0.012943348866538145,0.0357121863131033,0.72
0.0,2.0,2,157.2,-0.17954223453998566,161,1.0058903839066624,16000,1.376778244972229,0.22889352402163068,0.0020949557356652803,0.01104688441446342,0.8
0.0,2.0,3,163.39,-0.08835170984268188,178,1.0543577710911631,24000,1.376674851179123,0.2150131825684018,0.0020345625292975456,0.011546773568570643,0.94
0.0,3.0,4,171.97,-0.08099215686321258,187,1.068259377963841,32000,1.3660006773471833,0.19178242566084847,0.0024907711619744075,0.011620392922513928,1.16
0.0,3.0,5,167.35,-0.04125472009181976,194,1.0919958560168743,40000,1.3758176004886626,0.21445863906552481,0.003520103841437958,0.01225989005869451,1.08
0.0,3.0,6,177.2,0.000538378357887268,199,1.2153555557876825,48000,1.3818194150924683,0.20300298356028165,-0.0005533323786221445,0.013225256562791401,1.31
0.0,4.0,7,186.91,-0.012838880419731141,202,1.245764772295952,56000,1.3839836382865907,0.22209618521769378,0.003137774113783962,0.014008451819172478,1.52
0.0,4.0,8,186.14,-0.12558884739875795,207,1.2877825748920442,64000,1.382785016298294,0.24810317071861937,0.0013177047146018595,0.014252801251714117,1.46
0.0,4.0,9,188.56,0.0007488417625427246,203,1.3557537157833577,72000,1.3717410314083098,0.28157971554565336,0.000804354160791263,0.015506585644398002,1.5
0.0,4.0,10,180.74,-0.014836783409118653,209,1.0473820991069078,80000,1.375618623495102,0.2993197559505963,-0.004047208714182488,0.011543937039677985,1.38
0.0,3.0,11,166.93,0.10333526372909546,210,1.1202535865455865,88000,1.3839287173748016,0.3057114279145278,-0.0017885163910978008,0.011234544417748111,1.03
0.0,2.1000000000000085,12,164.11,0.06734121501445771,211,1.1690952584147454,96000,1.3782617902755738,0.3479889406575785,-0.0013438715727534145,0.012252777154935756,0.97
0.0,3.0,13,172.96,-0.238528248667717,211,1.2060726845264436,104000,1.3810018992424011,0.3142666218564974,0.0008768369333120063,0.011890481445079785,1.18
0.0,3.0,14,178.65,0.4575943022966385,212,1.1472519034147262,112000,1.3814705109596253,0.2768122558836334,-0.0012406425123481313,0.01068161865696311,1.33
0.0,4.0,15,184.63,0.6267891979217529,212,1.3325636143982411,120000,1.37022247672081,0.37477109235442363,-0.008987534789775964,0.014248673144320491,1.46
0.0,4.0,16,193.05,0.5353593629598618,212,1.5142644882202148,128000,1.3625530862808228,0.5046978356496232,-0.00914615459914785,0.020033622887567618,1.63
0.0,5.0,17,203.18,0.5951267099380493,214,1.2729302379488945,136000,1.362011774778366,0.36410040625938983,0.0013374963027854392,0.011612339472630993,1.86
0.0,5.0,18,207.67,0.8114287877082824,215,1.1436921873688697,144000,1.3512530136108398,0.3445984353962426,-0.004611772357020527,0.01007789884286467,1.97
0.0,5.0,19,216.88,0.6456191319227219,214,1.4907111564278603,152000,1.3549290120601654,0.45617863286077354,-0.006519006455200724,0.01610063623986207,2.28
0.0,7.1000000000000085,20,220.59,0.8810796749591827,214,1.0978835216164589,160000,1.3650307273864746,0.29946703507855577,-0.000174814143574622,0.008596836854703725,2.48
0.0,7.1000000000000085,21,221.45,0.8528632569313049,215,1.0840059646964073,168000,1.3544651758670807,0.3067857941397751,-0.0015899835161690135,0.008988020263204817,2.51
0.0,5.1000000000000085,22,203.59,0.9011448484659195,216,1.003774885237217,176000,1.3329151618480681,0.31173718771273806,-0.0025487155980954412,0.0072982768411748115,2.02
0.0,5.0,23,198.03,0.8916743457317352,216,1.1388791763782502,184000,1.3567596089839935,0.30135159227025166,-0.0009162948370794766,0.00968968847184442,1.82
0.0,8.100000000000009,24,208.91,0.8900748425722123,217,1.1526029133796691,192000,1.3624266505241394,0.3207077227955105,0.0009691257152007893,0.010079868127941155,2.22
0.0,9.0,25,219.04,0.9290213024616242,217,0.9231522184610367,200000,1.344435272216797,0.2368172134528599,-0.0004728462935599964,0.006454181014560163,2.48
0.0,9.0,26,219.81,0.9072651886940002,217,0.9465766376256943,208000,1.3466923880577086,0.2836064724046473,0.0009801047152723187,0.009250340342987329,2.52
0.0,6.0,27,202.51,0.9515406143665314,216,0.7872873765230178,216000,1.344178285598755,0.21504049730440566,-0.0021200223080813886,0.004995077156636398,2.03
0.0,5.0,28,207.02,0.9152859830856324,218,1.0297978484630586,224000,1.3573259603977204,0.2743863973823793,-0.0004963895966648125,0.008207945417962038,2.06
0.0,6.0,29,215.02,0.9421568310260773,218,0.7432167954742909,232000,1.3470012187957763,0.1626997975371003,-0.0009699813192492002,0.004323555498558562,2.26
0.0,5.0,30,200.3,0.9413722831010819,218,0.7857741084694863,240000,1.3427195918560029,0.19399636256845526,-0.0012696247154963202,0.005204380434006453,1.85
0.0,5.0,31,204.53,0.9394905722141266,219,0.8730862171947956,248000,1.3454254865646362,0.2129578267727859,-0.0006696268226369284,0.006009720907022711,2.04
0.0,7.200000000000017,32,215.49,0.9609459459781646,217,0.7776404029130936,256000,1.3482574820518494,0.19896585803495373,-0.0008191140679991804,0.004831842894200236,2.43
0.0,9.0,33,219.99,0.9530179744958878,217,0.7757219298183918,264000,1.3513382267951966,0.19045119830946397,-7.269796922628303e-05,0.004643099154345691,2.54
0.0,5.0,34,199.14,0.956059165596962,217,0.7981051273643971,272000,1.3595546102523803,0.2109941690804693,-0.0015453561543836258,0.005003567550447769,1.87
