epoch_idx,P01:episode_rewards,advantage_norm,episode_length,fps,P09:episode_rewards,explained_variance,policy_entropy,frames,grad_norm,policy_loss,PMM:episode_rewards,value_loss
1,0.0,2.368087935745716,179.18421052631578,355,4.0,-4.012024172544479,1.2784552985429765,8000,4.64718258511593,-0.000605698135914281,1.3421052631578947,0.09283824063302745
2,0.0,1.019949670881033,176.86516853932585,238,4.0,-0.07734884679317475,1.3797581231594085,16000,0.22971282366251602,0.002018933793879114,1.247191011235955,0.010513408381448243
3,0.0,1.3308173581212759,183.92,250,4.0,-0.04919146716594696,1.372355043888092,24000,0.3280584777390216,0.006706865824526176,1.35,0.017257255038603033
4,0.0,1.1469044029712676,184.49,259,4.0,-0.08277213275432586,1.3670031714439392,32000,0.25774700164532577,0.002628321888987557,1.46,0.012418899391341255
5,0.0,1.0499700186401606,190.11,265,4.1000000000000085,0.047058116793632504,1.3761358809471131,40000,0.25299808206850827,0.0006517648990848102,1.62,0.011076290165510727
6,0.0,1.3421466638147832,181.46,271,4.0,0.034654396772384646,1.3362369513511658,48000,0.5241721885983442,-0.0004901449452154338,1.32,0.018855068474804285
7,0.0,1.0141358114778996,174.41,273,3.0,0.224416463971138,1.349539566040039,56000,0.2702874460672295,0.0013524144414623152,1.15,0.00890906511223875
8,0.0,1.318740682452917,172.0,273,3.0,0.3426659560203552,1.367422788143158,64000,0.476079189525104,-0.002400769364321604,1.11,0.015175167345732916
9,0.0,1.2156100037693978,180.87,274,3.1000000000000085,0.06515023291110993,1.3559471821784974,72000,0.3693763500010732,0.0018006066433008526,1.33,0.012217738608596847
10,0.0,1.3381838300824165,185.7,273,3.0,0.5257577699422836,1.3652259004116059,80000,0.439500589687655,-0.0042505537695251405,1.46,0.01414077919907868
11,0.0,1.2239058101177216,183.37,274,3.0,0.5926161634922028,1.3349102997779847,88000,0.35136000406068896,-0.004965251095127314,1.38,0.010809152113506571
12,0.0,1.513073952794075,194.59,276,4.0,0.7009567505121231,1.3473164200782777,96000,0.5859201204715446,-0.0019898257337627,1.66,0.0176447484199889
13,0.0,1.3285613515973091,209.9,276,5.0,0.8110369938611984,1.363144142627716,104000,0.36864145315735314,-0.003202967087418074,2.03,0.012327698646113277
14,0.0,1.1864203062653542,208.74,277,5.0,0.8532434195280075,1.3526729142665863,112000,0.3283352714291741,-0.0023741335098748095,1.99,0.010052619283087552
15,0.0,0.96224813580513,201.89,279,5.0,0.9054544311761856,1.3408467054367066,120000,0.2660246261276218,-0.0013308079011039808,1.88,0.00648988317232579
16,0.0,1.003314898610115,200.16,279,5.0,0.9157151228189468,1.3329893493652343,128000,0.31770948455450654,-0.0020015223941300063,1.83,0.0072750471485778685
17,0.0,0.9089332523941994,200.33,280,5.0,0.9123667538166046,1.3405519008636475,136000,0.34333435549693386,-0.003822916100762086,1.86,0.006561304918141104
18,0.0,1.0329204872250557,209.67,281,5.0,0.9072143125534058,1.3375041615962981,144000,0.32841040911863173,-0.002300470188492909,2.07,0.007830516658723355
19,0.0,0.8535076305270195,203.31,282,5.0,0.9428836613893509,1.3328751182556153,152000,0.2557636239004016,-0.0008113254752242937,1.89,0.005404488145723007
20,0.0,0.940079871416092,204.44,283,5.0,0.9128131473064423,1.3382374334335327,160000,0.28078593912265093,0.0009956099015835207,1.93,0.006797376926406287
21,0.0,0.7302127277851105,202.93,284,5.0,0.9596444422006607,1.3193740487098693,168000,0.21007793251504966,-0.0013222089015471282,1.88,0.003800837445887737
22,0.0,0.7887173748016357,214.04,285,5.1000000000000085,0.9561193996667862,1.3434477162361145,176000,0.22066009593137292,-0.001402853094296006,2.22,0.004629480218573008
23,0.0,0.6738746686279774,208.04,286,6.200000000000017,0.9632443320751191,1.3331163012981415,184000,0.18533757861919917,-0.0012611396329157288,2.17,0.0033843921549851076
24,0.0,0.6794398240745068,207.68,286,5.0,0.965656247138977,1.32654376745224,192000,0.18628562922434228,-6.235503184143454e-05,2.11,0.003529437621764373
25,0.0,0.8110784468054771,197.33,287,5.200000000000017,0.936532592177391,1.3289891600608825,200000,0.2172824308135617,-0.0018132775687263348,1.89,0.005155494251230266
26,0.0,0.5401941531896591,200.98,287,9.0,0.979699331521988,1.3429768800735473,208000,0.14606022075821418,0.00032989977960824036,2.06,0.002296764378552325
27,0.0,0.6976951342821122,184.76,287,5.0,0.9541901314258575,1.352792500257492,216000,0.20319110789015274,-0.001561589308839757,1.52,0.0037912020389921962
28,0.0,0.7152679362893104,185.05,287,5.0,0.9520851016044617,1.3511205852031707,224000,0.20458416513744931,-0.0019082887982949616,1.44,0.003999425444926601
29,0.0,0.7562135514616967,185.42,287,4.0,0.9592491728067398,1.35383087515831,232000,0.21929413277912746,-0.000976462319958955,1.48,0.004481265078356955
30,0.0,0.8935005199909211,192.23,288,4.1000000000000085,0.948056743144989,1.3527045667171478,240000,0.2388253369959417,-5.446669092634693e-07,1.74,0.006174000184400939
31,0.0,0.7024843403697014,204.48,289,5.1000000000000085,0.9465507626533508,1.3429272603988647,248000,0.19234926193178606,-0.0016598699608948663,2.02,0.0038546006366959773
