epoch_idx,explained_variance,grad_norm,fps,value_loss,PMM:episode_rewards,frames,advantage_norm,P01:episode_rewards,policy_loss,policy_entropy,P09:episode_rewards,episode_length
1,-0.49061319410800935,1.7418267807283179,721,0.04101367100171047,1.275,8000,1.907633144184947,0.0,-0.001151440350804478,1.3080221564695238,3.1000000000000014,175.125
2,-0.08125623524188995,0.21631648995077274,744,0.010614487994380396,1.2988505747126438,16000,0.9916600044071674,0.0,0.002575456956328708,1.3837935042381286,3.4000000000000057,178.83908045977012
3,-0.035644822120666504,0.19831162489730836,765,0.010958040806033296,1.13,24000,1.0220884778164327,0.0,0.0006482548691565171,1.3823288011550903,3.0,173.28
4,-0.005814010500907898,0.24810660953308186,780,0.015793624115103738,1.25,32000,1.3414129422605037,0.0,0.00249737914535217,1.3689809846878052,3.0,176.24
5,-0.028624504804611206,0.22121312087611977,791,0.013429532339559956,1.38,40000,1.1921334386244415,0.0,0.0027740614413050936,1.3753076112270355,4.0,181.6
6,-0.017122008204460144,0.21047666192080153,800,0.012152725337027732,1.39,48000,1.0873639905452728,0.0,-0.00014461256563663482,1.382164443731308,3.0,181.74
7,-0.004090777635574341,0.16641764017500574,804,0.010089048763165919,1.14,56000,0.9683936725184321,0.0,0.0016539292823290453,1.3811150884628296,2.0,171.21
8,-0.04656668424606323,0.18544450394004908,807,0.011770910490813549,1.08,64000,1.0616390325129033,0.0,0.0034410604868025984,1.37777641415596,2.0,169.74
9,0.015925750732421876,0.1599302426160905,808,0.010438436540134717,1.2,72000,1.0561574546992778,0.0,-0.001070662798010744,1.376847070455551,3.0,172.91
10,-0.007685020565986633,0.19150295134984252,808,0.01155379905096197,1.1,80000,1.131250414699316,0.0,-0.0006919242243748158,1.377159467935562,3.0,168.78
11,-0.013866087198257446,0.2709795468014752,810,0.016295603445905728,1.32,88000,1.3414405642449856,0.0,0.006196386705632904,1.3786939346790315,3.0,177.94
12,-0.0415962553024292,0.2333090613299879,808,0.010733431266708067,1.35,96000,1.0890814512223006,0.0,-0.0036393453864729964,1.3763258457183838,3.0,180.32
13,0.06719226777553558,0.3238982640244111,810,0.014832743734004908,1.33,104000,1.3376582354307174,0.0,0.0015244849375449121,1.370460525751114,3.0,179.1
14,0.18676686584949492,0.2725722386235149,811,0.01158025938872015,1.55,112000,1.158179374486208,0.0,0.00046648768800878316,1.3800203454494477,3.0,186.58
15,0.16791495382785798,0.2726275426900267,810,0.011775373412529006,1.41,120000,1.2264597976207734,0.0,-0.0016554753726813942,1.3794138896465302,3.0,180.85
16,0.2290376603603363,0.3584932019557221,809,0.013716608973627444,1.19,128000,1.2686393432319165,0.0,0.0004649066977435723,1.3737174153327942,3.0,173.3
17,0.4635970014333725,0.35232978258886244,811,0.012607811555499211,1.31,136000,1.325898779630661,0.0,-0.002095786716672592,1.3725682783126831,3.0,177.66
18,0.5175803470611572,0.3074284821555981,812,0.010650449131208006,1.32,144000,1.2090902051329613,0.0,-0.0022777073018369265,1.3684297859668733,3.0,178.29
19,-0.7296946543455124,0.3507437774237335,813,0.012173661945271306,1.28,152000,1.2717159524559976,0.0,-0.006909513785794843,1.3709689283370972,3.1000000000000085,178.32
20,0.7199669456481934,0.329867262316309,815,0.011913136150687932,1.54,160000,1.2907344195246697,0.0,0.00041731946112122387,1.3701005744934083,4.0,189.81
21,0.7873862051963806,0.3924799931744861,816,0.012324513480998577,1.87,168000,1.3338111108541488,0.0,-0.003898568463919219,1.3548880815505981,5.0,197.19
22,0.8178978168964386,0.3770077139884179,818,0.011173703093081713,2.28,176000,1.2511019876599312,0.0,-0.003248614443691622,1.3583768105506897,5.0,210.77
23,0.8436209177970886,0.3012852609811275,819,0.00784355533774942,2.18,184000,1.0232168877124785,0.0,-0.004109010145184584,1.3482358062267303,5.0,206.98
24,0.8882006216049194,0.2984699221676459,820,0.00752910349110607,2.06,192000,1.0167052400112153,0.0,-0.0026498976326547563,1.3425844407081604,5.0,203.88
25,0.8963728678226471,0.2888411205171158,822,0.007733348840265535,2.15,200000,1.020502688586712,0.0,-0.0011009373981505633,1.3333859884738921,5.0,208.27
26,0.9312288212776184,0.23678024425933383,823,0.005620997464866377,2.18,208000,0.8695841825008392,0.0,0.0011374707298818976,1.3586710107326507,5.0,210.56
27,0.8163938218355179,0.37263936747026377,824,0.012857935492065735,2.07,216000,1.2742708578705788,0.0,-0.002265717624104582,1.3651028203964233,5.0,206.67
28,0.9271809464693069,0.26734004755465274,824,0.006768402896705083,1.89,224000,0.9606651368737221,0.0,-0.004178984612808563,1.3479192090034484,5.0,197.18
29,0.9198939675092697,0.22276973002152917,825,0.0065190006245393305,2.25,232000,0.9220079432427883,0.0,0.00045545697459601795,1.3491524279117584,7.200000000000017,208.95
30,0.920376957654953,0.22457494653537488,825,0.006137055006402079,2.2,240000,0.9040467891097069,0.0,-0.002232714633573778,1.3373898100852966,6.0,208.7
31,0.9685694187879562,0.17532301892579213,826,0.0036595181343727747,2.01,248000,0.6696667629480362,0.0,-0.0005849192882305943,1.3381620919704438,6.1000000000000085,200.03
32,0.9477726638317108,0.22027793886889097,827,0.005984858347801492,1.87,256000,0.8739812961220741,0.0,-0.0010827726288698614,1.3497343182563781,5.0,197.25
33,0.9391840952634811,0.20965554730540326,827,0.005607036748551763,2.09,264000,0.8576392957568169,0.0,0.0015570778894471004,1.36329567193985,6.0,206.53
34,0.9396533262729645,0.25164001571125616,828,0.006889649103977717,2.11,272000,0.9452857050299645,0.0,-0.0009042441198835149,1.3604581689834594,5.0,209.88
35,0.971480683684349,0.1642136820138567,828,0.003192625200608745,1.87,280000,0.621593136638403,0.0,-0.001864902122761123,1.3547014343738555,5.0,196.95
36,0.9194804388284683,0.20217188343651432,828,0.005795822655200027,1.77,288000,0.8328211633861065,0.0,0.0001595820940565318,1.3690872645378114,5.0,191.98
37,0.9290214651823043,0.21152527630765874,829,0.006144086121930741,1.79,296000,0.8805789412558078,0.0,-0.0013590704181115144,1.3665659999847413,5.0,194.56
