policy_gradient_loss,P09:episode_rewards,avg_q_retraced,frames,avg_q_selected,model_prob_std,epoch_idx,policy_entropy,policy_gradient_bias_correction,advantage_norm,policy_loss,episode_length,q_loss,P01:episode_rewards,explained_variance,rollout_prob_std,grad_norm,PMM:episode_rewards,fps
-0.0007472722400355754,0.0,-0.008820053325325716,7200,-0.00799064181628637,0.016475577458428838,1,2.1543134252230325,0.0,0.12426263963182767,-0.0007472722400355754,0,0.0006131086189270718,0.0,-5.054589033126831,0.01647557730320841,0.1345276253171412,0.0,489
-0.00010349599991362386,0.0,-0.003446291790654262,14400,-0.0031351613889758784,0.008095644513377919,2,2.1871164242426553,0.0,0.06726177930831909,-0.00010349599991362386,0,0.0001520180256193271,0.0,-5.6177976608276365,0.008095644113685315,0.07046475286284264,0.0,269
2.5400519916729538e-06,0.0,5.484853075662007e-06,21600,1.5459641997495054e-05,0.0018828758446034044,3,2.1970454374949138,0.0,0.029611736349761487,2.5400519916729538e-06,0,1.3381198535474444e-05,0.0,-5.643260526657104,0.0018828757980372756,0.003423657344695417,0.0,314
3.356958586664405e-05,0.0,0.00042333717671378204,28800,0.0003625659623745984,0.0036785947003712257,4,2.1966248114903766,0.0,0.03909491822123527,3.356958586664405e-05,0,1.5989297950606365e-05,0.0,-4.549213123321533,0.0036785946770881615,0.0044423725883637865,0.0,344
3.5429604755184605e-06,0.0,-0.000659182157930142,36000,-0.0006517799964058213,0.0014714288079024603,5,2.197078323364258,0.0,0.019373856578022243,3.5429604755184605e-06,0,5.172135001885181e-06,0.0,-5.385414075851441,0.0014714287613363315,0.0016406162292106833,0.0,365
-2.8035200345281433e-05,0.0,-0.0005806428137778615,43200,-0.0005374284385955738,0.002115284709725529,6,2.1969882329305013,0.0,0.022753669787198304,-2.8035200345281433e-05,3324.5833333333335,6.0547435756082756e-06,0.0,-4.8837021032969155,0.0021152846204737824,0.00206492079353967,0.0,380
1.8824533405374193e-05,0.0,-0.0012925246943874906,50400,-0.0012952299187115083,0.0006902074053262671,7,2.197189688682556,0.0,0.009178330547486742,1.8824533405374193e-05,3324.5833333333335,1.7838063873417316e-06,0.0,-5.292446565628052,0.0006902073791328196,0.0010356407756070892,0.0,392
8.759344348921635e-05,0.0,-0.0022698821790982037,57600,-0.0023049322325581064,0.0006961039839855705,8,2.1972009738286338,0.0,0.009399795299395918,8.759344348921635e-05,3324.5833333333335,1.280704389235628e-06,0.0,-5.04773751894633,0.000696103964583017,0.0009535828355715233,0.0,401
4.0889710591803424e-05,0.0,-0.0006979340794108187,64800,-0.0007330097699499069,0.0013307494101657844,9,2.197119466463725,0.0,0.015366616394991676,4.0889710591803424e-05,3324.5833333333335,3.1422888146911038e-06,0.0,-4.894586579004923,0.0013307493480776125,0.0010723048126222306,0.0,411
2.8141453147630574e-06,0.0,-0.0007608326501213014,72000,-0.0007516278167410443,0.0009425197335076518,10,2.1971608877182005,0.0,0.010608214636643727,2.8141453147630574e-06,3324.5833333333335,1.7601332243562713e-06,0.0,-5.306444724400838,0.0009425197165304174,0.0007724528954742469,0.0,419
