P01:episode_rewards,epoch_idx,approx_kl_divergence,explained_variance,clip_fraction,advantage_norm,episode_length,frames,policy_loss,fps,P09:episode_rewards,policy_entropy,value_loss,grad_norm,PMM:episode_rewards
75.0,1,0.008249903109573081,-0.009311969950795173,0.31611328125,15.968719357252121,336.037037037037,10240,0.006700114291015779,168,285.00000000000006,1.6459310203790665,1.422072070091963,25.751741630400716,200.0
75.0,2,0.0023034163405558613,0.15679410807788371,0.1533203125,15.968719333410263,342.719298245614,20480,-0.0025249706326576416,155,350.0,1.6610115051269532,0.23374206046573817,3.7194550568347227,224.56140350877192
125.0,3,0.0021171808079091642,0.21552179157733917,0.1332763671875,15.968719244003296,348.01149425287355,30720,-0.004082502937671961,161,375.0,1.6390209414064885,0.14858362125232816,3.166100266656992,241.09195402298852
125.0,4,0.002056371880781054,0.41286387741565705,0.1269287109375,15.968719321489335,348.55,40960,-0.003968732916837326,167,375.0,1.6488259755074979,0.15389832761138678,3.625554906312381,244.5
125.0,5,0.0019387370639382044,0.5707019403576851,0.117724609375,15.96871926188469,353.7,51200,-0.004271885469461267,170,480.00000000000045,1.710148821771145,0.14545866171829402,3.8135856972199234,260.5
125.0,6,0.002173970660101371,0.6964301884174346,0.133984375,15.96871938109398,353.64,61440,-0.004464195521359215,173,552.5000000000002,1.7236128486692905,0.15516500240191816,4.097110471764934,265.75
150.0,7,0.0017737849892344789,0.6964733131229878,0.104443359375,15.968719136714935,356.77,71680,-0.004470098830279312,175,552.5000000000002,1.7396790236234665,0.1459698174148798,3.4239967587643982,279.0
125.0,8,0.0020946203713154365,0.6321069560945034,0.132568359375,15.968719315528869,360.16,81920,-0.0051743954591074726,178,525.0,1.7458624139428138,0.15359481784980744,3.0743989126494755,278.0
125.0,9,0.0016419524786445573,0.7929389651864767,0.0960693359375,15.968719214200974,365.32,92160,-0.005741270844737301,180,450.0,1.7292360752820968,0.11210497529245914,2.895254876060897,266.0
147.5,10,0.0022104081504952014,0.8003640759736299,0.14130859375,15.968719387054444,372.81,102400,-0.005624500293197343,182,502.5000000000002,1.719904613494873,0.1346905472688377,3.096229497235073,284.0
