P01:episode_rewards,value_loss,policy_loss,advantage_norm,P09:episode_rewards,PMM:episode_rewards,policy_entropy,explained_variance,frames,epoch_idx,fps,grad_norm,episode_length
0.0,0.028419820173658083,0.005472723359707743,1.6541955646872522,3.0,1.3243243243243243,1.3385837256908417,-2.207740612626076,8000,1,190,1.1154107481039335,180.0810810810811
0.0,0.011393172536545535,0.0026485202557523734,1.0270644447952508,3.0,1.2150537634408602,1.3791639304161072,-0.2254588359594345,16000,2,173,0.23539531889882404,174.5483870967742
0.0,0.01614593252154009,0.0032267641508951783,1.3566099383682013,3.0,1.26,1.3775118100643158,-0.02448938012123108,24000,3,184,0.2820696149061708,174.76
0.0,0.01393908595910034,0.0036293968505924567,1.1882546485960483,3.0,1.41,1.3747625076770782,-0.1366252326965332,32000,4,189,0.26118009515036283,181.54
0.0,0.01271729885294917,0.002280316795804538,1.1878441102057695,3.1000000000000085,1.41,1.374852569103241,0.03637261748313904,40000,5,195,0.24782538272936278,183.06
0.0,0.015307636730431113,0.0019514995849749539,1.358081886470318,4.0,1.59,1.3790437591075897,0.10978437006473542,48000,6,193,0.3465493165131857,189.35
0.0,0.0166374913326581,-0.008198067465855274,1.3436407575011253,3.0,1.53,1.376943243741989,0.29931224286556246,56000,7,193,0.4058746236864729,189.78
0.0,0.01588736453471938,-0.0050501747168164,1.33070547118783,3.0,1.42,1.3682003843784332,0.25972567856311796,64000,8,194,0.42070157527536983,184.26
0.0,0.012639956330385758,-0.005560445885057561,1.2225275295972824,3.0,1.25,1.3781336760520935,0.5875259739160538,72000,9,200,0.3657023316923636,175.39
0.0,0.018323118696716847,-0.0012251140028820373,1.4152208822965622,3.0,1.22,1.3708851647377014,0.5113133728504181,80000,10,201,0.48394473752288475,176.2
0.0,0.01254843684277148,-0.00032639119774103165,1.253598141372204,3.0,1.28,1.3770410370826722,0.4722199195623398,88000,11,205,0.36881131562134234,178.27
0.0,0.010835165047901683,-0.004423523956211284,1.1746441626548767,3.0,1.1,1.368342765569687,0.4671535128355026,96000,12,203,0.39845873577075663,169.16
0.0,0.014045457842876204,-0.007147772838361561,1.2523941060900687,2.0,1.04,1.3756356263160705,0.5828769361972809,104000,13,207,0.4489466412123504,167.45
0.0,0.014894062706152908,-0.00509756695239048,1.4270614004135131,3.0,1.16,1.372356230020523,0.5054697406291961,112000,14,209,0.444815118582701,173.97
0.0,0.013658645085524768,-0.005989289643475786,1.3146865040063858,3.0,1.33,1.3783451592922211,0.5653964370489121,120000,15,209,0.4729117547718229,180.01
