grad_norm,policy_entropy,P01:episode_rewards,P09:episode_rewards,value_loss,policy_loss,explained_variance,fps,epoch_idx,frames,advantage_norm,episode_length,PMM:episode_rewards
14.225681825736633,1.2740361657738686,0.0,3.0,0.41207798418777203,-0.009640018213540316,-2.3869353300333023,234,1,8000,3.679445483647287,180.2,1.3
0.16500597369053424,1.3648420000076293,0.0,3.0,0.010109532473502441,0.00017037183803040535,-0.41493767738342285,149,2,16000,0.9950723047740757,179.1264367816092,1.3103448275862069
0.1500533169571794,1.3767761898040771,0.0,4.1000000000000085,0.008594062813335768,0.00042966577457264065,-0.30733383893966676,171,3,24000,0.9085084842517972,185.0,1.46
0.14687137517553706,1.3805023908615113,0.0,5.0,0.009174107918797745,0.0006196503623505122,-0.318652902841568,185,4,32000,0.9326186463981867,190.55,1.58
0.1332876269985814,1.3819299018383027,0.0,4.0,0.010000188460198843,0.0010069326986558735,-0.12733353018760682,198,5,40000,1.0117322859913112,188.31,1.5
0.10191900693155156,1.3814189887046815,0.0,4.0,0.007388850484823024,-0.001005334768560715,-0.44789811432361604,206,6,48000,0.8147623748611659,182.4,1.34
0.09802051190270385,1.3829905164241791,0.0,3.0,0.007171845408274749,0.0009516842770972289,-0.3348709923028946,212,7,56000,0.7600626172311604,168.63,1.03
0.12526721302255028,1.3846924316883087,0.0,3.0,0.009240844151827332,0.00019710601307451725,-0.15806406617164612,215,8,64000,0.9265321131423115,172.39,1.18
0.14705190063587176,1.382211445569992,0.0,4.0,0.009004563667831462,-0.0009176784445298836,-0.2859338718652725,220,9,72000,0.9239890327304602,188.93,1.64
0.11466986294559843,1.3835456740856171,0.0,4.0,0.0077828376509842204,-0.0004173489136155695,-0.1489113277196884,224,10,80000,0.8542420481517911,186.03,1.57
0.12203715181815321,1.3846808528900147,0.0,3.1000000000000085,0.008476299171798018,0.00036001180094899607,-0.11591469705104827,225,11,88000,0.9304839878529311,185.46,1.51
0.10633828648695076,1.384155353307724,0.0,3.0,0.007670193736812507,0.0015039357884961647,-0.28484362602233887,228,12,96000,0.8194328313693404,179.33,1.35
0.12676817834575382,1.3849994778633117,0.0,4.0,0.008496860882005422,-0.0011762766540050506,-0.1007219660282135,230,13,104000,0.8843633276224137,178.67,1.35
0.1044960284070315,1.3831290197372437,0.0,3.0,0.006794669929113297,0.00015877579178777523,-0.23832395911216736,232,14,112000,0.7444786327332258,173.01,1.18
0.1170393876466613,1.3830032670497894,0.0,3.0,0.007959374616621061,0.00025445369799854235,-0.35820366322994235,234,15,120000,0.875748241841793,170.14,1.06
0.1228940580116402,1.3816556990146638,0.0,2.0,0.007217222003673669,0.0015506356599507853,-0.23568736672401427,235,16,128000,0.7789144501462579,172.54,1.11
0.1363242241804366,1.3818790709972382,0.0,3.0,0.00842800725818961,-0.0006928215484367684,-0.41136803925037385,237,17,136000,0.9063393328338861,178.13,1.26
0.13594629143938503,1.3844389641284942,0.0,3.0,0.007112308764408226,0.0006251133921614383,-0.524581812620163,238,18,144000,0.7901981706172228,179.49,1.31
0.14669373414832593,1.3799631989002228,0.0,3.0,0.008106035899472772,-0.0002751335948414635,-0.14417680621147155,239,19,152000,0.916500581651926,178.39,1.29
0.1444924362220084,1.3819641709327697,0.0,3.1000000000000085,0.006937814697012073,0.0011504358417732874,0.03537207543849945,241,20,160000,0.8460901457071305,183.27,1.39
0.1690243560445624,1.3837858712673188,0.0,4.0,0.007514323664727271,-0.0015056490726419725,-0.2189566034078598,242,21,168000,0.8758225683867932,184.0,1.41
0.13952988836860503,1.3822137033939361,0.0,4.0,0.006227831194883038,9.158337314147503e-05,-0.13687493562698363,243,22,176000,0.8158352506160736,181.86,1.35
0.1564171959697969,1.377441395521164,0.0,3.1000000000000085,0.007058371363309561,4.555163079203339e-05,-0.030187438130378722,244,23,184000,0.876151314303279,176.84,1.25
0.18100993016026337,1.3779229831695556,0.0,4.1000000000000085,0.00828725644692895,8.63272174319718e-05,0.16151289641857147,245,24,192000,0.9599477051198483,189.67,1.6
