policy_loss,explained_variance,P01:episode_rewards,fps,episode_length,value_loss,advantage_norm,epoch_idx,frames,P09:episode_rewards,PMM:episode_rewards,policy_entropy,grad_norm
0.003754503089003265,-2.0731274670362474,0.0,212,174.6829268292683,0.039919070847354306,1.6864215978235007,1,8000,3.0,1.170731707317073,1.339083126783371,1.3049689965834836
0.001628807284287177,-0.08507251620292663,0.0,200,165.46391752577318,0.009948500330735896,0.9496550008840859,2,16000,3.0,1.0103092783505154,1.3628155195713043,0.18348828903870407
0.001915511682163924,-0.057785324454307556,0.0,221,165.97,0.013740331288863672,1.2049147211760283,3,24000,3.0,1.08,1.367882581949234,0.24054356686288195
0.0008952354831853882,-0.014663220643997192,0.0,227,176.44,0.014563928064399078,1.2574946610629558,4,32000,3.0,1.32,1.3765577507019042,0.2317728090363261
0.005404500450385968,-0.030572440028190612,0.0,233,181.03,0.015516397981264163,1.3309394963085652,5,40000,3.0,1.37,1.3705121660232544,0.24571179160581547
-0.0021210571721894667,0.004953020811080932,0.0,241,197.79,0.04601075153641432,1.748164421468973,6,48000,5.0,1.8,1.3120373161137104,0.7339479970103123
-0.0011737805837765335,-0.012278518080711365,0.0,246,208.94,0.011917801691452042,1.1280319552123546,7,56000,5.1000000000000085,2.08,1.376974378824234,0.2967240722093967
-0.002921081492677331,0.3130404543876648,0.0,251,190.3,0.01449084168416448,1.345620237439871,8,64000,4.0,1.59,1.3684881901741028,0.31422142158431976
-0.0017471857852069661,0.3611719959974289,0.0,251,185.08,0.01247478561796015,1.257109815776348,9,72000,4.0,1.43,1.377539781332016,0.3417707159413924
-0.0026678364985855295,0.2833388113975525,0.0,252,183.32,0.013616847956727724,1.2228370337188244,10,80000,4.0,1.39,1.3792728006839752,0.4072221421861265
-0.003983742810232798,0.5578723800182342,0.0,256,174.69,0.01080167628795607,1.1845848071575165,11,88000,3.0,1.19,1.3649544835090637,0.3362866953908371
-0.0026057419426797424,0.6946556031703949,0.0,258,167.59,0.009880558801232836,1.148110583126545,12,96000,3.0,1.02,1.3594124686717988,0.31189579847852505
-0.0050431864711572415,0.7669067418575287,0.0,259,188.3,0.014890716783702374,1.4255099856853486,13,104000,4.1000000000000085,1.57,1.3476832330226898,0.47199809916581464
-0.002830002612899989,0.8029578500986099,0.0,261,197.68,0.010522485566325486,1.1885202065110207,14,112000,5.0,1.84,1.3496281695365906,0.37581441209676436
-0.0005893704280606471,0.8525134932994842,0.0,261,199.43,0.00801435895205941,1.0447719514369964,15,120000,5.0,1.93,1.366506667137146,0.297626636935277
-0.007849778334493749,0.8595237129926682,0.0,263,188.89,0.011723883099621161,1.2084956842660903,16,128000,5.0,1.6,1.3612634205818177,0.391209244113642
-0.0011832680260704365,0.9169411027431488,0.0,264,189.06,0.007327600534772501,1.0054309338331222,17,136000,5.0,1.51,1.354858876466751,0.29479244435716045
-0.002713570451014675,0.911127598285675,0.0,264,210.28,0.008457697604899294,1.077915166914463,18,144000,6.0,2.11,1.3379574084281922,0.3024139684510811
0.0005942170378693845,0.9393672001361847,0.0,265,209.63,0.0067667397693730895,0.9585203847289085,19,152000,6.0,2.13,1.3491331839561462,0.2562904453018997
-0.0007304438689607196,0.9243658685684204,0.0,265,223.34,0.007821709375130013,1.0348708632588386,20,160000,7.1000000000000085,2.52,1.3572928655147551,0.27762228058848715
-0.0008066185467760079,0.9531116312742234,0.0,264,220.29,0.004421934909769334,0.7631093892455101,21,168000,6.0,2.41,1.3446923673152924,0.2074716487144189
-0.001013421292300336,0.9651950711011886,0.0,264,219.4,0.004560197198297828,0.7882714340090752,22,176000,5.0,2.36,1.317534111738205,0.20946896729813377
-0.0012815143485568115,0.9578777766227722,0.0,265,202.12,0.004640400930074975,0.7590990436077117,23,184000,5.0,1.87,1.3268801879882812,0.20379931877633958
