avg_q_retraced,epoch_idx,q_loss,grad_norm,P09:episode_rewards,model_prob_std,policy_entropy,policy_gradient_bias_correction,explained_variance,fps,avg_q_selected,frames,policy_gradient_loss,policy_loss,rollout_prob_std,episode_length,P01:episode_rewards,PMM:episode_rewards,advantage_norm
-0.005011829920113087,1,0.00023419425821581777,0.031275792883301796,0.0,0.00942706832041343,2.1882886409759523,0.0,-43.06854413350423,931,-0.0049879187252372505,7200,9.973576340674603e-05,9.973576340674603e-05,0.00942706821175913,0,0.0,0.0,0.035079876085122426
-0.004375471776196112,2,0.0002065856628481318,0.061375732460261,0.0,0.007940901548136026,2.187847677866618,0.0,-88.10459219614664,376,-0.00443264280911535,14400,0.00013940533758614038,0.00013940533758614038,0.007940901451123257,0,0.0,0.0,0.016864188108593227
-0.0016902997818154593,3,1.8379959177157918e-05,0.005240571337381718,0.0,0.003131275080765287,2.1965704123179117,0.0,-46.83389924367269,518,-0.0016950088320299983,21600,3.380636456853381e-05,3.380636456853381e-05,0.003131275123450905,0,0.0,0.0,0.014960699932028849
-0.002860003610840067,4,1.697764446362271e-05,0.0028851050502107845,0.0,0.0037275542679708453,2.19661496480306,0.0,-77.70149796803793,635,-0.0028994193533435466,28800,6.863011147591654e-05,6.863011147591654e-05,0.0037275543087162077,0,0.0,0.0,0.0246671871903042
-0.0012794718359752247,5,8.739016114607997e-06,0.0011078288551342721,0.0,0.0015774301098038753,2.197049283981323,0.0,-186.33326924641926,735,-0.0013075552774049963,36000,2.0559966575698733e-05,2.0559966575698733e-05,0.001577430070998768,0,0.0,0.0,0.010229979936654369
-0.0013558087618245433,6,8.593606753493078e-06,0.0013635542599959767,0.0,0.002122159443873291,2.1969831625620526,0.0,-68.94181394577026,816,-0.0013339626146868491,43200,4.233080118514939e-05,4.233080118514939e-05,0.0021221594516343126,3325.1666666666665,0.0,0.0,0.015455843228846789
-0.00048646851306936395,7,8.339484278015637e-06,0.000994637190936066,0.0,0.0008646812445173661,2.1971718390782673,0.0,-151.91859067281086,886,-0.000488574024833118,50400,9.80722481358498e-06,9.80722481358498e-06,0.0008646811979512374,3325.1666666666665,0.0,0.0,0.006239400578973194
-0.0007719951507169753,8,5.923971487694265e-06,0.0008098067927086986,0.0,0.0008559552700414012,2.1971802870432535,0.0,-145.01078131993611,951,-0.0007602087125026931,57600,1.8532882745603273e-05,1.8532882745603273e-05,0.0008559552816829334,3325.1666666666665,0.0,0.0,0.005298102057228486
-0.0010043663098864878,9,4.559209230592387e-06,0.0007795931586762932,0.0,0.0014039756526472047,2.197105391820272,0.0,-95.34370516141256,999,-0.0009478322661986264,64800,1.7145984982865534e-05,1.7145984982865534e-05,0.001403975673019886,3325.1666666666665,0.0,0.0,0.010465554714513322
-0.0008250920858699828,10,3.179145467887186e-06,0.0005719764488422447,0.0,0.0009423880284884945,2.1971565961837767,0.0,-411.89519985516864,915,-0.0008148516528308392,72000,1.9802519106330388e-05,1.9802519106330388e-05,0.0009423880168469623,3325.1666666666665,0.0,0.0,0.0070447196058618525
