fps,epoch_idx,episode_length,explained_variance,grad_norm,policy_loss,value_loss,PMM:episode_rewards,P09:episode_rewards,P01:episode_rewards,advantage_norm,frames,policy_entropy
833,1,178.775,-1.3948565983772279,18.3149069522677,0.043598179434775376,0.5279249925861587,1.425,3.1000000000000014,0.0,4.234982928186655,8000,1.2801589646935463
857,2,191.20987654320987,-0.1620211935043335,0.1568156741612898,0.00025440114550292494,0.010541657801077235,1.6790123456790123,5.0,0.0,1.0581739219278097,16000,1.3760081481933595
875,3,196.85,-0.3518030273914337,0.1351556096364203,0.000725606598862214,0.008953338408573472,1.8,5.0,0.0,0.9366787667572498,24000,1.3792997896671295
887,4,192.39,-0.15213617980480193,0.1355678435943879,0.0009335808432660997,0.010233403472848296,1.64,4.0,0.0,1.0190179152041674,32000,1.3832574009895324
891,5,179.98,-0.362419992685318,0.11508560664072297,0.0002672327654727269,0.007621847384816647,1.34,3.0,0.0,0.7823373843729496,40000,1.3834576058387755
895,6,178.38,-0.1334275233745575,0.11708212000334588,0.00014082497713388875,0.009037843481055461,1.3,3.0,0.0,0.9573031858354807,48000,1.3801971995830535
897,7,173.01,-0.39038176655769347,0.09407350022898349,-0.0006394588691182435,0.006343080426186134,1.16,3.0,0.0,0.6863820958510041,56000,1.3815372598171234
900,8,176.26,-0.27984782814979553,0.13999909603936778,0.0004201978495984804,0.010738139725744986,1.21,3.0,0.0,1.040484747812152,64000,1.382534602880478
902,9,179.88,-0.1582489639520645,0.11419366955937274,0.0014648106401000404,0.008470756247443206,1.31,3.0,0.0,0.8760058053955436,72000,1.3839916253089906
902,10,190.49,-0.1311413699388504,0.12124801890664585,-0.0009418472007382661,0.009000234621162236,1.52,4.0,0.0,0.9319912078976631,80000,1.3836171233654022
904,11,182.71,-0.17290672719478606,0.1128261612933347,2.7852061175508426e-05,0.008245404591543775,1.34,3.1000000000000085,0.0,0.8477877543121576,88000,1.3847270286083222
905,12,171.96,-0.18582097709178924,0.10347076387541503,9.226057372870854e-06,0.007828501062285796,1.13,3.0,0.0,0.8579866547510028,96000,1.383601770401001
907,13,180.46,-0.1425294905900955,0.12036875373592389,0.0005446013866458088,0.009862284905393608,1.38,4.0,0.0,0.9905182559788227,104000,1.3821741604804993
907,14,195.81,-0.9155917394161225,0.11227214574027528,0.0006801606927183457,0.009110495555160015,1.75,4.0,0.0,0.9246405911445618,112000,1.3846130967140198
909,15,192.53,-0.08530705630779266,0.12620248574872348,0.00046413638337980954,0.011476649864198408,1.66,4.0,0.0,1.1052460626512766,120000,1.3851670217514038
910,16,185.9,-0.17547642350196838,0.09841021094702014,0.00018076466512866317,0.008333978671116711,1.49,4.0,0.0,0.8762872661277652,128000,1.3858704853057862
911,17,188.91,-0.21577751874923706,0.09494144166265224,-0.00042951314244419334,0.008139999843342594,1.55,4.0,0.0,0.8445736688748002,136000,1.3852515697479248
911,18,183.81,-0.17041626036167146,0.10948410507170461,0.0012841120606753974,0.0097964854563088,1.41,3.0,0.0,0.9435751194134354,144000,1.384830161333084
912,19,181.4,-0.17770815789699554,0.0894899672635871,-0.0001825646567158401,0.007746683419591136,1.34,3.0,0.0,0.8501831595227123,152000,1.385048167705536
912,20,177.02,-0.13830858290195466,0.09570413689504625,-0.00033447711193730357,0.00812487342456734,1.24,3.0,0.0,0.8397710720822215,160000,1.385511268377304
912,21,171.79,-0.24642087817192077,0.08947246058811072,-0.0004274716362124309,0.00771545735116888,1.16,3.0,0.0,0.8066360396146774,168000,1.3850725567340851
913,22,172.62,-0.13389366149902343,0.09613069042440689,0.0015734655736014246,0.009354339756455374,1.18,3.0,0.0,0.9437973203510046,176000,1.3830564272403718
913,23,177.19,-0.13887005865573884,0.09537605508655464,-0.000846211163152475,0.008436059358873536,1.26,3.0,0.0,0.9105924191884697,184000,1.3842882215976715
913,24,181.36,-0.17795853018760682,0.09266096224598282,0.0006906042480841279,0.008782480348618265,1.36,3.0,0.0,0.89050881318748,192000,1.3852923214435577
913,25,176.62,-0.1341788190603256,0.09883626886626257,-7.425858100759797e-05,0.008344161630157032,1.19,3.0,0.0,0.8854116249084473,200000,1.3854722321033477
913,26,176.84,-0.15915099382400513,0.09944642383534827,-0.0006032060412690044,0.008113208864233456,1.19,3.0,0.0,0.8320095038414002,208000,1.3850725758075715
914,27,176.08,-0.11841209292411804,0.09603617080323006,0.0011746510877492255,0.008777132444547532,1.23,3.0,0.0,0.9153801790997386,216000,1.3849367225170135
914,28,177.77,-0.21678799092769624,0.1009858205405269,-0.0008277179440483451,0.007758911005566915,1.24,3.0,0.0,0.8260102016478776,224000,1.3844939136505128
914,29,179.7,-0.1924752539396286,0.09442176928158563,-0.0007072464539669454,0.007799500558512591,1.26,3.0,0.0,0.8353605970740319,232000,1.3849832391738892
914,30,173.99,-0.24299735069274903,0.09608555106852697,-0.00047559699043631554,0.007675493934584665,1.16,2.1000000000000085,0.0,0.8012666032463313,240000,1.3845947396755218
914,31,174.51,-0.11820285379886628,0.11093685967594452,-0.0002290193410590291,0.009949451653301366,1.19,3.0,0.0,0.9734100477397442,248000,1.3823851561546325
915,32,182.71,-0.13942421615123748,0.10846784985057895,-3.9949509664438665e-06,0.009319747816371092,1.37,4.0,0.0,0.9436335562169552,256000,1.3828050088882446
915,33,185.48,-0.14319660604000092,0.10967498595163433,0.0007002161664422602,0.009088097620333429,1.43,4.0,0.0,0.9100506059080362,264000,1.3794670903682709
916,34,179.72,-0.12565159559249878,0.10895890680662071,0.0008459265122655779,0.008970086802219158,1.28,3.0,0.0,0.9183418775349855,272000,1.38155086517334
916,35,182.43,-0.1406734472513199,0.10706685060536433,0.000663065284024924,0.009229247442999623,1.38,4.0,0.0,0.9232872243970632,280000,1.3801343607902528
917,36,191.15,-0.11087194263935089,0.11552255138653963,4.793507629074156e-05,0.01092096170195873,1.65,4.1000000000000085,0.0,1.0514751438051462,288000,1.3839824199676514
917,37,192.18,-0.10679500043392182,0.09893603976014624,-0.0004110149468760937,0.009355575672243504,1.64,5.0,0.0,0.950957414470613,296000,1.3818426716327668
917,38,186.43,-0.1338844406604767,0.11728333138617975,0.0015653402305906639,0.008996880237318691,1.47,4.1000000000000085,0.0,0.9396145924553275,304000,1.3846565365791321
917,39,181.76,-0.10650274097919464,0.10330166833141402,0.0004709583206567913,0.00935203264150914,1.38,4.0,0.0,0.9412167509272694,312000,1.3851504826545715
917,40,181.56,-0.07703061044216156,0.1070720935244931,0.0010049642459489406,0.010563589552912162,1.4,4.0,0.0,1.082126047462225,320000,1.3858660197257995
917,41,188.21,-0.1311215889453888,0.10871341076835808,-0.0006199664395535365,0.009663087114622613,1.63,4.0,0.0,1.0037079644203186,328000,1.384740561246872
918,42,185.87,-0.10285739421844482,0.10183860430449237,-0.0005343459834693931,0.009009780322958249,1.58,4.0,0.0,0.9443283079564572,336000,1.3852246963977815
917,43,179.27,-0.11700155615806579,0.10349554409571755,-0.0003464420177624561,0.008922301985112426,1.37,4.0,0.0,0.9246934145689011,344000,1.3842802619934083
917,44,188.01,-0.1779274147748947,0.12480956240829842,0.00010007438031607307,0.011538516994551173,1.51,4.0,0.0,1.10905210852623,352000,1.3817658233642578
918,45,195.84,-0.08723925232887268,0.11043579450933436,0.0006384803225228098,0.008494045865645602,1.75,5.0,0.0,0.8805400843918324,360000,1.3752573597431184
918,46,181.63,-0.1365577185153961,0.09359119956872437,0.0014589971621171572,0.006975255696797831,1.42,4.0,0.0,0.7496944816038013,368000,1.3790359199047089
918,47,176.09,-0.06717098474502564,0.11432777903132889,-0.0005518344463780522,0.008691263548862481,1.22,4.0,0.0,0.9281794773042202,376000,1.3800685453414916
918,48,182.88,-0.04945812940597534,0.12142510587952872,-0.0002199925421155058,0.008857768781672349,1.38,4.0,0.0,0.9111413216590881,384000,1.3768653714656829
