PMM:episode_rewards,policy_entropy,fps,avg_q_selected,episode_length,rollout_prob_std,grad_norm,model_prob_std,epoch_idx,advantage_norm,policy_gradient_bias_correction,P09:episode_rewards,frames,policy_gradient_loss,q_loss,explained_variance,policy_loss,avg_q_retraced,P01:episode_rewards
0.0,2.1141931851704916,443,-0.0014650675979889153,0,0.03822524473071098,0.032434425422505055,0.03822524510324001,1,0.08130539804697037,0.0,0.0,7200,0.0002618566338696837,0.0005588652104052017,-13.566731897989909,0.0002618566338696837,-0.001948993927817355,0.0
0.0,2.171757181485494,212,-0.008287424966692925,0,0.02203989742944638,0.024126681661639324,0.022039897305270038,2,0.03863009341681997,0.0,0.0,14400,0.0004163353806992139,0.000323015545745875,-8.916289663314819,0.0004163353806992139,-0.008412203301365178,0.0
0.0,2.1888394276301066,261,-0.004326079031064485,0,0.014054792746901513,0.007559011573841064,0.014054792653769254,3,0.0561803689536949,0.0,0.0,21600,0.00017498286283815407,6.371799120946283e-05,-6.551289077599844,0.00017498286283815407,-0.004244992633660635,0.0
0.0,2.1854795932769777,294,-0.0018815864183125085,0,0.016742746237044533,0.00804099713056331,0.01674274626808862,4,0.060746019193902615,0.0,0.0,28800,4.4006906330196215e-05,0.00010105560162022205,-20.162390343348186,4.4006906330196215e-05,-0.0018979620067208695,0.0
0.0,2.192635726928711,312,-0.000638843634260411,0,0.00990724009461701,0.002909391076913649,0.009907240063572924,5,0.02750708117770652,0.0,0.0,36000,8.487608378497194e-06,3.0793457866214644e-05,-11.332284450531006,8.487608378497194e-06,-0.0005888867952705823,0.0
0.0,2.190942629178365,322,-0.0010754128572443733,3324.5,0.011348404176533222,0.004551064626975662,0.011348404316231608,6,0.04427586986372868,0.0,0.0,43200,4.0165019698671736e-05,4.430547063141906e-05,-11.483400042851766,4.0165019698671736e-05,-0.001119163528202686,0.0
0.0,2.195793541272481,331,-4.2445603564071156e-05,3324.5,0.005914102867245674,0.0011646000734975455,0.0059141027896354595,7,0.012343635534246762,0.0,0.0,50400,-9.957161099786541e-06,4.124546129939214e-06,-11.957268667221069,-9.957161099786541e-06,-3.93026455033881e-05,0.0
0.0,2.195244137446086,342,-0.00039259383532529076,3324.5,0.0065664805316676695,0.002115370458820626,0.006566480717932185,8,0.012208966740096609,0.0,0.0,57600,7.157016333773451e-05,6.6633195274334865e-06,-8.486236174901327,7.157016333773451e-05,-0.0003574826909850041,0.0
0.0,2.1935242652893066,351,0.0005230740685722898,3324.5,0.008967097491646807,0.0023767295212930384,0.008967097584779064,9,0.028227736537034313,0.0,0.0,64800,-1.1802472757456902e-05,1.9831346387870024e-05,-7.693838485081991,-1.1802472757456902e-05,0.0003891120528881705,0.0
0.0,2.194667275746663,358,-0.0006570275304208432,3324.5,0.007356920822833975,0.001852799886639174,0.007356920776267846,10,0.01959893318514029,0.0,0.0,72000,1.4901115113730156e-05,1.4037030121964259e-05,-18.463182735443116,1.4901115113730156e-05,-0.0006471557760960422,0.0
0.0,2.1917668422063192,364,-0.0005176242116552506,3324.5,0.011190196266397834,0.003434093334891122,0.011190196142221491,11,0.038350547881176075,0.0,0.0,79200,2.3465270260203397e-07,2.8902173036253012e-05,-7.76952436765035,2.3465270260203397e-07,-0.00043599700203837227,0.0
0.0,2.1952237526575726,369,0.0009598255390301346,3324.5,0.006752066143477956,0.0008736753973258572,0.006752066174522042,12,0.010576932815213998,0.0,0.0,86400,-1.7349119085944647e-05,4.3735100632602554e-06,-13.541051355997721,-1.7349119085944647e-05,0.0009611166431568563,0.0
0.0,2.195335054397583,375,4.164753651518064e-06,3324.5,0.006840034853667021,0.0005071728157253709,0.006840034853667021,13,0.004864485096186399,0.0,0.0,93600,-7.5184636671110635e-06,8.111451516394178e-07,-22.562910731633504,-7.5184636671110635e-06,1.6134736749033133e-06,0.0
0.0,2.1954037586847943,380,0.0008450338136753999,3324.5,0.00670438966092964,0.00041642041529060895,0.00670438966092964,14,0.005481162318028509,0.0,0.0,100800,-1.340734483316434e-05,1.0015249448732297e-06,-12.178875160217284,-1.340734483316434e-05,0.0008543708914658055,0.0
0.0,2.19229215780894,384,0.0006881230268239354,3324.5,0.01096893905972441,0.0026943204096971088,0.010968939137334625,15,0.034455249163632594,0.0,0.0,108000,-2.282134811745588e-05,2.1854457352787902e-05,-25.227774794896444,-2.282134811745588e-05,0.0006020510824934415,0.0
0.0,2.1936415910720823,388,0.0004591056693849775,3324.5,0.009190131351351738,0.0008830340252482551,0.009190131475528081,16,0.01079031580593437,0.0,0.0,115200,-1.316373411176149e-05,6.213571448891267e-06,-22.747797314325968,-1.316373411176149e-05,0.0004526687427035843,0.0
0.0,2.189589466178228,388,0.00012306905661962304,3324.25,0.014557240434833581,0.0024796733922793695,0.013678055931814016,17,0.031994651035934185,-5.0791805038547864e-08,0.0,122400,-1.4464538427810723e-05,1.8730990243245596e-05,-8.383929228366368,-1.4515330233731246e-05,0.00013232835930529697,0.0
0.0,2.1906273991531795,384,0.00017473469344801224,3324.25,0.015340403564873017,0.0010806961535399443,0.012762253386715041,18,0.01508228512882765,2.3583536977212827e-06,0.0,129600,-3.755447555623808e-06,4.788539049510545e-06,-11.057078802926203,-1.3970939056120876e-06,0.00014385355485111568,0.0
0.0,2.191123636620385,380,-0.00015247076395169982,3324.25,0.013507675962478278,0.0009447484614248454,0.012217515569904611,19,0.013462644860523548,-5.965589100280039e-07,0.0,136800,5.0768149762629965e-06,3.5778037756143607e-06,-10.937260687389069,4.480256122359974e-06,-0.00016481950456708426,0.0
