frames,fps,episode_length,approx_kl_divergence,P09:episode_rewards,PMM:episode_rewards,policy_entropy,policy_loss,epoch_idx,explained_variance,advantage_norm,value_loss,grad_norm,P01:episode_rewards,clip_fraction
10240,464,278.71875,1947039.2808717086,50.0,14.84375,0.1682627688460374,0.06308744570433192,1,-3.139163384959102,15.96864555478096,608924754.5202525,619246068.5120076,0.0,0.258642578125
20480,440,282.81944444444446,0.015127253060063595,97.49999999999997,21.52777777777778,1.080973128415644,0.0020719732896395727,2,1.3411045074462891e-08,15.968686276674271,0.0032367007562484674,0.06952660481550516,0.0,0.354931640625
30720,458,285.76,0.006358191227445786,77.50000000000021,25.0,1.4102195546030998,-0.00046061658322287257,3,-1.4528632164001465e-08,15.968655437231064,0.003171701457981868,0.03944761360842625,0.0,0.3165771484375
40960,468,292.39,0.004939188145931439,100.0,44.75,1.4747783727943897,-0.0007776088517857715,4,-7.450580596923828e-09,15.968713742494582,0.003780297227726237,0.04735701081753144,0.0,0.2923828125
51200,473,295.75,0.005291819432159173,100.0,55.75,1.5532473355531693,-0.0008926082184189,5,8.940696716308593e-09,15.968716567754745,0.003963649448860451,0.048053076780118,0.0,0.3314208984375
61440,476,296.6,0.00431222031818379,100.0,59.75,1.5366139248013497,-0.0012330445020779734,6,-1.4901161193847657e-09,15.96871252655983,0.0038284503614818277,0.04510769843415085,0.0,0.2690185546875
71680,483,299.47,0.006609511638203003,102.50000000000021,68.0,1.5806016147136688,-0.0016684143338352442,7,2.3469328880310058e-08,15.968716418743133,0.005286203738683071,0.04575315013167992,0.0,0.3292236328125
81920,489,303.85,0.003330785044960294,200.0,87.5,1.6195732839405537,-0.0008288957757031312,8,-3.7252902984619143e-10,15.968717789649963,0.008558139382694207,0.051598134924713726,0.0,0.229150390625
92160,493,312.9,0.0035000978032485365,250.0,111.5,1.5613930813968182,-0.0009890340857964474,9,4.470348358154297e-09,15.968717670440673,0.008269216281769331,0.051074111517057943,25.0,0.234326171875
102400,498,325.58,0.003368436898517757,327.5000000000002,150.0,1.5289799734950065,-0.0012171633974503494,10,-4.097819328308106e-09,15.968717765808105,0.010247445878121653,0.05192787697035346,25.0,0.2016845703125
112640,498,330.46,0.003019602406152444,327.5000000000002,167.0,1.5539463214576243,-0.0014068813656194835,11,2.2351741790771484e-08,15.968717950582505,0.00979345841678878,0.050685633402644,25.0,0.2070556640625
122880,500,330.75,0.00320635880473219,355.00000000000045,182.5,1.611806609481573,-0.0015989323386747857,12,-2.6077032089233397e-09,15.968717777729035,0.011251549340522615,0.05399128007662359,25.0,0.2288818359375
133120,502,330.9,0.0032533425453721066,325.0,178.75,1.6677467502653598,-0.001484433823134168,13,2.2351741790771484e-09,15.968717682361603,0.00901725515441285,0.05151201577822366,50.0,0.239794921875
143360,505,327.75,0.0038325781104504133,277.5000000000002,157.25,1.6999269366264342,-0.0014778943070268725,14,-3.725290298461914e-09,15.968717676401138,0.008098466885269318,0.05487297289771108,25.0,0.29248046875
153600,508,334.4,0.0033502760347801086,300.0,170.0,1.698071589320898,-0.0010402386760688387,15,-3.725290298461914e-09,15.968717682361603,0.010772702614212903,0.05617259936365352,25.0,0.2322509765625
163840,508,336.16,0.0034820904065213654,300.0,169.0,1.707915086299181,-0.001727978667258867,16,-8.568167686462402e-09,15.968717765808105,0.010722693968273234,0.05572706403888246,25.0,0.239013671875
174080,511,343.25,0.0027719051588519505,477.5000000000002,212.75,1.6949935965240002,-0.0016738961054215905,17,-7.450580596923829e-10,15.968717914819717,0.012072528444696218,0.05383588100578986,50.0,0.2142578125
184320,511,349.6,0.0029812310497845827,525.0,233.0,1.609710019081831,-0.0015428372211317765,18,-2.0116567611694337e-08,15.968717843294144,0.01321693848731229,0.05473482872411608,50.0,0.225439453125
194560,513,354.41,0.003247711071173853,525.0,253.25,1.6447484456002712,-0.00119904497769312,19,-3.427267074584961e-08,15.968717861175538,0.013207972655072809,0.05556379279802579,75.0,0.2087646484375
204800,513,355.49,0.002216544696125311,527.5000000000002,245.5,1.7303067028522492,-0.0008647274309623754,20,-2.60770320892334e-08,15.968717813491821,0.010955789760919288,0.052225245936909914,75.0,0.1570068359375
215040,513,342.34,0.0033627108966811647,600.0,227.75,1.7109821915626526,-0.001572367789776763,21,-1.4156103134155273e-08,15.96871771812439,0.010444542458935757,0.055353343560635385,50.0,0.23779296875
225280,514,334.9,0.0029095944954178775,420.0000000000017,199.5,1.7643178060650826,-0.001579793264318141,22,-6.7055225372314455e-09,15.968717604875565,0.009856903697345843,0.05579872429061662,47.50000000000001,0.2265380859375
235520,515,332.89,0.003569347248753729,352.5000000000002,188.25,1.773224363476038,-0.0012369757230771938,23,1.4528632164001465e-08,15.968717753887177,0.011121897360862932,0.05857515936631856,25.0,0.2650146484375
245760,516,340.98,0.0022948703451049824,382.5000000000007,202.0,1.7390285387635231,-0.0007967587112943875,24,-1.7881393432617187e-08,15.96871770620346,0.012918230409559328,0.056029812810144276,50.0,0.18828125
256000,517,349.05,0.0033202812766376156,452.50000000000017,218.75,1.7538815051317216,-0.0016698412917321547,25,-1.0058283805847169e-08,15.968717843294144,0.011933472822420299,0.05941232339079892,50.0,0.2653076171875
266240,518,351.23,0.002421614242780379,480.00000000000045,232.25,1.7095498748123645,-0.0010895152010562015,26,-6.7055225372314455e-09,15.968717831373215,0.01174612813956628,0.054379855125520384,75.0,0.1866943359375
