grad_norm,P09:episode_rewards,policy_entropy,advantage_norm,PMM:episode_rewards,P01:episode_rewards,policy_loss,explained_variance,fps,episode_length,epoch_idx,frames,value_loss
1.6672691637355144,4.0,1.3280171313881874,1.8116064532101155,1.236842105263158,0.0,0.017716632783585737,-1.6163544291257859,265,177.76315789473685,1,8000,0.06303320612441894
0.3343154264749053,5.0,1.3729020953178406,1.4237737099826335,1.6582278481012658,0.0,0.000925247241393663,-0.013418245315551757,164,191.2405063291139,2,16000,0.01787637481218553
0.23679130756669534,4.1000000000000085,1.3691164898872374,0.9633045394718647,1.7,0.0,0.0030126279988326133,-0.15424798429012299,181,192.02,3,24000,0.010288478395195852
0.2861133563227376,3.0,1.3709949016571046,1.231817633509636,1.69,0.0,0.005276033872214612,-0.06473656833171844,193,192.37,4,32000,0.014250630426940915
0.2727534173292957,3.0,1.3735632526874542,1.1655420153588056,1.37,0.0,-0.0007270822417922318,-0.0033908498287200926,200,182.56,5,40000,0.012442103648500052
0.5090485767305629,3.0,1.3673249405622483,1.5075508055090905,1.34,0.0,0.002619401821284555,0.10159108638763428,206,180.18,6,48000,0.023283475489151897
0.351526821474966,4.0,1.3580974817276001,1.3490219083428383,1.43,0.0,-0.0013429564735270105,0.3095919996500015,213,183.82,7,56000,0.013675561378477141
0.43135810767824906,4.0,1.328888555765152,1.340305576622486,1.72,0.0,-0.002184713065507822,0.41965912878513334,217,194.93,8,64000,0.01497843624703819
0.3205298085085846,4.0,1.3610320794582367,1.0842101398110389,1.44,0.0,-0.0014559789234772325,0.22465024948120116,222,182.73,9,72000,0.010372407441973337
0.39563458950899266,2.1000000000000085,1.3705168187618255,1.2473515301942826,1.09,0.0,-0.005891607255616691,0.557509931921959,225,168.22,10,80000,0.011705246568890288
0.4700010906160426,3.0,1.3724198317527772,1.4680391815304756,1.27,0.0,-0.007087510109413415,0.5893081033229828,228,174.51,11,88000,0.01621588157082442
0.37820441855073883,4.0,1.3676551139354707,1.119439062476158,1.5,0.0,-0.0007254901705891825,0.696828488111496,231,184.31,12,96000,0.009864558716944884
0.4891128187401489,5.0,1.3301531946659089,1.2630367660522461,1.84,0.0,-0.006847652437863871,0.8113371777534485,235,200.26,13,104000,0.014648551895515994
0.3104324772479923,5.0,1.3333154463768004,1.0044055917859078,1.78,0.0,-0.002934311267308658,0.8818778717517852,237,196.47,14,112000,0.007750861269887537
0.3590530736965131,6.0,1.3404634535312652,1.2563490828871726,2.01,0.0,-0.0010576163079531397,0.8650645649433136,239,205.61,15,120000,0.011341297246981413
0.30105953852480616,7.1000000000000085,1.3258716881275177,1.0670087173581124,2.4,0.0,0.0003140656368123018,0.8865127235651016,242,218.79,16,128000,0.00857825591461733
0.26687560105174357,8.0,1.3506828701496125,0.9382090449333191,2.42,0.0,0.0005017195652180817,0.8958482027053833,245,215.8,17,136000,0.006696250109525863
0.4259795185449305,7.0,1.348553956747055,1.0413041146099566,1.79,0.0,-0.0043954033657064425,0.8510593205690384,247,190.46,18,144000,0.01332893224840518
0.3094276440970067,7.1000000000000085,1.3589742028713225,0.9966802832484245,1.76,0.0,-0.0019637412847805535,0.9027994066476822,249,188.3,19,152000,0.0077477657777490095
0.304292005568472,5.1000000000000085,1.3677099072933196,1.0859690457582474,1.71,0.0,0.00020019446848891674,0.8076420921087265,251,189.61,20,160000,0.009031357811181806
0.21602194218444423,5.0,1.3354445827007293,0.8100455325841903,1.91,0.0,-0.0009005173076729988,0.9541515308618546,252,202.81,21,168000,0.004889206806547008
0.2175318263138779,5.0,1.336976033449173,0.7416201812028885,1.93,0.0,-0.00078215884976089,0.9612874615192414,253,205.48,22,176000,0.004081154620507732
0.2147540137299599,5.0,1.31736363530159,0.747143988609314,1.92,0.0,-0.0004508529401937267,0.953156578540802,254,205.76,23,184000,0.004360908535600175
0.17364858580228648,5.0,1.3391738057136535,0.6777045652270317,1.93,0.0,-0.0006580457527888938,0.9609747183322906,256,203.55,24,192000,0.003729571227740962
0.2537762228799288,5.0,1.3633955812454224,0.9078191593289375,1.81,0.0,-0.0017346131468366367,0.9182355356216431,257,197.26,25,200000,0.006287002196768299
0.2105229475022354,5.0,1.3687821567058562,0.7816056872904301,1.57,0.0,-0.0003002096261479892,0.9411057114601136,258,188.68,26,208000,0.004842142886191141
0.1957870377137754,5.0,1.3482217764854432,0.7188456371426583,1.69,0.0,-0.0007735596178099513,0.9592423874139786,259,191.54,27,216000,0.004289573103596922
0.21535426111912023,5.0,1.3546126186847687,0.7773030000925064,1.82,0.0,-0.0011521384291700088,0.9426481354236603,259,195.87,28,224000,0.004527740109770093
0.21237737001489385,5.0,1.3674431037902832,0.7653635697066784,1.72,0.0,-0.000988110492035048,0.939226256608963,260,193.23,29,232000,0.004725330615619896
0.21425516349202106,5.0,1.3589732730388642,0.8380702908337117,1.85,0.0,-0.0015631682591629214,0.9387463688850403,260,198.52,30,240000,0.005451871865952853
0.19715117862297865,5.0,1.3464499509334564,0.7181295928359032,1.9,0.0,-0.0027701076112134613,0.9389406812191009,261,200.33,31,248000,0.0044170079112518575
0.18207144802781416,9.0,1.3431547212600707,0.7121361203491687,2.26,0.0,-0.0009975290221154863,0.9589818251132965,263,210.56,32,256000,0.00408838624425698
0.2593681026653984,5.0,1.3703204894065857,0.9423833096027374,1.93,0.0,-4.085338419827167e-05,0.9143125438690185,263,197.88,33,264000,0.006861185964080505
0.1752026403879562,9.0,1.3336286687850951,0.6396791891753674,2.3,0.0,-0.0012305505340918898,0.9567023646831513,264,210.87,34,272000,0.0036175339407054706
