P01:episode_rewards,explained_variance,advantage_norm,episode_length,P09:episode_rewards,fps,grad_norm,policy_loss,policy_entropy,PMM:episode_rewards,approx_kl_divergence,frames,value_loss,epoch_idx,clip_fraction
32.5,-3.8496592089533808,15.968689131736756,513.2857142857143,220.0000000000001,186,844851233.7886105,0.08490605618244444,0.09533586772748492,141.07142857142858,4027121.083813051,10240,922547476.2248033,1,0.278125
22.500000000000007,-3.166496753692627e-08,15.968671584129334,629.1333333333333,182.5000000000001,188,0.15868827569113658,0.001875000367181201,0.17859428690280765,121.66666666666667,0.08716927532169336,20480,0.016046193362109308,2,0.0698486328125
25.0,-1.1548399925231934e-08,15.968712824583054,599.88,450.0,198,0.10854282757444042,0.0027530137322173687,0.3859638505848125,191.5,0.006887841986214482,30720,0.009251876405400594,3,0.1229736328125
50.0,-1.1175870895385742e-09,15.96871782541275,573.1142857142858,550.0,209,0.09908499821374192,0.0013277589980134508,0.5424567803740501,258.2142857142857,0.0037855258157151184,40960,0.011865949159255252,4,0.0705078125
75.0,-2.6077032089233397e-09,15.968717896938324,536.0526315789474,540.0000000000002,217,0.10268553279947104,0.0015429481867613505,0.8650102891027928,271.05263157894734,0.003959282366895423,51200,0.012978805243619718,5,0.1310791015625
147.5,-1.3411045074462891e-08,15.968717724084854,482.96,552.5000000000002,222,0.11511907516862582,0.0008603126763773617,1.2615349367260933,315.0,0.0045886955840160224,61440,0.014110410412831698,6,0.20341796875
125.0,-1.564621925354004e-08,15.968717777729035,413.11,552.5000000000002,226,0.07368176799876769,-0.0010674078635929617,1.3311052367091178,309.75,0.0028456265307113425,71680,0.011985769426974002,7,0.163232421875
100.0,-2.9802322387695314e-09,15.96871770620346,382.63,525.0,228,0.049715338723979076,-0.000654191802823334,1.3457434229552745,263.25,0.003805996954088187,81920,0.013059687029453926,8,0.1607666015625
100.0,-3.3527612686157227e-09,15.968717992305756,373.18,575.0,231,0.05126048408728432,-0.0007756790906569222,1.2765369348227977,273.25,0.0029720646630892133,92160,0.01236824775187415,9,0.183251953125
125.0,-6.332993507385254e-09,15.968717831373215,379.4,527.5000000000002,232,0.05054982231032139,-0.001211277388574672,1.2078188434243202,261.5,0.002950459472356215,102400,0.012657727079931647,10,0.1813232421875
150.0,-1.1175870895385742e-09,15.968717753887177,385.74,552.5000000000002,233,0.05385768654198393,-0.0010333700589399085,1.2922351352870465,281.5,0.003174094895496182,112640,0.012281977463862859,11,0.1961669921875
125.0,-1.601874828338623e-08,15.96871782541275,383.26,502.5000000000002,234,0.047760670374653945,-0.001107623608186259,1.3400220654904842,256.25,0.002213765402336776,122880,0.011123569241135556,12,0.15498046875
125.0,1.080334186553955e-08,15.968717992305756,390.2,500.0,234,0.05204478817569587,-0.0012418634752975777,1.4018914557993412,256.0,0.0025913645429398004,133120,0.01154858393856557,13,0.18369140625
125.0,-1.3783574104309083e-08,15.968717873096466,383.55,500.0,234,0.04840428709378134,-0.0010844677472050535,1.3882206358015536,247.5,0.0040034501626109885,143360,0.009183351241927085,14,0.20966796875
75.0,4.097819328308106e-09,15.96871775984764,388.38,500.0,235,0.04566827914848224,-0.0011064667203754652,1.380098855495453,245.5,0.002680436035461753,153600,0.010281058921736985,15,0.16630859375
75.0,-3.3527612686157227e-09,15.968717819452285,388.91,500.0,235,0.045452224599568644,-0.0009418170651770197,1.3266450367867946,244.75,0.002328696995154189,163840,0.010190544360375498,16,0.134228515625
100.0,3.725290298461914e-09,15.968717682361603,394.37,475.0,236,0.05287755978988336,-0.0015598165104165674,1.3486192777752877,237.0,0.004017753296557203,174080,0.01103349456898286,17,0.2526123046875
125.0,-1.862645149230957e-09,15.968717974424361,400.01,475.0,236,0.04750183473298937,-0.0012971087267942493,1.3038735121488572,239.25,0.0030679012097266424,184320,0.00956169763849175,18,0.18251953125
