P09:episode_rewards,value_loss,epoch_idx,policy_loss,explained_variance,fps,frames,advantage_norm,PMM:episode_rewards,grad_norm,clip_fraction,policy_entropy,approx_kl_divergence,episode_length,P01:episode_rewards
277.5,253438466.593863,1,0.05422824030247284,-4.339134097471833,246,10240,15.968718498945236,231.66666666666666,418593206.53043854,0.4043212890625,0.7662466330160603,337765.90752991673,319.8333333333333,150.0
325.0,0.017637912160716952,2,0.000885435762029374,-2.3096799850463868e-08,236,20480,15.968717819452285,242.5,0.14938498612868922,0.1412353515625,1.2016980178654193,0.003236099988157548,329.23333333333335,150.0
325.0,0.01617172331752954,3,-8.001196165423608e-05,2.9802322387695314e-09,246,30720,15.968717980384827,246.94444444444446,0.10342207580958958,0.1569580078125,1.3235393151640893,0.0029270031655869388,336.68888888888887,150.0
350.0,0.01659028758876957,4,-0.0011818354225397343,-2.7939677238464355e-08,249,40960,15.96871799826622,256.5,0.0683429322507842,0.1531982421875,1.38494236394763,0.002726274180213295,341.65,150.0
402.5000000000002,0.014121246799186337,5,-0.0014674974456283963,1.1175870895385742e-08,253,51200,15.968717682361603,256.75,0.054234945804954346,0.1864501953125,1.4256149493157864,0.002871640863736502,343.6,125.0
452.50000000000017,0.016169395906035788,6,-0.0012724220134259668,-2.2724270820617674e-08,255,61440,15.968717700242996,264.5,0.05369738972905913,0.1630126953125,1.3489250406622886,0.0027273665310872273,347.52,125.0
452.50000000000017,0.015375690723885782,7,-0.0008683265321451472,-1.1920928955078126e-08,258,71680,15.96871799826622,262.5,0.05323868517473111,0.12470703125,1.3348944313824176,0.0021907134065259014,345.36,125.0
507.5000000000006,0.01492963352247898,8,-0.0015976489557942841,-3.3527612686157227e-09,261,81920,15.968717861175538,274.25,0.054298005985715735,0.1516357421875,1.352168969810009,0.002601776260587485,354.91,147.5
477.5000000000002,0.011595488444811508,9,-0.001288437943730969,-3.3527612686157227e-09,263,92160,15.968717712163926,258.25,0.05177185747533194,0.1449951171875,1.438396867364645,0.002413238966869358,355.77,100.0
502.5000000000002,0.010481873233584339,10,-0.0018030127554084173,4.470348358154297e-09,264,102400,15.96871787905693,233.0,0.05040323248286087,0.1793701171875,1.3971239052712918,0.002494816835940128,349.6,75.0
477.5000000000002,0.010298563583637588,11,-0.0007839356847398448,-2.2724270820617674e-08,267,112640,15.968717813491821,191.0,0.04893006564780163,0.12958984375,1.3389387160539628,0.0020911517907961754,336.6,50.0
355.00000000000045,0.007813632903446433,12,-0.0010288646131812128,-2.9802322387695314e-09,269,122880,15.968717205524445,169.5,0.048163271793163306,0.1791015625,1.214281763881445,0.0025139155739651643,336.9,50.0
325.0,0.007325854894315853,13,-0.001437814423479722,8.940696716308593e-09,270,133120,15.968716913461686,148.75,0.04700389726751639,0.17919921875,1.273551194369793,0.002585273526725018,330.12,0.0
230.0000000000004,0.005441767115901897,14,-0.0010852069044631207,-3.7252902984619143e-10,271,143360,15.968697667121887,117.25,0.042783279170550005,0.178759765625,1.338210181891918,0.0029682309761255967,322.98,0.0
200.0,0.004945989191355693,15,-0.0012457866825570818,1.4901161193847657e-09,271,153600,15.9687171459198,92.5,0.043693508477702446,0.259033203125,1.3516027465462686,0.0038506270462335124,312.57,0.0
175.0,0.0059879361880121,16,-0.0006564022063685115,1.080334186553955e-08,272,163840,15.968716907501221,78.75,0.04275693853020266,0.154833984375,1.2756084941327572,0.0029040419256602945,306.79,0.0
175.0,0.004869254107126153,17,-0.0008943853128585034,-1.564621925354004e-08,271,174080,15.96871600151062,77.25,0.03647694268658404,0.1682373046875,1.1879839867353439,0.002839942102121995,303.87,0.0
