policy_gradient_bias_correction,advantage_norm,policy_loss,PMM:episode_rewards,explained_variance,frames,model_prob_std,q_loss,fps,episode_length,rollout_prob_std,avg_q_selected,epoch_idx,grad_norm,P01:episode_rewards,policy_gradient_loss,P09:episode_rewards,policy_entropy,avg_q_retraced
0.0,0.0035289180542652804,-1.8119607136194797e-06,0.0,-42.8930758635203,115200,0.000674147650715895,6.964399214363463e-07,426,3324.5416666666665,0.0006741476400444905,0.00016577391706960043,16,0.0003625288829180939,0.0,-1.8119607136194797e-06,0.0,2.197197357813517,0.00016285512616984004
-1.191343419135491e-06,0.007970036616962817,-1.812128050643322e-05,0.0,-12.1771127849155,122400,0.0012647146531445388,1.5281285930433972e-06,425,3324.6111111111113,0.01275171075032429,0.0005536770786299408,17,0.000627133202971933,0.0,-1.6929937103466528e-05,0.0,2.197153913444943,0.0005312089374072254
-1.8529848777261107e-06,0.004178982522007862,-9.590497070465737e-06,0.0,-16.921774038461727,129600,0.0007202111714726646,5.675459104495065e-07,416,3324.6111111111113,0.044013127892984505,0.00035552552614170294,18,0.0003877107801425911,0.0,-7.737512186293304e-06,0.0,2.1972013669638404,0.00034711081001048623
-3.606148657306848e-06,0.0036123281310585934,-1.1031847486824628e-05,0.0,-13.812633603224675,136800,0.0005729129629282167,4.1313635387086465e-07,412,3324.6111111111113,0.031899101836398214,0.0003631015657968915,19,0.0002919101516613828,0.0,-7.425698825000099e-06,0.0,2.197210474544101,0.00034337347789250856
-4.730091946469812e-06,0.003082669362685736,-1.087656256279385e-05,0.0,-11.161140283630008,144000,0.0004790288004040208,2.794890647158343e-07,410,3324.6111111111113,0.036404664390685015,0.00028670687112333895,20,0.0001897700258306688,0.0,-6.146470636623003e-06,0.0,2.197214248451606,0.00026484114998811734
-4.064305963539363e-06,0.002920041608195456,-8.040816861211393e-06,0.0,-10.283442487432843,151200,0.00043691863993386963,2.3661950184585552e-07,408,3324.6111111111113,0.029106927129391162,0.00025650493462741166,21,0.00017006487985314148,0.0,-3.976510876664215e-06,0.0,2.1972158172395497,0.00024314711963222452
-3.826066630374783e-06,0.0029728713278823695,-1.0205482647943984e-05,0.0,-6.83007681738992,158400,0.0004259392859658866,2.200599379282781e-07,406,3324.6111111111113,0.02820095640740583,0.0002613913509541415,22,0.00015772445021599698,0.0,-6.379416046195519e-06,0.0,2.1972166623711984,0.00024499900656150766
-3.2332581709768684e-06,0.002268344006706251,-9.80219881829317e-06,0.0,-9.46277143597775,165600,0.00033263695237477846,1.4297116190368668e-07,402,3324.5833333333335,0.03057454843908865,0.0002711287593889449,23,0.0001304858556092588,0.0,-6.5689406654658464e-06,0.0,2.1972193540449956,0.00025149346005699043
-1.724832735387086e-06,0.002199510843169668,-7.167337461647362e-06,0.0,-8.970586692179952,172800,0.0003170585734164527,1.425404497840562e-07,401,3324.5833333333335,0.020963303628742568,0.00015443122928690938,24,0.0001369053742214784,0.0,-5.442504730627292e-06,0.0,2.1972195581784324,0.000144155783908799
-1.238935276007466e-06,0.0018799951385873586,-7.124946589261459e-06,0.0,-7.728015169353081,180000,0.00027063782280988533,9.989375043369748e-08,400,3324.5833333333335,0.021347341680430634,0.00027074602947496233,25,9.464697355088252e-05,0.0,-5.886011294376865e-06,0.0,2.197221005965793,0.0002647737382225358
