episode_length,avg_q_retraced,avg_q_selected,q_loss,policy_gradient_loss,advantage_norm,frames,policy_gradient_bias_correction,policy_loss,PMM:episode_rewards,epoch_idx,model_prob_std,rollout_prob_std,grad_norm,explained_variance,fps,P09:episode_rewards,P01:episode_rewards,policy_entropy
0,-0.04527741633355618,-0.04533786699175835,0.0009479524156631669,0.0009634220146836015,0.07680119909346103,7200,0.0,0.0009634220146836015,0.0,1,0.05875628317395846,0.05875628478825092,0.046519700659502596,-17.126067876815796,445,0.0,0.0,2.077706066767375
0,-0.013921422398804376,-0.014998370933850917,0.00101144422563569,9.101895745213066e-05,0.04431823414439957,14400,-3.6213159207432176e-13,9.101895696706682e-05,0.0,2,0.04335014975319306,0.043350152236719924,0.06202510352543065,-74.4254585146904,215,0.0,0.0,2.085107632478078
0,-0.000812782341381535,-0.0008459567133589492,2.3550370193940277e-05,5.569159429796855e-06,0.019695660347739855,21600,0.0,5.569159429796855e-06,0.0,3,0.010047507782777151,0.010047507844865322,0.003349846319865671,-22.315246438980104,264,0.0,0.0,2.1927074750264484
0,-0.0013170952113569002,-0.0013630253927355322,6.875491029253074e-05,1.4906785781931831e-05,0.055365648089597624,28800,0.0,1.4906785781931831e-05,0.0,4,0.016930078404645124,0.016930078358078995,0.006380506796681614,-28.654813035329184,298,0.0,0.0,2.1854852120081585
0,-0.0008071258398937667,-0.0008446232921414775,2.417886795077114e-05,7.40607061591921e-06,0.025038429256528615,36000,0.0,7.40607061591921e-06,0.0,5,0.010391846749310691,0.010391846873487036,0.0030117514969821837,-22.82278230985006,319,0.0,0.0,2.191875418027242
3324.25,-0.0010179889669719464,-0.0011488191315341585,3.432202745064691e-05,3.245018431622763e-05,0.04032724029384553,43200,0.0,3.245018431622763e-05,0.0,6,0.013269067881628871,0.01326906830072403,0.004230856633161148,-18.127663485209148,330,0.0,0.0,2.1893415689468383
3324.25,2.3992217423559246e-05,-4.998441121036498e-06,8.034398706513458e-06,-1.6115975464951286e-06,0.01015730124587814,50400,0.0,-1.6115975464951286e-06,0.0,7,0.007663083309307694,0.007663083262741566,0.0014968664637241475,-17.117732580502828,337,0.0,0.0,2.194824242591858
3324.25,0.00021759838576447996,0.00021779515685030522,2.2915411439801876e-06,-6.945171310709005e-06,0.007880194011765223,57600,0.0,-6.945171310709005e-06,0.0,8,0.007286385151868065,0.007286385089779894,0.0007803957482005541,-18.175989611943564,348,0.0,0.0,2.1950910647710162
3324.25,-0.000455306224830565,-0.0004520637629563377,1.7748175271966222e-05,7.515101090878791e-06,0.02754000968610247,64800,0.0,7.515101090878791e-06,0.0,9,0.010990642150864005,0.010990642243996263,0.0022720077876216974,-10.714463647206625,356,0.0,0.0,2.1920543829600017
3324.25,0.0001320312241053519,6.264907630490294e-05,1.10951575635454e-05,2.9641654483233044e-06,0.019109176890924572,72000,0.0,2.9641654483233044e-06,0.0,10,0.009003745780015985,0.009003745702405771,0.0016554218088542774,-16.116270860036213,364,0.0,0.0,2.193640200297038
