frames,P01:episode_rewards,episode_length,PMM:episode_rewards,epoch_idx,explained_variance,policy_entropy,value_loss,grad_norm,advantage_norm,fps,P09:episode_rewards,policy_loss
8000,0.0,161.9777777777778,0.8444444444444444,1,-1.83938711643219,1.352547254562378,0.028353941119285082,1.1025676281535253,1.484578080996871,186,2.0,-0.008440485890896526
16000,0.0,167.11340206185568,1.0,2,-0.1468842101097107,1.3747525417804718,0.013838125335169024,0.27336491805050667,1.1554880037158728,179,3.0,0.00203166646650061
24000,0.0,183.35,1.4,3,-0.00019418776035308837,1.3792812240123749,0.01589229435492598,0.25965839357357484,1.3256137866526843,194,4.0,0.003187682442367077
32000,0.0,184.35,1.42,4,-0.00816846489906311,1.3846671152114869,0.011750238397935391,0.1914024647339192,1.0734596624225379,195,4.0,0.0028587407106533645
40000,0.0,179.14,1.26,5,-0.0030138671398162844,1.3826168608665466,0.015240268426605325,0.23547327506005014,1.2143493483960628,201,4.0,0.004774436377920211
48000,0.0,188.95,1.5,6,0.008625695705413819,1.381862338781357,0.014967175945494092,0.22374969863479566,1.3176264937222004,199,4.0,0.0008533156814519316
56000,0.0,191.88,1.58,7,0.012294463515281677,1.38196066737175,0.015622048028490099,0.2508821094582031,1.3415448869019746,202,4.0,0.0014979376108385622
64000,0.0,188.23,1.5,8,-0.000785067081451416,1.3731059193611146,0.017633235614011936,0.3448443211741661,1.2727860543876885,202,4.0,-0.0009843953943345697
72000,0.0,183.8,1.38,9,0.08456609487533569,1.3730568563938141,0.01385729754656495,0.24395977905653438,1.2366768904030323,202,3.0,0.0019613542465958746
80000,0.0,182.34,1.37,10,0.21540347814559938,1.381601482629776,0.011086043149407487,0.2213142115557104,1.1035356387495994,201,3.0,0.004270889605395496
88000,0.0,177.96,1.28,11,0.26919549226760864,1.3753862369060517,0.015110935779230204,0.3364849041217641,1.386470892727375,204,3.0,-0.0018391290627187118
96000,0.0,186.73,1.54,12,0.5491658920049667,1.3786745464801788,0.013811101776373107,0.30050332240254624,1.3207644772529603,203,4.0,0.0016244949330575765
