frames,P01:episode_rewards,episode_length,PMM:episode_rewards,epoch_idx,explained_variance,policy_entropy,value_loss,grad_norm,advantage_norm,fps,P09:episode_rewards,policy_loss
104000,0.0,199.16,1.87,13,0.6295227217674255,1.3666301786899566,0.016796723431325516,0.41741883739820407,1.4596895629167557,204,5.0,-0.0004805886873509735
112000,0.0,190.24,1.64,14,0.5955077350139618,1.3666693830490113,0.011174053177237511,0.3025914478973044,1.1818544387817382,206,4.0,-0.0012292088306276128
120000,0.0,178.25,1.32,15,0.39286764919757844,1.3561470651626586,0.01205540679016849,0.35700835585739116,1.1961670354008676,209,4.0,-0.0034622922035850933
128000,0.0,173.28,1.23,16,0.36858869314193726,1.3402551627159118,0.011954178024316206,0.3194888508390675,1.2146707540750503,209,3.0,-0.0018245855014538393
136000,0.0,170.71,1.19,17,0.7283843767642975,1.3483457791805267,0.015555500149494037,0.4043307623372502,1.45593605697155,209,3.0,-0.005627195989945904
144000,0.0,178.34,1.39,18,0.7056743925809861,1.3424139779806137,0.018566993047716095,0.5359785737565602,1.4406585875153541,209,3.0,-0.007286168295831885
152000,0.0,203.68,2.12,19,0.8051846277713776,1.347130811214447,0.012002519756788389,0.4246281019134679,1.2848806589841844,210,7.0,-0.0074363205516419836
160000,0.0,205.17,2.08,20,0.918340334892273,1.321332505941391,0.006271028106566518,0.28165908700200387,0.9411165398359299,209,7.0,-0.002881684540770948
168000,0.0,213.57,2.43,21,0.8703919523954391,1.3555709850788116,0.009483834501588717,0.320335053678644,1.122301893234253,210,9.0,8.005808987945784e-05
176000,0.0,200.95,2.05,22,0.8882296401262283,1.3595899999141694,0.00803718581213616,0.3020410689058567,1.0609555527567864,210,9.0,-0.000830652922857098
184000,0.0,197.7,1.87,23,0.9402611446380615,1.339731456041336,0.0063920591195346784,0.2853370827075529,0.9352426838874817,211,5.1000000000000085,0.0003917510958854109
192000,0.0,200.33,1.9,24,0.9208241337537766,1.3306743335723876,0.006888870948459953,0.2703707073645719,0.9443683609366417,211,5.1000000000000085,-0.0030600974393018986
200000,0.0,213.34,2.3,25,0.9591547393798828,1.3291793084144592,0.004406976804602891,0.20617438066251306,0.7626680973172187,212,6.1000000000000085,-0.0009667539451038465
208000,0.0,198.66,1.94,26,0.9308183795213699,1.3348514091968537,0.005602330352412537,0.24369866721659517,0.7937849394977092,211,5.0,-0.002193832354678307
216000,0.0,183.97,1.56,27,0.9538818502426147,1.3150359869003296,0.004732499314413872,0.2337770470812351,0.7420042312145233,212,5.0,-0.001309261657879688
224000,0.0,178.78,1.38,28,0.9560603332519532,1.3345156180858613,0.004033420665364247,0.19495104109329467,0.7035347732901573,212,4.1000000000000085,-0.001179645397569402
232000,0.0,186.29,1.5,29,0.9564993309974671,1.3303589594364167,0.0033981933776522054,0.17943018829551502,0.6644185826182365,212,5.0,-0.0013110040628816933
240000,0.0,196.56,1.76,30,0.9588456988334656,1.3415840137004853,0.004440337886917405,0.22626427916958602,0.7387755128741265,213,5.0,0.0014727054070681333
248000,0.0,219.69,2.49,31,0.9296724742650986,1.3565910565853119,0.006849461863748729,0.23877210140280256,0.9360027489066124,214,6.1000000000000085,-0.001024515129684005
256000,0.0,207.17,2.2,32,0.9068708801269532,1.3630012226104737,0.007272283291968051,0.27034210049650087,0.9165363696217537,214,6.0,-0.00536515333049465
264000,0.0,192.06,1.68,33,0.9311337333917618,1.3642814874649047,0.005534050779533573,0.21000555937829962,0.8473308292031289,214,5.0,-0.0016120874052649014
272000,0.0,198.71,1.82,34,0.9673944038152694,1.3413750267028808,0.0034977243625326083,0.16789338682767635,0.6462083429098129,214,5.1000000000000085,-0.0008775971663271775
280000,0.0,210.3,2.05,35,0.9614227437973022,1.3543463265895843,0.004841743501601741,0.2196678884529141,0.7747987046837806,214,5.0,-0.0021784927492262797
288000,0.0,217.9,2.31,36,0.961040980219841,1.3617100989818574,0.0040395960261230355,0.17948251702702475,0.7001675462722778,214,6.0,-0.00047342568708700126
296000,0.0,197.04,1.79,37,0.9323512870073318,1.3614564263820648,0.005658453144133091,0.220287317346275,0.8114204290509224,215,5.0,-0.002089396433002548
304000,0.0,190.12,1.56,38,0.967867693901062,1.3592510151863098,0.0034048067886033096,0.16475607298806036,0.6443205399811268,214,5.0,0.0006166743274661713
312000,0.0,199.75,1.85,39,0.9521595919132233,1.3510011160373687,0.004579667639918625,0.19562066415402107,0.7451661171019077,215,5.0,-0.0014432296856830363
320000,0.0,195.74,1.87,40,0.9705726873874664,1.3571965074539185,0.00292048594186781,0.15194306769754548,0.5814296478033065,215,5.0,-0.0012938637495972217
328000,0.0,203.03,2.03,41,0.9257753038406372,1.368790191411972,0.005560566921922146,0.22735049394048437,0.8053499500453473,215,5.200000000000017,-0.0025799581153842155
336000,0.0,187.98,1.6,42,0.884091888666153,1.369889682531357,0.006028504293644801,0.22612326827293816,0.882057314068079,215,5.0,-0.0003049769774224842
344000,0.0,183.05,1.44,43,0.9517845582962036,1.3599528455734253,0.0044786293606739495,0.20707029032985802,0.7675709757208824,215,4.0,-0.0012591870663163718
352000,0.0,193.16,1.74,44,0.9424541574716568,1.3546052706241607,0.00459242784883827,0.20459771483710137,0.7666301234066486,215,5.0,5.553083858103491e-05
360000,0.0,207.72,2.06,45,0.9289021998643875,1.3616307330131532,0.006804221823695116,0.24004632725846403,0.9189046013355255,216,5.1000000000000085,-0.0013464372311136686
368000,0.0,219.54,2.33,46,0.9462290948629379,1.3609659349918366,0.004886380340030883,0.21625465221559353,0.7842572146654129,215,6.0,-0.0014581335329421562
376000,0.0,207.85,2.06,47,0.9272062754631043,1.3539890682697295,0.005592609194573015,0.22136724720840045,0.844988982975483,216,6.0,-0.0003858238949760562
384000,0.0,206.72,2.06,48,0.9391685461997986,1.3549199724197387,0.004944288516417146,0.2063139765030186,0.7731407347321511,216,6.1000000000000085,-0.0003617984081211034
392000,0.0,203.91,2.02,49,0.936371255517006,1.3605958092212678,0.005532363461097703,0.21114043980872754,0.8345748987793923,216,6.0,-0.0008584603296185378
400000,0.0,200.96,1.87,50,0.9678488922119141,1.3562942278385162,0.003602183701004833,0.17509701674477995,0.6556024964153767,216,5.0,-0.0009274497628211975
408000,0.0,204.42,1.95,51,0.9681243807077408,1.3546085464954376,0.003395187463611364,0.1596703417008295,0.6506009517610073,217,5.0,-0.00018781226979626807
416000,0.0,214.62,2.33,52,0.9339314687252045,1.3680617105960846,0.006171070350101218,0.23797222353499567,0.8722101405262948,217,9.0,-0.0009039469964409364
424000,0.0,222.45,2.56,53,0.911913673877716,1.3672687649726867,0.006590110807446763,0.23137903943154467,0.9400877913832665,217,9.0,-0.00033437907986808566
432000,0.0,217.89,2.44,54,0.9529043877124787,1.3585811734199524,0.004702410013996996,0.2065685047729703,0.7143164756894111,218,8.0,-0.0010120026796357705
440000,0.0,209.34,2.24,55,0.914255485534668,1.3713471627235412,0.006619050031877123,0.24850548104377773,0.9069116881489754,218,8.0,-0.002189653145032935
448000,0.0,207.46,2.14,56,0.914006553888321,1.3604341387748717,0.008434526647615712,0.27909574667819426,0.9472277508676052,218,6.0,-0.002631197592636454
456000,0.0,202.15,1.93,57,0.9479511660337449,1.3659239101409912,0.0048707078961888325,0.21511913354887816,0.7626129738986492,218,5.0,-0.001403383015131112
464000,0.0,207.76,2.09,58,0.9254695242643356,1.3663134372234345,0.0074455809511709955,0.2604836107966119,0.9536712670326233,219,5.0,-0.0022343886154703794
472000,0.0,206.02,2.07,59,0.9127165114879608,1.3686427938938142,0.007645536272320896,0.26708074175812435,1.0207806932926178,218,5.0,-0.0006917423044797034
480000,0.0,223.37,2.54,60,0.8949853378534317,1.3601161074638366,0.01037876858143136,0.3367064621773041,1.1728069853782654,219,6.0,-0.0016526640651864
488000,0.0,223.82,2.54,61,0.9102757370471954,1.3628060519695282,0.007145670418394729,0.275957444679079,0.9902897197008133,219,6.0,-0.002260064019355923
496000,0.0,211.72,2.22,62,0.9158660370111465,1.361750521659851,0.007244388267281465,0.26262469612633166,0.9958893287181855,219,5.0,-0.0002517041368412265
504000,0.0,212.95,2.25,63,0.8779137402772903,1.3450460076332091,0.017913006589515133,0.4528572815428206,1.2595460441708566,219,5.1000000000000085,-0.006375272887511301
512000,0.0,225.83,2.54,64,0.8331844270229339,1.343612744808197,0.012461000581970439,0.37107581412410423,1.2399258455634117,219,6.0,-0.004524153518432285
520000,0.0,226.41,2.6,65,0.9047926503419876,1.351335676908493,0.008591377346310764,0.31712295158360926,1.0840910109877586,219,6.0,-0.003648869207536336
528000,0.0,226.34,2.62,66,0.9160348582267761,1.3478960859775544,0.008016648887423799,0.2764489277032041,1.0378043141961097,220,6.0,-0.0011831482344132381
536000,0.0,228.75,2.67,67,0.9030222105979919,1.3592795479297637,0.008442507195286452,0.29671714191875415,1.0910382056236267,220,6.200000000000017,-0.0003664235035466845
544000,0.0,231.6,2.59,68,0.8696768909692765,1.351828099489212,0.008820655421586707,0.3057458465103845,1.1073552453517914,219,6.0,-0.0004618758233846165
552000,0.0,226.47,2.57,69,0.919988249540329,1.3378421092033386,0.00813724722887855,0.2870097853980657,1.0540463614463806,219,6.0,-0.0018353794192080386
560000,0.0,231.74,2.71,70,0.7801825666427612,1.3425603008270264,0.01137037231004797,0.36562068518499397,1.148126099407673,219,6.0,-0.0003991146227781428
568000,0.0,229.13,2.72,71,0.828819876909256,1.3363324224948883,0.011160155314719304,0.3082269568991678,1.2703262755274773,219,6.1000000000000085,-0.0016764386545401067
576000,0.0,210.05,2.18,72,0.8839748227596282,1.3272143054008483,0.011272755528334528,0.35833550807249515,1.26213224619627,219,5.0,-8.764206591877155e-05
584000,0.0,210.17,2.18,73,0.892690726518631,1.3210363245010377,0.010103657967410981,0.34288811215648585,1.2079731386899948,219,5.0,-0.0025974281984963454
592000,0.0,219.18,2.45,74,0.6745253825187683,1.3233286744356156,0.017594277476891875,0.5005801375090911,1.362083215713501,219,6.0,0.0020505400840193032
600000,0.0,236.56,3.02,75,0.823880707025528,1.3098455500602721,0.013226439284626395,0.38575934269422824,1.3658687096834183,219,7.1000000000000085,-0.007506055978592485
608000,0.0,241.92,3.17,76,0.8931732749938965,1.313757642507553,0.010944794347742572,0.38018665828102505,1.2132237046957015,219,8.0,-0.006073601758107543
616000,0.0,248.16,3.27,77,0.9215147483348847,1.3028090274333954,0.008007490596501157,0.2901133723555731,1.0623899406194688,219,7.1000000000000085,-0.001251601983094588
624000,0.0,242.67,3.15,78,0.8716759032011032,1.3270913577079773,0.011300642003770917,0.37117025909238593,1.229889769256115,218,8.0,-0.0013851597881875933
632000,0.0,233.27,2.92,79,0.872085016965866,1.3094913744926453,0.011420647499617189,0.3846954236041294,1.239194582104683,218,7.0,-0.0019147414895269322
640000,0.0,222.26,2.66,80,0.9188388770818711,1.3225905776023865,0.007006825065473094,0.2837615131186353,1.0125063544511794,218,6.0,-0.001694524786216789
648000,0.0,234.65,2.89,81,0.8860574436187744,1.313844598531723,0.010300665427930653,0.31752344376776237,1.225147778391838,218,7.0,-0.0022356172470608727
656000,0.0,236.4,2.87,82,0.9011793804168701,1.2926931476593018,0.009575606730068102,0.35038779651676966,1.1525138321518897,218,7.0,-0.003108447368722409
664000,0.0,242.59,3.08,83,0.9199804055690766,1.3325285720825195,0.008330346551374532,0.2875129236130109,1.0610852971673013,217,9.0,-0.0010337549459654837
672000,0.0,248.0,3.31,84,0.9100024908781051,1.333330203294754,0.00828891312587075,0.2839253421157509,1.0728369069099426,218,9.0,-0.001999135987571208
680000,0.0,253.01,3.53,85,0.9305076056718826,1.3307138884067535,0.006828611027449369,0.2746250010502809,1.0060198080539704,218,9.0,-0.002439770886558108
688000,0.0,250.06,3.41,86,0.9038109713792801,1.32707706451416,0.00819279943476431,0.3075828564789568,1.0707322758436204,218,9.0,-0.00037491069015231914
696000,0.0,244.56,3.11,87,0.9145614320039749,1.3295828807353973,0.008534286479116417,0.3059040352600487,1.1019417446851731,218,7.1000000000000085,-0.0015395919664297252
704000,0.0,253.21,3.4,88,0.8449864637851715,1.3226880538463592,0.012480828021652996,0.3768035563333889,1.3454768079519273,218,8.0,-0.0035834376397542657
712000,0.9000000000000004,259.95,3.67,89,0.86772580742836,1.3349128663539886,0.011587622130755336,0.3667290941784661,1.3101071548461913,218,8.0,0.0003285774438336375
720000,1.0,278.52,4.27,90,0.8223356765508651,1.3322704613208771,0.014017144034150988,0.3786735066841587,1.4333657693862916,218,10.0,-0.003229394541631336
728000,1.0,283.87,4.39,91,0.873411403298378,1.3261929631233216,0.010693484907969833,0.327314544111964,1.2488234996795655,218,10.0,-0.0018774305243277921
736000,1.0,286.84,4.43,92,0.8374570739269257,1.3059676420688628,0.012801083126105369,0.3761491798252639,1.376824225783348,218,10.0,-0.0033032341606303818
744000,1.0,274.13,4.08,93,0.8774347406625748,1.3173050808906555,0.011809429848799482,0.3611191967466615,1.30880097925663,218,9.0,-0.0027037879006820732
752000,1.0,275.58,4.22,94,0.8403901886940003,1.3163246738910674,0.01266567352344282,0.3681798941056932,1.3679732263088227,218,8.100000000000009,-0.0030403797249891795
760000,1.0,276.85,4.4,95,0.8057117527723312,1.290230429172516,0.027690023886971175,0.6214217150412588,1.6432849162817,218,10.0,-0.0020080891447287284
768000,1.0,279.2,4.56,96,0.8449675887823105,1.2667426705360412,0.013893917587120086,0.4177788432065244,1.4249309623241424,218,10.0,-0.0051090369425946846
776000,1.0,289.01,4.8,97,0.8308973008394241,1.2578723692893983,0.013310429425910115,0.40301144242637466,1.405868723988533,218,10.0,-0.002824495316017419
784000,1.0,296.45,4.97,98,0.8107538276910782,1.2640401589870454,0.013697570045478643,0.3709908910361164,1.4301300966739654,218,10.0,-0.0010925190651323647
792000,1.0,307.2,5.26,99,0.7966326749324799,1.28374427318573,0.022216339306905867,0.5209879354214566,1.6141405218839646,218,10.0,-0.011387584491894814
800000,1.0,311.02,5.37,100,0.7959618484973907,1.2665416121482849,0.020434006582945585,0.5214123749391197,1.7113167649507524,217,10.0,-0.00995371885888744
808000,1.0,311.7,5.51,101,0.8186303794384002,1.277526512145996,0.015039381817914546,0.3944269380989411,1.4983565348386765,218,10.0,-0.001953045415575616
816000,1.9000000000000004,316.77,5.77,102,0.8266841679811477,1.2921216511726379,0.015854531130753458,0.4144455246680341,1.5455121141672135,217,11.0,-0.003068679291754961
824000,1.9000000000000004,313.75,5.63,103,0.8692187052965165,1.2905631792545318,0.013602799654472619,0.38868327781734424,1.430602343082428,217,10.100000000000009,-0.00328833672683686
832000,1.9000000000000004,312.11,5.55,104,0.8357232689857483,1.2957567715644835,0.014469785147812218,0.41850152824249487,1.4772487878799438,218,10.100000000000009,-0.0048205589204735584
840000,2.0,320.76,5.56,105,0.8282596391439437,1.2931634831428527,0.015509710144251586,0.3899893891658182,1.5341596114635467,218,11.0,-0.0047916220664046705
848000,2.0,320.59,5.57,106,0.8406662702560425,1.2712528228759765,0.01461562210228294,0.3936899559402317,1.4760468298196792,218,11.0,-0.002653979025053559
856000,2.0,336.29,6.08,107,0.853555189371109,1.2803014481067658,0.012637615341227502,0.3563139263826166,1.3616953659057618,218,11.0,-0.0025133134549832903
864000,3.0,355.45,6.75,108,0.7575130450725556,1.260060716867447,0.018922726581804453,0.4310178661148614,1.691129818558693,218,12.0,-0.003160812279238598
872000,3.0,362.35,6.88,109,0.8117632329463959,1.2568558698892593,0.018423589537851514,0.4589196351954298,1.6297530782222749,218,12.0,-0.006070443474454805
880000,3.0,367.56,7.14,110,0.862408567070961,1.2351828575134278,0.01321145638357848,0.39595755823627216,1.4229551821947097,218,12.0,-0.006942242230506963
888000,3.0,355.85,6.94,111,0.8150878512859344,1.2411077177524568,0.015602901219390333,0.40676163649762936,1.5232934457063676,218,12.0,-0.0020037122431676834
896000,2.0,330.88,6.31,112,0.7899522823095322,1.278016357421875,0.01569618664449081,0.4194200121833648,1.5269539856910705,218,11.0,-0.003937500189640559
904000,2.0,328.95,6.37,113,0.8395288091897964,1.2784558236598969,0.015179815052542836,0.45647905198653577,1.510664436817169,218,11.100000000000009,-6.972335795580875e-05
912000,2.0,330.51,6.53,114,0.7653097718954086,1.2489304637908936,0.018911690348759294,0.4836071269514658,1.6825702840089798,219,12.0,-0.005075111809419468
920000,2.0,347.65,7.05,115,0.7856092572212219,1.261705915927887,0.018870904636569322,0.44778797953580884,1.6756804221868515,219,12.0,-0.004226545238634571
928000,3.0,365.95,7.59,116,0.8096255427598953,1.2574573278427124,0.016187670310027897,0.43935937109892365,1.5606183177232742,219,13.0,-0.005017429279978387
936000,3.0,372.48,7.91,117,0.8251128900051117,1.2420619428157806,0.016575384638272225,0.44692857164970434,1.5851744669675827,219,13.0,-0.005030344148399308
944000,3.0,380.16,7.9,118,0.7691979527473449,1.2431939232349396,0.01905629688408226,0.4819383092195113,1.708466228246689,219,13.0,-0.003187135962070897
952000,3.0,378.61,7.76,119,0.8035879969596863,1.2728785121440886,0.01834872701903805,0.48901842594492273,1.663039249777794,219,13.0,-0.0037215625173121227
960000,3.0,375.77,7.48,120,0.8195497530698777,1.2435098922252654,0.016861554249189795,0.47344010099858863,1.5762442535161971,219,13.0,-0.008000504152150825
968000,3.0,386.36,7.62,121,0.793537814617157,1.235684552192688,0.016499906638637186,0.4373265783558659,1.5764570474624633,220,13.0,-0.003963138921244535
976000,3.9000000000000004,379.15,7.31,122,0.7959076863527298,1.2386730468273164,0.0180970625532791,0.46995854974284407,1.6481041902303695,220,12.0,-0.003988776942715049
984000,3.0,383.63,7.57,123,0.7793505442142487,1.2448113226890565,0.01975714411586523,0.4646591922443164,1.733767450451851,219,12.0,-0.004728510491841007
992000,4.0,400.16,8.28,124,0.7553297984600067,1.2202053654193878,0.020840825201012193,0.5214040736387338,1.757240996360779,220,13.0,-0.0058157591032795605
1000000,4.9,410.38,8.65,125,0.7993522280454636,1.244196857213974,0.018472903929650782,0.448003527870614,1.6775145065784454,220,13.100000000000009,-0.002605866533704102
1008000,5.0,409.73,8.75,126,0.7651810431480408,1.2297899520397186,0.021732388343662024,0.5154097718667487,1.8110375273227692,219,14.0,-0.008010965815919917
1016000,5.0,428.12,9.51,127,0.7928347116708756,1.2389396011829377,0.018890544432215394,0.45409478291295097,1.6777033108472823,219,15.0,-0.0022751729190349577
1024000,5.0,436.47,9.57,128,0.8245402598381042,1.2461305284500122,0.015861155339516698,0.4247860268139398,1.5475625312328338,220,15.0,-0.004890294261858798
1032000,5.0,426.59,9.24,129,0.8188196671009064,1.2139611411094666,0.015010292907245457,0.4290976986654528,1.518364847302437,220,15.0,-0.005057548089534975
1040000,5.0,426.89,9.5,130,0.8095373702049256,1.186055783033371,0.019867869070731105,0.5056522434235988,1.7436286544799804,220,15.0,-0.00599854054802563
1048000,5.0,432.32,9.66,131,0.7803487318754196,1.1895811295509338,0.01986785594839603,0.52306125868989,1.7325389909744262,220,15.0,-0.003688123363426712
1056000,5.0,433.64,9.93,132,0.76257599234581,1.1809056401252747,0.021002715397626163,0.5047675161270593,1.7999801957607269,220,16.0,-0.00774728922835493
1064000,5.0,434.74,10.03,133,0.768662680387497,1.1248690152168275,0.02127281061373651,0.5284377249690392,1.79817631483078,220,16.0,-0.010435295841307379
1072000,5.0,451.66,10.5,134,0.7432310467958451,1.1316109889745711,0.02306697686202824,0.5542698690541079,1.8577387928962708,220,16.0,-0.0034468644764274357
1080000,5.0,458.63,10.54,135,0.7809014129638672,1.1385589110851289,0.021119331028312444,0.5334164788510329,1.7996301406621933,220,16.0,-0.009379765225494338
1088000,5.0,467.96,10.76,136,0.7475782817602158,1.0849315720796584,0.022256149644963443,0.5118680711630254,1.8403207516670228,221,17.0,-0.008608284736983478
1096000,5.9,468.4,10.6,137,0.7825731468200684,1.0905654710531234,0.020675875013694167,0.5467935892811738,1.7802179092168808,221,17.0,-0.007188538808841258
1104000,5.9,473.03,10.79,138,0.7467673575878143,1.175116432905197,0.02047791960882023,0.5014667233215283,1.7594779312610627,221,17.0,-0.0029746833327226343
1112000,6.0,480.84,10.97,139,0.7965039539337159,1.189066606760025,0.01982237730640918,0.4815518180136085,1.7354916578531265,221,17.0,-0.007951573034006287
1120000,6.0,475.17,11.15,140,0.8105001753568649,1.1817092192173004,0.01763556992635131,0.4562707513226975,1.6366643911600114,221,17.0,-0.006126245682244189
1128000,6.0,479.2,11.25,141,0.762759410738945,1.1379398918151855,0.020973867578431962,0.5276579100011898,1.8000867772102356,221,16.10000000000001,-0.0037925677420571446
1136000,6.0,474.61,11.34,142,0.7850818836688995,1.161774116754532,0.020736515456810593,0.5008439152688166,1.7320251971483231,221,16.0,-0.006452681919909082
1144000,6.0,467.75,11.0,143,0.746738618016243,1.1432708710432054,0.024699825583957134,0.5643126601896649,1.9302299255132676,221,16.0,-0.010045793566387146
1152000,6.0,464.99,11.09,144,0.7424530959129334,1.1330418348312379,0.022606224101036788,0.5514623388182023,1.8576756155490874,221,15.100000000000009,-0.006601675262500066
1160000,6.0,464.32,10.94,145,0.7751587426662445,1.2022699224948883,0.02251909637823701,0.5151357167327024,1.8407408446073532,221,16.10000000000001,-0.0026232960750348865
1168000,6.0,482.21,11.51,146,0.7430480313301087,1.2028230428695679,0.02341805401723832,0.5245680376020669,1.8823454320430755,221,17.0,-0.003561116635610233
1176000,6.0,482.52,11.58,147,0.7807989448308945,1.1599819624423982,0.023422333681955933,0.577688852085411,1.874529275894165,222,17.0,-0.010843667656881734
1184000,6.0,481.04,11.41,148,0.6963155806064606,1.2020492827892304,0.020746173770166933,0.5156976938802004,1.7372420090436935,222,17.0,-0.003677821616292931
1192000,6.0,474.13,11.03,149,0.7298674696683883,1.1564579093456269,0.024904456590302288,0.5337618300739083,1.9231821984052657,222,17.0,-0.006138905893603806
1200000,5.9,478.82,11.16,150,0.6591022258996964,1.141124974489212,0.022416910314932467,0.5722640056660581,1.8272242790460587,222,17.0,-0.007138436460809317
1208000,6.0,481.14,11.23,151,0.7790199947357178,1.117350103855133,0.02040635504759848,0.5124389915210136,1.7662522614002227,222,17.0,-0.00930774941749405
1216000,6.0,483.0,11.35,152,0.7707724833488464,1.0812077564001084,0.019882403798401355,0.5059730896135788,1.7505774521827697,222,17.10000000000001,-0.007547968925791793
1224000,6.0,484.37,11.38,153,0.5942859613895416,1.126029542684555,0.034553037210134786,0.7528712896889599,2.0141421645879745,222,17.0,-0.00027534876833669843
1232000,6.0,474.9,11.05,154,0.7466465842723846,1.164448439478874,0.022880332660861313,0.5525732795756271,1.862328176498413,222,17.0,-0.0046208606596337635
1240000,7.0,491.36,11.77,155,0.7642771190404892,1.1611106455326081,0.02315925369504839,0.5438274081226809,1.8823137122392655,222,18.0,-0.004389689459931106
1248000,7.0,499.71,11.83,156,0.7993287873268128,1.1673039877414704,0.019785723993554712,0.5041462826030307,1.7368522953987122,222,18.0,-0.006692105424590409
1256000,7.0,495.69,11.91,157,0.7584566849470139,1.1518858909606933,0.023336839973926545,0.5556831704671413,1.864782395362854,222,18.0,-0.004905096889706329
1264000,7.0,496.17,11.89,158,0.7763107681274414,1.1359946626424788,0.020260782381519675,0.5509553102150266,1.7530895346403121,222,18.0,-0.00828948426846182
1272000,7.0,496.16,11.82,159,0.7848815500736237,1.166798215508461,0.019377360590733587,0.49238321041970556,1.7043170750141143,222,18.0,-0.00369867966248421
1280000,7.9,517.38,12.99,160,0.7680452191829681,1.1798159658908844,0.021238864022307097,0.5153896850161316,1.7926760196685791,222,20.0,-0.004624438121390994
1288000,7.9,514.49,12.94,161,0.7661017996072769,1.2095326018333434,0.020563411242328584,0.47309711509793545,1.7576572132110595,222,20.0,-0.006885072033037431
1296000,8.0,519.04,13.47,162,0.7627677488327026,1.1849721252918244,0.022425773423165082,0.500096873175542,1.8191643238067627,223,20.0,-0.004176866124726075
1304000,8.0,533.35,13.81,163,0.7771548026800156,1.1930895090103149,0.02081600101199001,0.4864447203212705,1.7736984133720397,223,20.0,-0.003490634348236199
1312000,8.0,533.34,13.81,164,0.7675625628232956,1.1286855709552766,0.0243058878229931,0.5594184935810348,1.9148143005371094,223,20.0,-0.004648422658501659
1320000,8.0,539.5,14.06,165,0.6664301460981369,1.0854469507932663,0.028879941049963234,0.6437618115746951,2.086284681558609,223,20.0,-0.00651665674871765
1328000,7.0,522.69,13.32,166,0.5497109156847,0.9504219982028007,0.028895371360704303,0.6648856581439593,2.0008370330929757,222,20.10000000000001,-0.01637453092582291
1336000,6.9,518.23,13.44,167,0.7440779316425323,1.1136342173814773,0.023332124040462077,0.5645423242126028,1.8838271063566208,222,21.10000000000001,-0.007344195274927187
1344000,5.9,518.52,13.43,168,0.7490225493907928,1.110907910466194,0.02274833871051669,0.5839322506072208,1.8641752463579178,222,20.10000000000001,-0.006975131734507158
1352000,5.9,514.97,13.28,169,0.7527372449636459,1.0828962922096252,0.02421261293347925,0.5837149816297063,1.915486341714859,222,21.10000000000001,-0.012371661756187678
1360000,5.0,511.59,13.13,170,0.7491518235206605,1.1542214846611023,0.023069317317567766,0.5491341627242263,1.8588359659910203,223,22.10000000000001,-0.006335386166465468
1368000,5.0,502.21,13.06,171,0.7195848000049591,1.1337504708766937,0.02715427233837545,0.6034123455010023,2.031787658929825,223,20.0,-0.00659185801167041
1376000,7.0,520.28,13.62,172,0.7622689497470856,1.0990050572156906,0.02055978070013225,0.5360646731296559,1.776540184020996,223,20.10000000000001,-0.008020619973540305
1384000,8.0,544.81,14.55,173,0.7364829683303833,1.1007173174619675,0.023871770268306135,0.5752303580399168,1.9169641816616059,223,22.0,-0.0008925409242510796
1392000,8.0,552.95,14.71,174,0.7105112320184708,1.1398575121164323,0.026559733347967268,0.5885384914911941,1.9859058225154878,222,22.0,-0.005933050211242516
