grad_norm,epoch_idx,P09:episode_rewards,policy_entropy,explained_variance,approx_kl_divergence,clip_fraction,fps,P01:episode_rewards,policy_loss,advantage_norm,episode_length,PMM:episode_rewards,frames,value_loss
402382150.49768025,1,150.0,0.09090206142454256,-4.064111594483256,2586153.3462026105,0.140478515625,426,125.0,0.04083517709300395,15.968716484308242,321.625,153.90625,10240,268162040.96340957
0.1392671867470054,2,325.0,0.8261965278536081,-1.5273690223693846e-08,0.006089365363095567,0.1521484375,346,130.0,0.0029420462731650334,15.968718081712723,316.76190476190476,213.4920634920635,20480,0.021231571180396713
0.08031209389397317,3,325.0,1.02308952473104,1.564621925354004e-08,0.00322746033933754,0.120947265625,372,150.0,0.00039258030737983064,15.968718099594117,313.5729166666667,229.42708333333334,30720,0.018269933125702666
0.06574180484347626,4,350.0,1.0081531774252652,-4.8428773880004884e-09,0.0025489831653430885,0.09609375,391,200.0,-0.00042176419228781017,15.968717950582505,316.95,275.5,40960,0.018606106232618914
0.04523196343532818,5,350.0,1.0072213642299175,1.862645149230957e-08,0.0020237502442228108,0.0915283203125,399,200.0,-0.0008583710136008449,15.968717873096466,319.14,278.25,51200,0.01883184886100935
0.04275371694568028,6,350.0,1.0384508904069663,7.450580596923829e-10,0.0027008268391455204,0.106787109375,406,200.0,-0.0005687117547495291,15.968718135356903,326.79,287.5,61440,0.017755816274438986
0.04472012710921167,7,350.0,1.1082743704319,-2.2351741790771484e-09,0.001966862005826897,0.1116455078125,411,200.0,-0.0006038006784365279,15.968717986345291,325.96,292.75,71680,0.01866113336873241
0.04549323164851161,8,375.0,1.138970024138689,-1.0058283805847169e-08,0.002575378944399631,0.1390625,417,200.0,-0.0009581187630828935,15.968717944622039,330.94,287.5,81920,0.015903016674565153
0.042309008616613984,9,350.0,1.1131692573428154,-2.60770320892334e-08,0.0025234822699616187,0.1111083984375,421,175.0,-0.0008134841484206845,15.968717950582505,330.85,276.0,92160,0.01644340831262525
0.04143344170047572,10,350.0,1.1660695761442184,1.564621925354004e-08,0.0018728734163516946,0.1070556640625,425,150.0,-0.0003627824091381626,15.96871775984764,337.22,262.75,102400,0.013181636313674971
0.04617918890354744,11,375.0,1.1641268707811832,-8.568167686462402e-09,0.001894026919467251,0.1115966796875,427,150.0,-0.0005131878602696816,15.968718028068542,345.89,260.25,112640,0.015098072378896177
0.04406479595161507,12,350.0,1.0918766207993031,-8.940696716308593e-09,0.002032715818614861,0.10625,427,150.0,-0.0008445160539849895,15.968717765808105,340.62,261.0,122880,0.017863655064138582
0.053981602799308116,13,350.0,1.1933586806058885,-2.6077032089233397e-09,0.00242899486929673,0.1358154296875,429,175.0,-0.0007905438364105066,15.968717968463897,336.69,270.5,133120,0.01830498475173954
0.048291764189226614,14,350.0,1.1969779014587403,4.470348358154297e-09,0.002255173840012503,0.1254638671875,432,200.0,-0.0008787239930825308,15.968717956542969,328.91,274.75,143360,0.016827598949021194
0.049516297923892845,15,375.0,1.2911040239036082,7.450580596923829e-10,0.0016312461887309838,0.090087890625,434,200.0,-0.0005841523998242337,15.968717867136002,331.14,278.25,153600,0.01698514836025424
0.05193078546884783,16,375.0,1.3281439416110516,-1.4901161193847657e-09,0.002220960363274571,0.1298095703125,435,175.0,-0.0007376517474767752,15.96871799826622,338.52,280.25,163840,0.017048673325916752
0.0575754863255407,17,375.0,1.3425500430166721,-1.1175870895385742e-09,0.0025224812152714548,0.1546875,437,175.0,-0.0008258392073912546,15.968718045949936,341.25,283.25,174080,0.017137583569274285
0.054021629569838706,18,377.5000000000002,1.3317454658448695,-4.470348358154297e-09,0.002403030008065343,0.1735107421875,436,150.0,-0.0013646668798173779,15.968717747926712,340.36,277.0,184320,0.014371357372147031
0.051608762985367776,19,377.5000000000002,1.2856220610439777,-5.587935447692871e-09,0.0025915616327040424,0.1671630859375,438,150.0,-0.0015538120576820802,15.968717789649963,346.32,275.0,194560,0.014663256231142442
0.04946661910467055,20,375.0,1.2691081330180167,1.0430812835693359e-08,0.0019302343774711516,0.1122802734375,437,150.0,-0.0006883105885208352,15.968717855215072,343.68,260.5,204800,0.015858941929764114
0.05125917056026016,21,352.5000000000002,1.385641061514616,-1.1175870895385742e-09,0.0024457267152001804,0.1532958984375,438,150.0,-0.0007569313758722274,15.968717831373215,345.6,256.25,215040,0.01442714482836891
0.049695366507713355,22,350.0,1.4343330301344395,4.8428773880004884e-09,0.0034337570614695776,0.179638671875,438,125.0,-0.0007642373522685375,15.968717777729035,342.99,242.0,225280,0.012267115322174504
0.0532212653983799,23,350.0,1.5969340838491917,8.568167686462402e-09,0.003081884911148336,0.2006103515625,439,100.0,-0.0007220776602480328,15.96871758699417,335.58,217.5,235520,0.01009607297128241
0.05502348539546734,24,352.5000000000002,1.700059413164854,-8.568167686462402e-09,0.0039657989287661625,0.251708984375,439,50.0,-0.0011948088031203952,15.968717694282532,335.17,202.25,245760,0.01085195179839502
0.05310606532863538,25,352.5000000000002,1.7107212729752064,3.725290298461914e-09,0.003250197617217054,0.2181396484375,440,50.0,-0.0013015733184147393,15.968717885017394,325.42,185.0,256000,0.009869920368691965
0.050003962084921985,26,425.0,1.6973945297300816,-2.2351741790771484e-08,0.004235768440366883,0.3090576171875,440,47.50000000000001,-0.0021745857226051156,15.96871742606163,322.29,171.25,266240,0.007093097685628891
0.050453163031629375,27,252.50000000000023,1.6415861822664737,5.960464477539063e-09,0.0033948920779209857,0.26123046875,441,25.0,-0.0010825637982634362,15.968715584278106,316.04,134.0,276480,0.006052090364488549
