PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,episode_length,approx_kl_divergence,clip_fraction,frames,fps,policy_loss,value_loss,policy_entropy,epoch_idx,explained_variance,advantage_norm,grad_norm
142.70833333333334,125.0,219.99999999999994,344.8333333333333,1062158.7401610832,0.1624267578125,10240,248,0.03850130006112522,531781845.3574952,0.17819281523376626,1,-1.3538082145154475,15.968717986345291,897458776.5126492
139.28571428571428,125.0,175.0,354.7857142857143,0.006135097034004389,0.0777587890625,20480,251,0.0024177738649996173,0.010110811897044414,0.4755481948144734,2,8.940696716308593e-09,15.968713277578354,0.08293771615755097
141.66666666666666,125.0,195.00000000000028,353.82758620689657,0.00301298683875757,0.10107421875,30720,264,0.00018439566010783893,0.009657044663981651,0.8247192278504372,3,-1.6763806343078613e-08,15.96871782541275,0.04721429004873233
141.25,125.0,177.50000000000023,358.04,0.0032686168485611235,0.1482421875,40960,267,-0.0005727259609557223,0.009521113584969498,0.944450044631958,4,8.568167686462402e-09,15.968714410066605,0.039260461149396374
154.75,125.0,225.0,363.18,0.003308785724763652,0.1265625,51200,271,-0.000880515561766515,0.010165775886707706,1.0039755519479514,5,3.725290298461914e-09,15.96871754527092,0.041693161148094585
162.5,125.0,225.0,368.76,0.0026292547708635537,0.1451171875,61440,272,-0.0005848339096701238,0.009855515039726015,1.0725359704345465,6,-4.097819328308106e-09,15.968717896938324,0.0434571233213331
174.5,125.0,250.0,380.91,0.002318589126230108,0.1133056640625,71680,273,-0.000869810262156534,0.00851796312526858,1.0431242719292642,7,3.7252902984619143e-10,15.968717736005782,0.04232730340254074
173.25,125.0,225.0,382.67,0.002593756248199952,0.1128662109375,81920,274,-0.0006895566308230628,0.009164901790336443,0.9641220383346081,8,6.332993507385254e-09,15.968717789649963,0.0358940633935995
162.5,125.0,225.0,380.2,0.002661512766940177,0.1373779296875,92160,272,-0.0012093192111933605,0.008541419924767979,0.9591018002480268,9,1.1175870895385742e-08,15.968717724084854,0.033423102626620946
147.5,125.0,150.0,378.87,0.001599272735853674,0.0802734375,102400,272,-0.00023910072959552054,0.0077142414629634,0.883378341421485,10,1.5273690223693846e-08,15.968717682361603,0.03322249690934313
141.5,125.0,150.0,376.38,0.002220452817812202,0.11337890625,112640,270,-0.001118965121349902,0.008670952063039295,0.958139893040061,11,-5.960464477539063e-09,15.968717902898788,0.0342918133281745
135.0,125.0,150.0,374.12,0.002164167016235297,0.10556640625,122880,267,-5.541627615457401e-05,0.008589039678008703,0.9373785760253668,12,-2.0861625671386717e-08,15.968717885017394,0.035118762047242694
134.0,125.0,150.0,372.02,0.0019220073579219843,0.104052734375,133120,268,-0.00022520260790770408,0.008341224894866172,1.0150854200124741,13,-2.0489096641540527e-08,15.968717801570893,0.03300490107794636
131.5,125.0,150.0,362.53,0.0024671445983955207,0.135302734375,143360,267,-0.0004783901236805832,0.008068281131636467,1.0614987209439277,14,-5.960464477539063e-09,15.968717807531357,0.03793484689752849
128.5,125.0,150.0,358.83,0.0037472824580561336,0.1756591796875,153600,266,-0.0013092424960632343,0.008805822518843343,1.1306921668350696,15,-2.421438694000244e-08,15.968717730045318,0.04048265626365734
131.5,122.5,150.0,362.57,0.003217466336735697,0.1953857421875,163840,265,-0.0007196892758656759,0.007878618850190833,1.264716375619173,16,1.2293457984924316e-08,15.96871771812439,0.048412005295129915
132.25,125.0,150.0,360.44,0.0033956625275095575,0.1892822265625,174080,264,-0.0007371280149527593,0.008328575893403922,1.1715687975287437,17,-9.313225746154785e-09,15.96871601343155,0.04249074861649384
139.25,125.0,150.0,362.16,0.002913201298633794,0.1507080078125,184320,263,-0.0006026835268130526,0.008578688532725209,1.2511933878064156,18,-2.0861625671386717e-08,15.968717604875565,0.045513300044075354
138.25,97.5,150.0,361.25,0.0032079146576109,0.184033203125,194560,263,-0.0009708640289318282,0.007919453674742272,1.3641708090901374,19,-1.30385160446167e-08,15.968716502189636,0.04684918313016276
127.0,72.50000000000001,150.0,349.82,0.0038056824186014637,0.2223388671875,204800,263,-0.0013125013319950085,0.006502887229856924,1.5038499295711518,20,-1.564621925354004e-08,15.96871685385704,0.04836571973224871
98.25,25.0,150.0,337.49,0.003113586497943288,0.2429443359375,215040,262,-0.001252669556561159,0.004319570614183021,1.4630687788128853,21,2.2351741790771484e-09,15.968714755773544,0.05047775166355967
68.25,25.0,125.0,320.19,0.003225013517072739,0.236572265625,225280,262,-0.0012911856836581137,0.003427156501274453,1.44650789052248,22,7.450580596923829e-10,15.968712490797042,0.04900076038181937
46.25,0.0,100.0,305.75,0.0035268620875285707,0.2572265625,235520,262,-0.0011411633580792114,0.0033053124603696915,1.3816716834902762,23,-5.215406417846679e-09,15.968712854385377,0.04861267851882074
53.75,0.0,125.0,309.36,0.0031726830503657766,0.2005859375,245760,262,-0.0015369728012956329,0.006353202657396651,1.4179125003516675,24,-7.078051567077636e-09,15.968716740608215,0.05302270142263924
63.5,0.0,125.0,312.76,0.003266168748169207,0.1950927734375,256000,262,-0.001618356059771031,0.005702721733200633,1.3766206890344619,25,-1.3411045074462891e-08,15.96871737241745,0.047571528931694314
