policy_loss,value_loss,P01:episode_rewards,PMM:episode_rewards,policy_entropy,advantage_norm,episode_length,P09:episode_rewards,fps,grad_norm,explained_variance,epoch_idx,frames
-0.010612700163401314,0.06254867393599853,0.0,1.302325581395349,1.3493351596593857,1.7611259819567204,172.27906976744185,3.0,1156,1.41851259424997,-1.0602468240261078,1,8000
0.0011844432877842336,0.012269860898977641,0.0,1.2150537634408602,1.369205926656723,1.114862519390881,170.34408602150538,3.0,1199,0.23066118663692334,-0.25122897446155545,2,16000
-0.00010231720400042832,0.00965154787845222,0.0,1.12,1.3731128251552582,0.961906366199255,169.22,2.0,1221,0.1732094353191501,-0.0998179417848587,3,24000
0.005141937201588007,0.012573964217381217,0.0,1.08,1.3836252653598786,1.0734679793938995,169.43,2.0,1240,0.2214861974953505,-0.04658883392810822,4,32000
0.0005513578042155131,0.012862958595960663,0.0,1.37,1.3805551099777222,1.1720840816572309,180.31,3.0,1253,0.1912042622812396,-0.024747507572174074,5,40000
0.0012412158012739382,0.01412017033995653,0.0,1.69,1.378144646883011,1.283508915528655,193.94,4.0,1266,0.2032136130272451,0.021190784573554992,6,48000
0.00012485254803323186,0.01409084993552824,0.0,1.7,1.3781446385383607,1.28931857123971,193.88,4.0,1275,0.22172021710074144,0.04828036248683929,7,56000
0.0022637153725372627,0.015458355625742114,0.0,1.72,1.3744644975662232,1.4018553145229817,195.57,4.0,1282,0.2721459970705304,0.18561498582363128,8,64000
-0.0014046575868269429,0.011335685691446997,0.0,1.55,1.3707241129875183,1.190466655790806,189.36,4.0,1284,0.26975998117947264,0.3767335748672485,9,72000
-0.004033707898270222,0.01840487569425022,0.0,1.63,1.3699015426635741,1.3340112936496735,191.55,4.0,1285,0.4792099932462899,0.38179055392742156,10,80000
-0.0010750730070867576,0.010158269173989537,0.0,1.31,1.3744228279590607,1.1652369870245456,177.03,4.0,1285,0.30084594586105184,0.5559226542711257,11,88000
-0.0008013041060621617,0.012024842228856868,0.0,1.23,1.3630939900875092,1.251200698465109,174.15,4.0,1286,0.3069550661227424,0.7766170477867127,12,96000
-0.0031418286825646647,0.01259253754717065,0.0,1.52,1.3478006553649902,1.282187140583992,184.51,5.0,1289,0.3102102181330519,0.809523931145668,13,104000
0.0025352357592782937,0.014495675320504234,0.0,1.67,1.3418592369556428,1.4031008577346802,191.4,5.0,1293,0.3955906197120107,0.7326267170906067,14,112000
-0.0014466819449444302,0.013397865747101605,0.0,1.91,1.3425652253627778,1.3219189023971558,201.02,5.1000000000000085,1296,0.41850796988062955,0.8402303183078765,15,120000
2.3456363123841583e-06,0.009822087140055374,0.0,2.33,1.3506262838840484,1.159539450109005,216.58,6.0,1299,0.31124854901629456,0.8963401633501052,16,128000
-0.0008261712118110153,0.007025368484901265,0.0,1.89,1.3547087168693543,0.9775897786021233,198.29,6.0,1297,0.2590280018541542,0.8907020592689514,17,136000
-0.002682944788830355,0.008340589291183278,0.0,2.06,1.336655797958374,1.0901499795913696,204.34,6.0,1300,0.29576564728698823,0.9106212395429611,18,144000
-0.0022664211806841194,0.007762573699001223,0.0,2.24,1.357586327791214,1.0099548053741456,208.47,8.100000000000009,1303,0.2798241949502706,0.8711883229017258,19,152000
-0.001995381712913513,0.005624172173265833,0.0,2.52,1.3432690703868866,0.8686264038085938,220.66,9.0,1306,0.21287152774477733,0.9334807521104813,20,160000
-0.0017151431168895214,0.004658272627857514,0.0,2.41,1.3131439435482024,0.775927428305149,217.96,8.100000000000009,1309,0.19799351343874144,0.9630850702524185,21,168000
-0.001974026943789795,0.0034184377317433247,0.0,2.44,1.3017516565322875,0.6708510956168174,220.61,7.1000000000000085,1310,0.1662041802366125,0.9676604884862899,22,176000
0.0003668313240632415,0.003733752877742518,0.0,2.3,1.332053860425949,0.6809394726157189,216.09,5.1000000000000085,1312,0.18822583818722244,0.9594836604595184,23,184000
-6.4104743069037795e-06,0.0024573519019759262,0.0,1.96,1.3419647490978241,0.5741019320487976,202.4,5.0,1312,0.14716629176070087,0.9759127533435822,24,192000
-0.000563044490700122,0.004477892053255345,0.0,1.82,1.3598058354854583,0.7052719892561435,196.84,5.0,1312,0.16315867072795606,0.9415703117847443,25,200000
0.0001380820081976708,0.00455246917787008,0.0,1.67,1.3493055605888367,0.7442167967557907,192.3,5.0,1314,0.18220879868993084,0.9535217827558518,26,208000
-0.0007176290168717969,0.005800911338301375,0.0,2.1,1.3322260785102844,0.8522783382236958,208.81,5.0,1315,0.20898947414859573,0.947347309589386,27,216000
-0.0019328003319969867,0.003544101346342359,0.0,2.49,1.3298753333091735,0.6434672656655311,219.73,5.0,1316,0.17690931105022467,0.96799833714962,28,224000
-0.0005012534391426015,0.0033788385320076488,0.0,2.14,1.346718748807907,0.6276946839690208,206.28,5.0,1316,0.15473746965519447,0.9570863652229309,29,232000
-0.0007192099450912793,0.0029209030751371754,0.0,1.72,1.3547092640399934,0.5732553024590016,195.36,5.0,1316,0.15108042555872336,0.9722971886396408,30,240000
-0.0007384737790562212,0.0066840863818652,0.0,1.43,1.328030297756195,0.8736768335103988,186.76,5.0,1316,0.22709376516716695,0.9370634979009629,31,248000
-0.0006262167620297987,0.004299306857428746,0.0,1.94,1.3184050369262694,0.670660308599472,201.16,6.1000000000000085,1318,0.17100046856794113,0.9505935263633728,32,256000
0.0001107703719753772,0.004670320251607336,0.0,2.24,1.346824836730957,0.747813166230917,210.74,7.200000000000017,1319,0.1770572247316202,0.945609148144722,33,264000
