P09:episode_rewards,fps,frames,explained_variance,grad_norm,epoch_idx,advantage_norm,policy_entropy,episode_length,policy_loss,value_loss,PMM:episode_rewards,P01:episode_rewards
3.0,1120,8000,-0.7545166850090027,1.7648281178304408,1,1.8232304885983468,1.308791224770248,168.95238095238096,-0.002951065213419497,0.04216860640373852,1.0952380952380953,0.0
4.0,1221,16000,-0.008971293568611144,0.32265902831446736,2,1.4767359607294201,1.3782391107082368,185.82142857142858,0.002908521963763633,0.01825644362914318,1.5,0.0
5.0,1260,24000,-0.027273133397102356,0.22359112921366975,3,1.1427053289860487,1.37892622590065,195.85,0.0010281824291450902,0.012313714143610923,1.73,0.0
4.0,1234,32000,-0.007994295954704285,0.25621988951703795,4,1.3349249393120408,1.3829190278053283,191.12,0.002555637612240389,0.0159574631781652,1.61,0.0
3.1000000000000085,1205,40000,-0.016187708377838134,0.20098997410217617,5,1.0564784383773804,1.3703932785987853,181.53,-0.000687259343394544,0.010669424006482586,1.38,0.0
3.0,1207,48000,-0.08897305727005005,0.19156692893736849,6,0.9716894277185202,1.3706866598129273,166.28,0.0005637572705745697,0.009804190491086046,1.04,0.0
2.0,1223,56000,-0.093409081697464,0.2031024079715149,7,1.054412340708077,1.3733688938617705,165.8,0.005328833120001946,0.01207696387586111,1.03,0.0
3.0,1234,64000,-0.025892319083213808,0.21378600265012337,8,1.3977879352495075,1.375221961736679,176.52,0.0015249437862075866,0.016187516937498002,1.33,0.0
3.0,1230,72000,-0.022798259258270264,0.20762786173508607,9,1.1743666330724956,1.3696427893638612,181.46,0.0004889236926101148,0.013039483877728344,1.47,0.0
3.0,1227,80000,-0.04306840300559998,0.17618806317717112,10,1.023511693160981,1.356846512556076,171.58,-0.0017419948836322873,0.010829835542585898,1.22,0.0
2.0,1214,88000,-0.025992509126663208,0.176011063503337,11,1.019038180410862,1.3641074430942535,164.85,0.0017270486592315137,0.010671686541691087,1.04,0.0
2.1000000000000085,1215,96000,-0.0007217270135879516,0.19189998355039556,12,1.1539243609830736,1.36167475938797,164.97,0.002463082335307263,0.013133656668578624,1.04,0.0
3.0,1204,104000,-0.03721548020839691,0.17199847404673047,13,0.9921017563715577,1.3699623191356658,166.64,0.0012053114052105228,0.010392999253599555,1.1,0.0
2.1000000000000085,1197,112000,-0.023577759265899657,0.20990639437092937,14,1.1763019550219178,1.3792470383644104,166.18,0.001368547901038255,0.013716678395894633,1.06,0.0
3.0,1194,120000,-0.0007850557565689086,0.22202103365448397,15,1.3159166806191207,1.381369984149933,178.77,0.006359141275279399,0.016195549345575273,1.38,0.0
3.0,1199,128000,-0.1472583019733429,0.23267828556021314,16,1.281004458963871,1.3800877392292024,184.65,0.0005709469519206323,0.015227477323132916,1.52,0.0
3.0,1200,136000,-0.15538029253482818,0.26986564444434524,17,1.2570757728815078,1.377066160440445,188.49,0.0015397755117737687,0.014253055401204619,1.56,0.0
4.0,1202,144000,0.07594194054603577,0.268595342788508,18,1.310548111796379,1.3793351638317108,187.58,-0.0024473028650390917,0.014549352811445714,1.49,0.0
4.0,1204,152000,0.32999796986579893,0.3143024757171479,19,1.1817292757332325,1.3846756887435914,185.33,0.002074742687455,0.011647077746747527,1.43,0.0
3.1000000000000085,1205,160000,0.30367987155914306,0.4469106507588954,20,1.3547896164655686,1.3682416528463364,184.67,-0.003855752293020487,0.01941273780365009,1.41,0.0
3.0,1205,168000,0.29763741850852965,0.3998604916185304,21,1.280521169155836,1.3579776561260224,177.52,-0.004753432069119299,0.013020336454792414,1.33,0.0
3.0,1204,176000,0.4866755616664886,0.35734539323717535,22,1.2822172024846077,1.3658304262161254,173.77,-0.003582421832543332,0.012191234460333362,1.27,0.0
3.0,1206,184000,0.4717649799585342,0.36335982933527994,23,1.2392122203111648,1.3725815582275391,179.25,-0.0020288802971481345,0.012109793986310251,1.36,0.0
3.0,1208,192000,0.5730737370252609,0.34495148827285826,24,1.1329539430141449,1.377081378698349,171.35,-0.0043000666640000415,0.009779893723898567,1.13,0.0
4.1000000000000085,1213,200000,0.7140810078382492,0.3753166492572146,25,1.32672561109066,1.3725417983531951,183.26,-0.002546933319645177,0.012484658735920674,1.4,0.0
4.1000000000000085,1213,208000,0.8169169020652771,0.35150064424502,26,1.1930088412761688,1.3751903474330902,187.76,-0.0016985969922097865,0.010595523167867214,1.47,0.0
5.0,1213,216000,0.8410902959108353,0.3350414605723028,27,1.1702566441893578,1.344473704099655,192.23,-0.0043695856600243135,0.009658174801152199,1.62,0.0
5.0,1213,224000,0.7605927896499634,0.3262933763107009,28,1.2113183596730233,1.372072982788086,217.04,0.000630297758616507,0.010921019608504138,2.25,0.0
5.0,1212,232000,0.8554421424865722,0.2910230900945959,29,1.1156184282898902,1.367520167827606,209.22,-0.00010714581294450909,0.008855121621745638,2.06,0.0
4.0,1212,240000,0.8916550379991531,0.28294015228174707,30,0.9970885905623436,1.3598087513446808,182.53,-0.00047971519874408843,0.007474785625236109,1.4,0.0
5.0,1214,248000,0.9101378178596496,0.26669958492141754,31,0.9674902024865151,1.3533316254615784,191.62,-0.0011087475955719127,0.0069193463487317785,1.73,0.0
5.0,1214,256000,0.944403275847435,0.2829441967284663,32,0.9105748254060745,1.3499391615390777,199.54,-0.00320990378735587,0.006128599619842134,1.94,0.0
6.0,1215,264000,0.9474360901117325,0.2483513536871689,33,0.8449171668291092,1.3462476825714111,205.19,-0.0018087520531844348,0.0057585555964033116,2.13,0.0
5.0,1217,272000,0.9480108726024628,0.21383004889671078,34,0.8179787433147431,1.35141841173172,191.15,-0.0017943436914356426,0.005198656593565829,1.69,0.0
5.0,1216,280000,0.933147559762001,0.20646231508529694,35,0.8802689787745476,1.3623731327056885,193.53,-0.00017205217271111905,0.005731681434554048,1.75,0.0
5.300000000000026,1217,288000,0.9286915165185928,0.24865287484525425,36,0.9573126074671745,1.3591245603561402,206.72,-0.0008242804662586423,0.006790801679599099,2.16,0.0
5.1000000000000085,1217,296000,0.9436870062351227,0.21199354350501018,37,0.8527433751523494,1.3447598886489869,211.07,-0.001023660851205932,0.005613478049926925,2.24,0.0
6.1000000000000085,1216,304000,0.9528758180141449,0.20320302906362997,38,0.7800291192531585,1.3441292762756347,217.81,0.0002210740822920343,0.004710216989624314,2.36,0.0
6.0,1216,312000,0.9384222394227981,0.18025367885237376,39,0.712388621121645,1.3425360596179963,201.4,-0.001411047737346962,0.004223350615648087,1.93,0.0
5.0,1214,320000,0.965859140753746,0.18791436631327268,40,0.6750966799259186,1.355651627779007,199.41,-0.0011249335834145314,0.003716565316572087,1.84,0.0
5.0,1212,328000,0.9530366760492325,0.16245149187248567,41,0.6997650346159935,1.356399221420288,190.3,-0.0004823951598518761,0.0038901655582594687,1.56,0.0
5.0,1210,336000,0.9687419945001602,0.1689045452028086,42,0.6561887393891811,1.3569422841072083,194.12,7.128077675588429e-05,0.0035069288723752834,1.69,0.0
5.0,1208,344000,0.9319023221731186,0.2252068299010429,43,0.8505510203540325,1.3670783722400666,203.9,-0.001159200630208943,0.0058106418224633674,1.99,0.0
5.0,1207,352000,0.9468058526515961,0.21105918036471,44,0.8017646957933903,1.3577340161800384,206.15,-0.0017105506252846681,0.005256581183639355,2.08,0.0
5.0,1207,360000,0.9602669513225556,0.17478599160216246,45,0.6875879506766797,1.3561153793334961,193.16,-0.0003932821768103167,0.004000021432584617,1.73,0.0
6.0,1206,368000,0.9539594173431396,0.19311308718876916,46,0.7702636440098286,1.3591978251934052,201.52,-0.0011066543942433783,0.005324958713608794,1.98,0.0
8.100000000000009,1205,376000,0.9536162692308426,0.18532632603807234,47,0.7694086004793644,1.3596789979934691,202.69,-0.0014677635746193117,0.004686406027467456,2.1,0.0
5.1000000000000085,1205,384000,0.916033730506897,0.16852189364647965,48,0.7592356345057487,1.3605002868175506,200.01,0.001294198289688211,0.005255757669801824,1.96,0.0
5.1000000000000085,1204,392000,0.8309119600057602,0.2767426211497025,49,1.1278739330172538,1.3724301362037659,204.94,-0.0008817350573372096,0.009735674279218074,2.09,0.0
5.0,1203,400000,0.9021520376205444,0.21548031385089927,50,0.8639443725347519,1.3643763983249664,201.06,2.870001771952957e-05,0.005932224784046412,1.91,0.0
5.0,1203,408000,0.9581107002496719,0.17515256538439375,51,0.7124306315183639,1.3627147245407105,191.99,-0.0011718275453313253,0.003985374374315143,1.62,0.0
5.0,1203,416000,0.9546138495206833,0.17327932440298696,52,0.6858042271435261,1.3420476245880126,209.07,-0.001017965702485526,0.0040083615007461045,2.1,0.0
7.1000000000000085,1203,424000,0.9661451828479767,0.17117042860052478,53,0.6766572868824006,1.3501481318473816,219.68,-0.0005480557697592303,0.0038563705995329654,2.46,0.0
5.0,1203,432000,0.9570887750387191,0.18139328076421216,54,0.7529413841664792,1.3622685337066651,219.4,-0.0011715465188171948,0.004478836499038153,2.36,0.0
5.0,1204,440000,0.9672205352783203,0.15385087635433095,55,0.6655067487061024,1.360947242975235,209.59,0.0003430722650955431,0.003464489459001925,2.08,0.0
6.1000000000000085,1203,448000,0.9407934737205506,0.18889689435290627,56,0.8344119746983051,1.3569822537899017,215.41,-0.0022982312437670772,0.005856592722120695,2.32,0.0
9.0,1204,456000,0.9724876350164413,0.14473969443222892,57,0.6166515126824379,1.3535945677757264,223.81,-0.0003672455657215323,0.0031066506131901405,2.6,0.0
9.0,1205,464000,0.949655796289444,0.1918494599642736,58,0.8248964747786522,1.3497365295886994,237.43,-0.0012137502693803982,0.005449269680539146,2.98,0.0
6.0,1204,472000,0.9583621072769165,0.174295513902561,59,0.7016481639444828,1.361239082813263,214.65,-0.0001484147465089336,0.004021578072279226,2.31,0.0
6.200000000000017,1204,480000,0.9690434467792511,0.15043401835519674,60,0.6396547666192055,1.3415331041812897,217.34,-0.0022532044312902145,0.003655496781866532,2.4,0.0
