advantage_norm,value_loss,episode_length,grad_norm,epoch_idx,P01:episode_rewards,fps,P09:episode_rewards,policy_loss,policy_entropy,PMM:episode_rewards,explained_variance,frames
1.7214813696593045,0.061282556226015,171.25,1.3997257215423968,1,0.0,1168,3.0,-0.010530254775076173,1.350791295170784,1.2727272727272727,-1.2562003242969513,8000
0.9775760382413864,0.010590843043064523,169.78125,0.20142898465441206,2,0.0,1200,3.0,0.002566975433146581,1.3678529179096222,1.1666666666666667,-0.13986122250556945,16000
1.1149522855877876,0.012627892164791774,165.3,0.22727399317301406,3,0.0,1243,2.1000000000000085,0.0023351821349933744,1.3760803139209747,0.97,-0.07987516045570374,24000
1.203421829007566,0.013816287449062657,174.05,0.25502630792986913,4,0.0,1278,3.0,0.0045363583997823295,1.3803199887275697,1.2,-0.03874060988426208,32000
1.2969561820477247,0.015257219208033348,188.31,0.23685939065928874,5,0.0,1299,3.1000000000000085,0.0020063310145633294,1.380448807477951,1.58,0.002050403356552124,40000
1.3576302509009839,0.014852054382790811,192.96,0.2606864880724056,6,0.0,1313,4.0,-0.00011388420010916888,1.371592209339142,1.71,0.06017276108264923,48000
1.1513946332037448,0.011640423029311932,188.43,0.2383999966417657,7,0.0,1319,4.0,0.000529751281865174,1.3625632560253143,1.53,0.017162397503852844,56000
1.6861903788149357,0.06241943333589006,192.52,1.0050417063084884,8,0.0,1328,4.1000000000000085,-0.001292242961935699,1.361019360423088,1.67,0.16532305061817168,64000
1.1200696155428886,0.010480620837770403,184.95,0.2982550074336649,9,0.0,1330,4.0,-0.0027914450620301068,1.3706498432159424,1.47,0.4565326589345932,72000
1.2034166721999646,0.011976518074225168,175.68,0.31884429822044946,10,0.0,1325,3.0,-0.002193401987024117,1.3710945355892181,1.25,0.40704712927341463,80000
1.1685104385018348,0.010355604969954585,173.4,0.3305956348688756,11,0.0,1328,3.0,-0.0014772287179948761,1.3739145004749298,1.22,0.5986254626512527,88000
1.5630432419478892,0.038938615346851294,175.24,0.7910439924737166,12,0.0,1332,3.0,-0.010159299811348318,1.3563187140226365,1.24,0.44923929452896116,96000
1.3123818922042847,0.012712166187702678,181.02,0.3580790822037565,13,0.0,1333,4.0,-0.0008573389920638874,1.3746264111995696,1.36,0.7368700367212295,104000
1.2302686467766761,0.010870751270558685,186.22,0.3624218654964487,14,0.0,1340,4.0,-0.003651308621338103,1.3573829054832458,1.5,0.8167767721414566,112000
1.190194291472435,0.010170304304920138,197.87,0.33890562604984914,15,0.0,1344,5.0,-0.0010334861817682395,1.3553724908828735,1.88,0.8019098830223084,120000
1.145620712339878,0.009761324474820867,194.07,0.35526493595033837,16,0.0,1349,5.0,-0.0036480710881551205,1.3548413455486297,1.73,0.8112124145030976,128000
1.265767621099949,0.012563570173224434,193.39,0.42408445635839054,17,0.0,1353,5.0,0.003397461296117399,1.3455719208717347,1.73,0.8212571835517883,136000
1.1150772258639337,0.009158893418498338,206.93,0.27215121443812307,18,0.0,1358,5.1000000000000085,-0.0009048725513275713,1.3608325052261352,2.1,0.892552519440651,144000
1.0676220259070397,0.008498162438627332,214.54,0.2686333239376791,19,0.0,1361,5.0,-0.000418895531038288,1.3550268471240998,2.21,0.8993608850240707,152000
1.0842527541518212,0.008473226887872443,219.27,0.2797369275232411,20,0.0,1366,6.0,0.0003412392525933683,1.3505218315124512,2.36,0.9140450257062912,160000
1.0530946087837219,0.008110230788588524,216.32,0.2689375481618347,21,0.0,1365,5.1000000000000085,-0.0007412035542074591,1.336498943567276,2.26,0.9213561481237411,168000
0.906645043194294,0.005936404851963744,237.61,0.225500998796073,22,0.0,1365,6.0,-0.0004599577813132782,1.3480972468852996,2.77,0.9376859128475189,176000
0.9836005645990372,0.007339139617979527,215.4,0.27164693058302286,23,0.0,1363,5.1000000000000085,-9.555582597386092e-05,1.3491439890861512,2.21,0.8989548534154892,184000
1.0678535145521164,0.008459804827580228,194.55,0.2775677605491777,24,0.0,1363,5.0,-0.0018762903879542138,1.3645354652404784,1.71,0.8764288663864136,192000
0.8429495710134506,0.005344988546858076,193.14,0.22590138076111768,25,0.0,1364,5.0,-0.0007466301409294829,1.335243842601776,1.64,0.9371602362394333,200000
0.7076503652334213,0.0035953256240463818,192.23,0.18861913105357736,26,0.0,1365,5.0,-0.0010701796630746684,1.3261955070495606,1.65,0.9600045859813691,208000
0.6837685461342334,0.0036897138736094346,201.0,0.1855835568684093,27,0.0,1366,5.0,-0.0008188827849517111,1.3461970174312592,1.84,0.9712162178754806,216000
0.9677744233608245,0.008553455425426364,218.6,0.28039919393039875,28,0.0,1369,6.0,-0.004776194055334599,1.3362645769119263,2.32,0.9224226725101471,224000
1.1032780879735946,0.009054684326983989,206.88,0.2802326063387413,29,0.0,1367,5.0,0.0005957509553991258,1.3751892626285553,1.99,0.8405752217769623,232000
0.8067697474360466,0.005064469623030163,205.89,0.20252686742347076,30,0.0,1367,5.0,-0.0007789357751607895,1.356533397436142,1.98,0.9544238579273224,240000
0.8541434372961522,0.005824929107911885,200.31,0.2147952888467375,31,0.0,1368,5.0,-0.0013565651688259095,1.3498066914081575,1.87,0.9443037295341492,248000
0.6246409749984742,0.002948748734779656,215.78,0.15760617247993822,32,0.0,1369,6.200000000000017,-0.00014132986369077115,1.3539696049690246,2.3,0.9694784450531005,256000
0.9165752851963043,0.006228229323169216,212.91,0.23886893555630845,33,0.0,1369,8.100000000000009,-0.0022250331602117514,1.3456429553031921,2.25,0.9284554970264435,264000
