advantage_norm,policy_entropy,explained_variance,P01:episode_rewards,fps,policy_loss,grad_norm,frames,PMM:episode_rewards,value_loss,P09:episode_rewards,episode_length,epoch_idx
1.6559883401915432,1.3428136521577836,-1.9175459319353103,0.0,1052,-0.009423934557416943,1.3218902422381336,8000,0.813953488372093,0.033203550283851656,2.0,160.3953488372093,1
1.3748399800062179,1.3703292846679687,-0.017611141204833983,0.0,1112,0.00062349808315048,0.28528362137132646,16000,1.2333333333333334,0.01600513861867512,3.1000000000000085,175.2888888888889,2
1.042651586867869,1.370412666797638,-0.1543964171409607,0.0,1095,0.0024467791413189843,0.24097754940192032,24000,1.26,0.01230305184932149,3.0,175.63,3
1.1903854620456695,1.3680313217639923,-0.07472336292266846,0.0,1117,-0.0009179386746836826,0.2501711000474428,32000,1.13,0.013069396973078256,2.1000000000000085,171.11,4
1.4137688374519348,1.3453799033164977,-0.030513395667076112,0.0,1130,0.000631335674552247,0.3216956620139648,40000,1.34,0.017044617732390178,3.1000000000000085,181.24,5
1.2718098692595958,1.3701396298408508,0.09040806889533996,0.0,1125,0.0010178054706193507,0.2888433421903163,48000,1.53,0.01401530933115282,4.0,190.05,6
1.1347737556695938,1.3683972668647766,-0.07175493121147156,0.0,1119,-0.0014428971079178154,0.28046539981747853,56000,1.35,0.010616166862600949,4.0,181.8,7
1.3874478614330292,1.354601093530655,0.52814113676548,0.0,1126,-0.0010415361128980295,0.3619401105282805,64000,1.21,0.015065115465549752,3.0,176.32,8
1.3653147289156913,1.3709412598609925,0.5930275654792786,0.0,1134,-0.003355374785605818,0.35874467370897234,72000,1.64,0.01337566593894735,4.1000000000000085,194.4,9
1.3678815504908561,1.3684462869167329,0.6589865267276764,0.0,1141,-0.006309664678992704,0.4224184013197634,80000,1.9,0.014564219119492919,5.0,203.37,10
1.2122181794047355,1.3586851370334625,0.8054372572898865,0.0,1142,-0.004648123924380343,0.37708107579538214,88000,1.79,0.010806447846116498,5.0,198.11,11
1.1864345917105674,1.3628358769416808,0.8365030068159104,0.0,1143,-0.0030095602638903073,0.36943169911268364,96000,1.69,0.0102760856365785,5.0,193.84,12
1.3274514335393905,1.3596139144897461,0.7777055126428604,0.0,1149,-0.004884457441017957,0.4089405285511527,104000,1.78,0.013211835955735296,5.0,196.03,13
1.239224877357483,1.3628326177597045,0.842870847582817,0.0,1147,-0.00169482238474302,0.37226716537782845,112000,2.09,0.011095991332549602,5.0,206.09,14
1.1101135113835334,1.3570624828338622,0.8852240192890167,0.0,1152,-0.004289677623310126,0.34121045093828917,120000,2.07,0.009254422759404406,5.0,204.32,15
1.112827787399292,1.36144504904747,0.8811708694696426,0.0,1158,-0.0035705426242930117,0.3283781750176149,128000,2.47,0.009264407969312742,5.200000000000017,218.3,16
0.9432114365696908,1.3353740561008454,0.9256035631895065,0.0,1159,-0.0010508149885572493,0.258035915334558,136000,2.32,0.0066958957829047,6.0,216.01,17
1.1340766215324403,1.3579798758029937,0.8789554226398468,0.0,1163,0.00015436356974532828,0.3639844347291011,144000,1.73,0.01148888984520454,5.0,196.12,18
1.0189343801140784,1.3505594897270203,0.9148846942186356,0.0,1166,-0.0002140182821176495,0.2800328933541887,152000,1.98,0.008201122821774334,6.0,205.13,19
0.8440929508209228,1.344736089706421,0.9461351412534714,0.0,1170,-0.0016964274313068018,0.23363548089125072,160000,2.43,0.005492129256599583,9.0,216.98,20
0.9614862549304962,1.362097259759903,0.9219497668743134,0.0,1172,-0.0021666065527824684,0.26678281644544277,168000,2.36,0.007601471634116024,9.0,213.34,21
1.1314996218681335,1.3466516637802124,0.8682328021526337,0.0,1175,0.0014178794811596162,0.36092471563568146,176000,2.48,0.011989017551823054,9.0,218.43,22
0.8386872401833534,1.350140085220337,0.9418421339988708,0.0,1178,-0.0008890815030463273,0.21618400419766193,184000,2.46,0.005240637216484174,7.1000000000000085,219.42,23
0.9464561352133751,1.3440648901462555,0.9215310662984848,0.0,1178,-0.0014694627736753319,0.24808734736238822,192000,2.4,0.0067980447120498865,8.100000000000009,215.56,24
0.8432768146693707,1.3291467320919037,0.9543388342857361,0.0,1182,-0.0021555781462666347,0.23850730794114264,200000,2.45,0.005749372321297415,9.0,217.46,25
0.8276439632475376,1.342939783334732,0.9509960907697678,0.0,1182,0.0007551965466700495,0.21787576034396022,208000,2.52,0.0055814854049822315,9.0,218.31,26
0.8287935765087604,1.357383941411972,0.930675072669983,0.0,1185,-0.001890452502266271,0.2250682714983107,216000,2.4,0.005895356023684144,9.0,214.01,27
0.9013759982585907,1.349878761768341,0.9250319355726242,0.0,1187,-0.002793431179597974,0.2434920169009586,224000,2.21,0.006590651756268926,8.100000000000009,207.93,28
0.7591064964234829,1.3247124874591827,0.9583483618497849,0.0,1188,-0.0008524363033939153,0.20146811719476646,232000,2.44,0.00470980865182355,9.0,217.47,29
0.7135214221477508,1.3436012327671052,0.9647607368230819,0.0,1189,1.9698567266459578e-05,0.1920622285058819,240000,2.22,0.004034733079315629,7.1000000000000085,210.79,30
0.8943222734332085,1.3685422813892365,0.9278034752607346,0.0,1189,-0.00048758117744000627,0.2244906609350349,248000,2.09,0.006146186626283452,5.1000000000000085,207.43,31
0.9688705524802208,1.3471978604793549,0.9181809264421463,0.0,1191,0.0015644756809342652,0.2859786600845471,256000,2.36,0.00764555245928932,6.0,219.17,32
0.8103215447068215,1.3458819043636323,0.9362101089954377,0.0,1192,0.0008405041557102777,0.20038171878325894,264000,2.68,0.005578374724427704,8.100000000000009,228.18,33
