value_loss,grad_norm,epoch_idx,explained_variance,P09:episode_rewards,clip_fraction,approx_kl_divergence,episode_length,fps,PMM:episode_rewards,advantage_norm,P01:episode_rewards,frames,policy_loss,policy_entropy
13.61866410910152,119.27676151436506,1,-0.019607464969158172,490.0,0.341845703125,0.05521383570126136,377.92,210,264.0,15.968718981742859,85.0,10240,0.012912331142069888,1.706352805532515
0.02736961772898212,0.4134564770652195,2,-6.332993507385254e-09,445.0000000000001,0.1416015625,0.002253222989929782,360.4727272727273,189,226.8181818181818,15.968718469142914,60.000000000000014,20480,-0.0014704712251841557,1.7586315475404262
0.025038363174826373,0.3085965802255244,3,5.587935447692871e-09,387.5,0.1184326171875,0.0019566929337855752,357.7674418604651,192,213.6627906976744,15.968718272447585,50.0,30720,-0.0016440781349956524,1.7574068062007426
0.02537871299427934,0.20856466133435175,4,1.862645149230957e-09,475.0,0.080419921875,0.0014577249753429556,355.06,195,222.75,15.968718266487121,50.0,40960,-0.0013757950346189318,1.7569578781723976
0.017976095608901232,0.1579233027132019,5,6.7055225372314455e-09,427.5000000000002,0.0829833984375,0.001224767745007327,345.48,197,207.25,15.968717956542969,50.0,51200,-0.0015177126802882412,1.7766352765262128
0.02095595456485171,0.1305293407560959,6,0.0,475.0,0.008642578125,0.0005050393442488143,344.5,199,208.25,15.968718004226684,50.0,61440,-0.0006991032925725449,1.775567851215601
0.019768571201711892,0.12310172187874631,7,8.568167686462402e-09,427.5000000000002,0.0328125,0.0007622938289884474,338.08,201,180.75,15.968718183040618,47.50000000000001,71680,-0.0018389001215837197,1.7591847844421864
0.018750939198071137,0.08718659913540354,8,-1.1548399925231934e-08,310.00000000000085,0.006396484375,0.00030652463351259484,338.13,201,172.75,15.968717980384827,25.0,81920,-0.0008165639424987603,1.7860601827502252
0.020207775483140723,0.06718072370715025,9,-2.3469328880310058e-08,277.5000000000002,0.0,0.0001999940442171777,333.34,201,164.25,15.968718254566193,25.0,92160,-0.0006579737913853023,1.7825580723583698
0.019932334931218064,0.06500904203974703,10,-1.9744038581848144e-08,275.0,0.0,0.00014143678199189934,332.84,202,163.5,15.968718016147614,25.0,102400,-0.0006195796122483443,1.7833708584308625
0.020587348387925884,0.06938147224589394,11,-4.097819328308106e-09,275.0,0.0,0.00016152330375120982,330.19,203,169.75,15.968718189001084,25.0,112640,-0.0006035588503436884,1.7804960794746876
