epoch_idx,grad_norm,episode_length,fps,advantage_norm,PMM:episode_rewards,frames,value_loss,explained_variance,policy_loss,P01:episode_rewards,approx_kl_divergence,clip_fraction,policy_entropy,P09:episode_rewards
1,54701190.26782791,496.94117647058823,273,15.968717378377914,216.1764705882353,10240,25250038.606685206,-1.5654420997947454,0.040948351654697034,0.0,103438.97633383647,0.343212890625,0.3011885785771261,575.0
2,0.03476189722367574,460.74418604651163,274,15.96871086359024,127.32558139534883,20480,0.0038067522367413176,0.0,0.0008349496605660533,0.0,0.009582444269406664,0.095361328125,0.3522237053140998,445.0000000000001
3,0.0457919933911955,403.0135135135135,280,15.968688070774078,97.29729729729729,30720,0.0032699105585024314,-6.332993507385254e-09,0.0014930740235286066,0.0,0.008798348952223024,0.2099365234375,0.9840420123189688,350.0000000000007
4,0.03660109220548812,359.02,284,15.968689930438995,54.25,40960,0.0025083963761854734,1.1175870895385742e-09,-0.0002845039645762881,0.0,0.0050508782185488595,0.23076171875,1.2279905185103417,100.0
5,0.040540638872131086,311.48,289,15.968361085653305,39.5,51200,0.002223494012512288,1.1175870895385742e-09,2.5194821500917896e-05,0.0,0.003016989594414099,0.15185546875,1.313875360786915,77.50000000000021
6,0.04654059663502674,304.34,292,15.968710601329803,41.25,61440,0.00481749935291873,7.82310962677002e-09,-0.0007223710665130057,0.0,0.0047328971328056465,0.2739013671875,1.5393574871122837,75.0
7,0.04666218206918722,303.62,295,15.968703734874726,56.25,71680,0.0031677646621112387,1.1548399925231934e-08,-0.0008278781795524992,0.0,0.0047954726961961566,0.2984375,1.5486499473452568,102.50000000000021
8,0.04863954438506294,301.71,294,15.968716770410538,62.75,81920,0.0035580809010525628,7.82310962677002e-09,-0.0011406546898797387,0.0,0.0046729012640980725,0.2866455078125,1.5818622633814812,127.50000000000021
9,0.044314606245972554,296.28,294,15.968641084432601,43.25,92160,0.0017236478701603275,2.2351741790771484e-09,-0.002045132120474591,0.0,0.004652559684006974,0.34580078125,1.5536581754684449,100.0
10,0.04800447306822808,292.59,294,15.968714141845703,33.5,102400,0.0030262941210935424,-6.7055225372314455e-09,-0.0009145464879111387,0.0,0.004133040569575997,0.2745361328125,1.5936311222612858,75.0
11,0.04675039937963678,292.6,294,15.968717288970947,42.75,112640,0.004372290656829136,-1.1175870895385742e-08,-0.0017877977777970954,0.0,0.005468857807568383,0.3139404296875,1.602763994038105,100.0
12,0.052634205212561416,296.93,294,15.968634295463563,62.5,122880,0.004782993217352783,-2.123415470123291e-08,-0.0008848149389450554,0.0,0.0037314185833110967,0.256884765625,1.6691654421389104,125.0
13,0.05366035357808842,303.44,295,15.96871730685234,83.25,133120,0.005382225840321553,-4.470348358154297e-09,-0.0019318188926263247,0.0,0.0043403544396255715,0.331982421875,1.6297737590968608,152.50000000000023
14,0.05301968680527887,313.68,294,15.968717682361603,97.75,143360,0.005912755482313514,1.4901161193847657e-09,-0.0007958448004501406,0.0,0.003129838802578888,0.22451171875,1.618597787618637,237.50000000000105
15,0.05090937620047283,326.95,294,15.968717551231384,110.0,153600,0.007663573238096433,-8.568167686462402e-09,-0.0016353051280020737,0.0,0.0030227505345010288,0.1912109375,1.5436609335243703,230.0000000000004
16,0.05314181479124165,337.7,293,15.968717551231384,129.75,163840,0.008672128247872024,1.1175870895385742e-08,-0.0007661942723643733,25.0,0.0027873324700408374,0.202734375,1.4332221411168575,252.50000000000023
17,0.05277711561515094,338.66,294,15.968717437982558,119.0,174080,0.006608110278193635,-1.1175870895385742e-08,-0.001511931229470065,25.0,0.003230759736283062,0.2263671875,1.4929006934165954,175.0
18,0.048829821521059275,322.9,294,15.968716830015182,102.25,184320,0.004968528959636842,-1.2665987014770507e-08,-0.0017288904000452021,25.0,0.0037384277439173274,0.2633056640625,1.5157938547432424,175.0
19,0.048484936481332244,302.46,293,15.96871542930603,65.5,194560,0.004031324086486166,4.470348358154297e-09,-0.000714656594209373,22.500000000000007,0.0033872522446415586,0.224560546875,1.4828952878713608,150.0
20,0.04631790520923775,297.73,294,15.968717378377914,57.0,204800,0.004654148507643186,-6.7055225372314455e-09,-0.0014204547478584573,0.0,0.002969211380275283,0.20693359375,1.5014297857880592,125.0
21,0.05027167147886439,299.97,295,15.968717050552367,62.25,215040,0.006018841985360268,8.195638656616212e-09,-0.0013185673546104227,0.0,0.0034078285530142693,0.21748046875,1.4921539925038814,150.0
22,0.0518146773280765,312.59,294,15.968717795610427,85.25,225280,0.006651077984406584,1.1920928955078126e-08,-0.0016622838709736242,22.500000000000007,0.002877090817594308,0.2184814453125,1.495347300171852,150.0
23,0.051533085446009944,320.38,294,15.968717801570893,101.25,235520,0.007398211615145556,5.215406417846679e-09,-0.0011651976619759807,25.0,0.0031076695462616045,0.2083251953125,1.4906992703676223,175.0
24,0.052588503165656275,322.76,294,15.968717437982558,105.0,245760,0.005865290420797464,-1.2665987014770507e-08,-0.0008880189052433707,25.0,0.0036034438365732057,0.226513671875,1.5268399350345134,175.0
25,0.049507537797937165,316.91,294,15.96871713399887,93.25,256000,0.005933199617106766,-2.0861625671386717e-08,-0.0006730074877850711,25.0,0.0024789468460994614,0.149169921875,1.433723335713148,150.0
26,0.05433027574560719,309.09,294,15.968716788291932,79.0,266240,0.00452488531329891,7.450580596923828e-09,-0.001413764857352362,22.500000000000007,0.004368780522270299,0.2983154296875,1.51795107498765,125.0
27,0.051245848680469816,306.89,294,15.968716889619827,71.75,276480,0.0057519379408859095,4.8428773880004884e-09,-0.001641886172728846,0.0,0.00403527029657198,0.29970703125,1.6010162107646466,125.0
28,0.05553392628733309,307.82,294,15.968710231781007,88.75,286720,0.007333501678679966,-1.564621925354004e-08,-0.0011935014303162462,0.0,0.003096871286993519,0.22021484375,1.6438354820013046,152.50000000000023
29,0.05393632551514055,311.57,294,15.968716937303544,97.0,296960,0.0050378979008655735,2.6077032089233397e-09,-0.0010058742871478898,22.500000000000007,0.003808621015855351,0.2861328125,1.657631017267704,177.50000000000023
30,0.05244457673224939,305.8,294,15.968716192245484,88.75,307200,0.004887126606843139,4.8428773880004884e-09,-0.0010516480151636642,0.0,0.004491051495165266,0.3049072265625,1.648845838010311,152.50000000000023
