fps,P09:episode_rewards,avg_q_selected,explained_variance,episode_length,frames,policy_entropy,policy_loss,P01:episode_rewards,model_prob_std,q_loss,grad_norm,policy_gradient_bias_correction,advantage_norm,epoch_idx,policy_gradient_loss,rollout_prob_std,avg_q_retraced,PMM:episode_rewards
316,0.0,-0.007064227608498186,-54.57393500010173,0,7200,2.113963766892751,0.00012839630388346754,0.0,0.02081339357731243,0.0011262734986909587,0.14859143360440044,0.0,0.03497148081660271,1,0.00012839630388346754,0.02081339379462103,-0.007067481462975896,0.0
183,0.0,0.0004666795663069934,-257.66542999744416,0,14400,2.19369367758433,-4.954340156473336e-05,0.0,0.004835433089950433,5.897195581686295e-05,0.0255882954748985,0.0,0.015025003006060918,2,-4.954340156473336e-05,0.004835433062786857,0.0005228093534848691,0.0
213,0.0,0.0008910225190144653,-27.661505603790282,0,21600,2.1968558549880983,-1.9813574747710543e-05,0.0,0.002608835701054583,1.1656921666750955e-05,0.0033845357198816527,0.0,0.011735415815686186,3,-1.9813574747710543e-05,0.002608835670010497,0.0009456541618419578,0.0
243,0.0,0.0018194096842004607,-16.658011547724406,0,28800,2.19647380510966,-3.9411743163479214e-05,0.0,0.004199029870020846,1.895744887103016e-05,0.00395362212951943,0.0,0.02572891143305848,4,-3.9411743163479214e-05,0.0041990298894234,0.0018483872098537782,0.0
266,0.0,0.0016496464144438506,-35.86112508773804,0,36000,2.1970192988713584,-3.5533531270933354e-05,0.0,0.0018281933036632836,7.374781504646914e-06,0.0015350270194619264,0.0,0.01134913054605325,5,-3.5533531270933354e-05,0.0018281932823204746,0.0016751046719339986,0.0
285,0.0,0.0014926259793962041,-22.090586805343627,3325.25,43200,2.1968740145365397,-3.6354835204595776e-05,0.0,0.0026425191938566667,1.0506392156154713e-05,0.001986763234013497,0.0,0.018118420522660016,6,-3.6354835204595776e-05,0.0026425191686333467,0.001544800781023999,0.0
300,0.0,0.0009718477667775005,-51.582547124226885,3325.25,50400,2.1970316251118978,-2.115684867286897e-05,0.0,0.001256535821206247,3.878914359726574e-06,0.0016463799292796304,0.0,0.007996649729708831,7,-2.115684867286897e-05,0.00125653581150497,0.0009787314639349157,0.0
313,0.0,0.0014868629785875478,-85.28668540318807,3325.25,57600,2.197181725502014,-3.5583381441028904e-05,0.0,0.0008907432415677856,2.239275583330406e-06,0.0008765737975129914,0.0,0.00397201277470837,8,-3.5583381441028904e-05,0.0008907432629105945,0.0014414326326611141,0.0
325,0.0,0.0009391766885528341,-24.198338921864828,3325.25,64800,2.1970653692881266,-2.3064267058240754e-05,0.0,0.0017033776792231947,5.759640741113496e-06,0.0009297781243552403,0.0,0.012072925960334638,9,-2.3064267058240754e-05,0.0017033776772829394,0.0009292837445779393,0.0
336,0.0,0.0012727783798861007,-147.2387451807658,3325.25,72000,2.19711910088857,-2.463036012917049e-05,0.0,0.0012406096347452452,4.072080158342336e-06,0.0007512955018420056,0.0,0.008736461234123756,10,-2.463036012917049e-05,0.001240609628924479,0.001243043029292797,0.0
345,0.0,0.0010875236320619782,-44.53958288828532,3325.25,79200,2.197030504544576,-2.526781743815339e-05,0.0,0.0020216099549240124,6.379279045631847e-06,0.0010798773257448995,0.0,0.015195182303432374,11,-2.526781743815339e-05,0.002021609941342225,0.0010659857556068648,0.0
352,0.0,0.0010576682921964674,-75.03251450856527,3324.4583333333335,86400,2.197192923227946,-2.4483791927802184e-05,0.0,0.0006100664371236538,1.8313805621043381e-06,0.0003973471225819267,0.0,0.004392740518475572,12,-2.4483791927802184e-05,0.0006100664322730154,0.0010206392888600627,0.0
359,0.0,0.001101411630709966,-155.25347193082175,3324.4583333333335,93600,2.1971664587656656,-2.2958642512094228e-05,0.0,0.0006096397351939231,2.2056858881569497e-06,0.0008251085022723186,0.0,0.004756432426317284,13,-2.2958642512094228e-05,0.0006096397642977536,0.0010761669026881767,0.0
365,0.0,0.0009735346810581784,-56.19415106773376,3324.4583333333335,100800,2.1972129980723065,-2.1996629250982853e-05,0.0,0.00044041850487701594,7.420752865527902e-07,0.0003235183430358182,0.0,0.002975876726365338,14,-2.1996629250982853e-05,0.00044041848450433464,0.0009480253017197052,0.0
371,0.0,0.0008783437816115718,-24.03513134320577,3324.4583333333335,108000,2.197101839383443,-1.9336250761625707e-05,0.0,0.0016736951802158728,3.805015982531283e-06,0.0008324624072193518,0.0,0.012982097081840038,15,-1.9336250761625707e-05,0.0016736951443211486,0.000861126995490243,0.0
378,0.0,0.001109012032005315,-154.31811361312867,3324.4583333333335,115200,2.1971953392028807,-2.5975706497168478e-05,0.0,0.0005568408033771751,1.2657861513313642e-06,0.0002911405010726093,0.0,0.004108719013553734,16,-2.5975706497168478e-05,0.0005568408077427496,0.00108065230694289,0.0
381,0.0,0.0008555692753621512,-18.854045095973543,3324.6666666666665,122400,2.197145307347888,-2.1391023242683456e-05,0.0,0.0013100200659333957,2.43617221533062e-06,0.0006063493866928273,-4.857436704151764e-08,0.010075256113694715,17,-2.134244887602541e-05,0.002560872915690572,0.0008444661329803428,0.0
377,0.0,0.0007934158895617148,-32.12830396585994,3324.6666666666665,129600,2.1972007966735374,-1.6984912466034445e-05,0.0,0.0006426628501086035,8.924126422631018e-07,0.00032617720228080325,2.1511668825900818e-07,0.005496261008664357,18,-1.720002915043021e-05,0.00428549202161049,0.0007908430062078875,0.0
374,0.0,0.0007374143506846546,-41.658650460441905,3324.6666666666665,136800,2.197211383004037,-1.7161533736707955e-05,0.0,0.0004928044399564406,4.570845160980215e-07,0.00025372513619824024,-4.049712922930364e-08,0.004432460723203673,19,-1.7121036579720113e-05,0.005067689439084273,0.0007410077970231964,0.0
370,0.0,0.000713289511184683,-31.556388978910125,3324.6666666666665,144000,2.1972146285401513,-1.719066841915973e-05,0.0,0.0004384183730910985,3.3886366909754196e-07,0.00017032797972572764,4.532755128147898e-08,0.003932992124524289,20,-1.723599596707786e-05,0.003095625375311202,0.0007045902211655638,0.0
368,0.0,0.0006268282961490702,-211.4266124359073,3324.6666666666665,151200,2.1972152392920994,-1.4457912695447818e-05,0.0,0.0004199432970195418,2.9155648607926334e-07,0.00018976060022517102,5.1075000279914616e-08,0.004190173618493424,21,-1.4508987695917212e-05,0.00360333304809448,0.0006187567454621086,0.0
