advantage_norm,explained_variance,PMM:episode_rewards,policy_entropy,episode_length,policy_loss,frames,epoch_idx,fps,value_loss,P09:episode_rewards,P01:episode_rewards,grad_norm
2.993441853895783,-1.0017503011226654,0.782608695652174,1.3364439425617456,158.0,0.04125433449051343,8000,1,237,0.4406710266391019,2.0,0.0,9.331665687952281
0.8246016545593738,-0.3543193656206131,0.9175257731958762,1.3834519267082215,163.340206185567,0.0007784353243187069,16000,2,231,0.00769564353628084,2.0,0.0,0.11683941449599482
0.9065772910416127,-0.3309909021854401,1.14,1.3842203772068025,172.62,0.001452975608408451,24000,3,237,0.008885470257218912,3.0,0.0,0.10748490029141815
0.8759449522569775,-0.22839858889579773,1.26,1.3841712749004365,177.33,0.0017299081699457019,32000,4,244,0.008784042885126837,4.0,0.0,0.111121321984731
0.6785900752991438,-0.7072063010931015,1.13,1.3834036910533904,171.74,0.0004948246444109827,40000,5,249,0.00650872684780552,3.0,0.0,0.0979245749354835
1.1046555098891258,-0.2566268002986908,1.18,1.3818114817142486,174.21,-0.0021952799236169083,48000,6,257,0.011452639848821491,3.0,0.0,0.25432495926944854
0.9979662784934044,-0.13713870465755462,1.52,1.3840951693058015,187.16,0.0005623554694466293,56000,7,257,0.009738420421817863,4.0,0.0,0.1362474042168114
0.9583949665725231,-0.2353362786769867,1.57,1.377533597946167,190.71,0.0001269076857715845,64000,8,258,0.009578968009518575,4.0,0.0,0.131522114123424
0.8974563813209534,-0.2536426216363907,1.3,1.3791312301158904,181.2,-0.0006202699849382042,72000,9,259,0.008853436926219729,3.0,0.0,0.13231939158111508
0.9220232240483165,-0.19737496972084045,1.28,1.383263887166977,180.87,-4.1995938518084585e-05,80000,10,261,0.009000039943275624,3.0,0.0,0.13032136376710132
0.9074591169878841,-0.35631625056266786,1.33,1.3806348085403441,179.99,0.0005646410584449768,88000,11,261,0.008725940551576059,3.0,0.0,0.12490275191210337
0.8978763398528099,-0.3427323544025421,1.47,1.3810692989826203,186.15,0.00018309609760763123,96000,12,261,0.009088886552854092,4.0,0.0,0.13460399421180314
0.8908279608935118,-0.1772027540206909,1.37,1.3826779329776764,184.1,-0.0005089704203419387,104000,13,261,0.008279178519987909,3.1000000000000085,0.0,0.11380315942893268
1.0113740228116512,-0.20482270836830138,1.38,1.3817008233070374,182.42,0.0006480259774252772,112000,14,262,0.010353793463254988,4.0,0.0,0.1576049412103466
1.0207194950431586,-0.1408235514163971,1.56,1.3812172317504883,189.85,0.0009875605499837547,120000,15,262,0.009812257610028609,5.0,0.0,0.13975735972971323
