epoch_idx,PMM:episode_rewards,policy_entropy,P09:episode_rewards,clip_fraction,frames,fps,value_loss,policy_loss,explained_variance,grad_norm,advantage_norm,P01:episode_rewards,episode_length,approx_kl_divergence
1,174.03846153846155,0.12885209186627145,162.5,0.1280517578125,10240,247,766347993.5175923,0.04475932717377873,-0.145097054541111,1065936119.6482313,15.968716871738433,150.0,340.88461538461536,140206.20727057842
2,160.77586206896552,0.06089993772841353,150.0,0.03193359375,20480,234,0.09944836030335864,0.0009230971109445818,2.9802322387695314e-09,1.2904609262788342,15.968716245889663,150.0,332.0,0.004715497158116833
3,156.52173913043478,0.458205148158595,150.0,0.0845947265625,30720,243,0.0112215224165098,0.0031877950674243038,-2.123415470123291e-08,0.09197110380457559,15.968714052438736,150.0,331.6521739130435,0.00688093779606902
4,149.75,0.7211296044290065,150.0,0.0984619140625,40960,248,0.010600648872059536,0.0005956281667749864,-6.332993507385254e-09,0.05323783649483971,15.968717527389526,150.0,333.4,0.0031359201806480997
5,155.0,0.7561039485037326,175.0,0.0771484375,51200,251,0.009464058387675323,-0.00036356898526719307,-7.450580596923828e-09,0.026839511092300226,15.968717652559281,150.0,346.33,0.0016884013489118388
6,156.0,0.8175535663962364,175.0,0.091943359375,61440,253,0.010789045580895617,-0.0006085627654101699,1.6763806343078613e-08,0.03204531811150489,15.96871783733368,125.0,351.05,0.0019819795973944564
7,163.25,0.8079239573329687,175.0,0.09345703125,71680,254,0.010031855518900557,-0.0006694458325000596,-6.7055225372314455e-09,0.03343738592447073,15.968717539310456,147.5,357.08,0.0017207427574561507
8,162.25,0.7092274870723486,175.0,0.087646484375,81920,256,0.010772698411165038,-0.00046755646981182507,7.078051567077636e-09,0.02709532906828411,15.968717968463897,125.0,351.82,0.0025424169350287684
9,159.25,0.7955061350017786,175.0,0.0616455078125,92160,258,0.010519708742867806,-0.00020064649725100027,5.960464477539063e-09,0.03127540496842273,15.968717908859253,125.0,349.36,0.0012564231661485793
10,156.25,0.7422553796321154,175.0,0.0704833984375,102400,260,0.010983047015906777,-0.0005612633540295064,7.82310962677002e-09,0.02788023665636629,15.968717885017394,125.0,346.57,0.001550778502823391
11,156.5,0.709032940864563,175.0,0.0676025390625,112640,262,0.010142145879581222,-0.0005044669851486105,-6.332993507385254e-09,0.027785562386526512,15.968717736005782,150.0,354.02,0.0012194033070613841
12,157.0,0.738877434283495,175.0,0.065966796875,122880,263,0.009727628040127455,0.00018420202104607597,-1.9744038581848144e-08,0.03501360910308179,15.968717402219772,150.0,352.95,0.0014913461804553663
13,156.5,0.9209197644144297,175.0,0.1119384765625,133120,265,0.009900556887441781,1.5067691856529564e-05,-1.4901161193847656e-08,0.03831663715681609,15.968717736005782,150.0,357.34,0.0029065910526355765
14,155.0,1.0648288894444704,175.0,0.1496337890625,143360,265,0.010846652787950006,-0.0009018192326038843,-2.60770320892334e-08,0.04342871220404238,15.968717777729035,150.0,353.22,0.0026950076711500515
15,156.5,1.0724242903292178,175.0,0.1381103515625,153600,267,0.009767443476630434,-0.0008930243264330783,-1.3783574104309083e-08,0.04113386867821697,15.968717801570893,150.0,358.8,0.0026719753258362287
16,156.25,1.0875149592757225,175.0,0.1197509765625,163840,268,0.009250791353406385,-0.0003741766646271572,4.097819328308106e-09,0.044538665313830834,15.968717730045318,125.0,358.84,0.0024544739671455316
17,155.0,0.8861955456435681,175.0,0.1008544921875,174080,269,0.010265975528091076,-0.0007016085226496215,-6.332993507385254e-09,0.034598427058687944,15.968717575073242,125.0,359.21,0.0021002566766156862
18,150.25,0.7695850629359484,175.0,0.073828125,184320,270,0.009626786689113941,-0.0006433153139369097,4.8428773880004884e-09,0.033502696502947404,15.968717700242996,125.0,353.47,0.0012611432423822676
19,152.5,0.7126385681331158,175.0,0.070361328125,194560,271,0.010809713644266594,-0.000735042833184707,-1.3783574104309083e-08,0.032200298227929566,15.968717807531357,125.0,352.54,0.001221940875944938
20,154.75,0.7105628471821547,175.0,0.0572998046875,204800,272,0.011140482817245357,-5.1669836466317065e-05,-7.82310962677002e-09,0.0310682153407984,15.968717885017394,125.0,345.62,0.0015991328462291675
