explained_variance,fps,policy_entropy,PMM:episode_rewards,advantage_norm,clip_fraction,grad_norm,P09:episode_rewards,epoch_idx,policy_loss,value_loss,approx_kl_divergence,episode_length,frames,P01:episode_rewards
0.01232665553689003,168,1.6045717081520707,138.46153846153845,15.968718498945236,0.31787109375,65.43040637235575,237.5,1,0.014038731441542041,6.832516688108444,0.06865127910523397,328.4230769230769,10240,25.0
-4.470348358154297e-09,173,1.708686103671789,163.135593220339,15.968718260526657,0.1759033203125,0.5397895753323333,280.00000000000006,2,-0.0011132510493553128,0.022573296003974973,0.0025328271785156177,337.93220338983053,20480,25.0
1.862645149230957e-08,184,1.757337561994791,167.41573033707866,15.968717944622039,0.201416015625,0.3806961519151543,325.0,3,-0.002000366951324395,0.01936036719416734,0.002701442848365332,342.55056179775283,30720,25.0
-2.4959444999694825e-08,189,1.7716208420693875,189.25,15.968718296289444,0.1101806640625,0.3446709594468679,357.5000000000007,4,-0.001596356611844385,0.0239740771939978,0.0017206094830612528,347.81,40960,25.0
-1.1920928955078126e-08,190,1.7737379960715771,201.0,15.96871833205223,0.0865966796875,0.18749324563334085,430.0000000000004,5,-0.0014228567986720008,0.025148737948620693,0.0012313659376303576,348.21,51200,50.0
-2.2351741790771484e-09,193,1.7852409936487674,184.75,15.968717920780183,0.0,0.1041313483008327,380.00000000000045,6,-0.0005745657243096502,0.01797837820195127,0.0002852407928500611,339.78,61440,25.0
5.215406417846679e-09,194,1.7767734229564667,187.0,15.96871817111969,0.0071533203125,0.08814356628779921,430.0000000000004,7,-0.0011728427842172095,0.02080977771547623,0.00040890555837762576,337.68,71680,25.0
-7.82310962677002e-09,194,1.784466515481472,155.25,15.968717902898788,0.0,0.08089046628316761,307.5000000000006,8,-0.000843256037660467,0.018045232360600495,0.00027044612017093075,328.15,81920,25.0
-4.097819328308106e-09,195,1.7870483711361884,175.5,15.96871817111969,0.0,0.06762611152229692,385.00000000000085,9,-0.00045071985623508227,0.021212300742627123,0.0001599028849220474,335.01,92160,47.50000000000001
1.564621925354004e-08,196,1.7833223804831504,177.75,15.968718284368515,0.0,0.06550562488784843,382.5000000000007,10,-0.0006195239023327303,0.02166603788646171,0.00015833358886716554,340.64,102400,50.0
-1.4528632164001465e-08,197,1.7788054183125497,199.5,15.968718284368515,0.0026123046875,0.0658904122865164,477.5000000000002,11,-0.0006781319108995377,0.025613919331226497,0.00021208097212479515,347.0,112640,50.0
-1.601874828338623e-08,197,1.773343314230442,210.75,15.96871829032898,0.0,0.06737370473873472,450.0,12,-0.0007412491773720831,0.022658892261097206,0.0002465227298706907,357.35,122880,50.0
-7.450580596923828e-09,197,1.7844414725899695,208.5,15.968718272447585,0.0,0.06362262695359977,400.0,13,-0.0005207510894251755,0.02237008972442709,0.00014525486490555295,359.27,133120,75.0
-1.6763806343078613e-08,197,1.7841894701123238,182.0,15.96871799826622,0.0,0.07143599294320983,352.5000000000002,14,-0.0005380800463171909,0.017901144667121116,0.00014675874695342374,350.01,143360,50.0
-1.0430812835693359e-08,196,1.7821689628064632,170.0,15.968718016147614,0.0,0.062419266422357046,302.5000000000002,15,-0.000580090928633581,0.019637907110154628,0.00016135264903560653,341.26,153600,47.50000000000001
-3.203749656677246e-08,196,1.786065898835659,158.0,15.968718022108078,0.0,0.06638902381443877,300.0,16,-0.0006848589813671424,0.017439154526800848,0.00016637151586742504,331.86,163840,25.0
-6.332993507385254e-09,195,1.7755023412406445,180.5,15.968718254566193,0.0,0.06802215038989305,405.00000000000045,17,-0.0009089473365747836,0.02329241464030929,0.00021720735925541136,342.75,174080,47.50000000000001
-5.215406417846679e-09,195,1.7802833318710327,199.75,15.968718069791795,0.0,0.06101170707914294,477.5000000000002,18,-0.0007971458540851018,0.020101286977296694,0.0001845992878211078,346.54,184320,47.50000000000001
-1.1920928955078126e-08,195,1.779481253772974,190.0,15.968718034029006,0.0,0.057810919707395714,407.5000000000006,19,-0.000691186182302772,0.01856940395955462,0.00017078010848425862,342.32,194560,25.0
-3.725290298461914e-09,195,1.779710129648447,185.0,15.968718302249908,0.0,0.0568419602156953,400.0,20,-0.00040138840522558895,0.02027851148886839,9.391421761506535e-05,339.41,204800,25.0
-7.82310962677002e-09,196,1.772394347935915,158.75,15.968717968463897,0.0,0.05866260066360921,277.5000000000002,21,-0.0006469561394624179,0.01980158511141781,0.00015573317325738855,334.8,215040,25.0
0.0,196,1.7775711715221405,179.0,15.968718147277832,0.0,0.05503271243977738,400.0,22,-0.0005248720153758768,0.020130230716313237,0.00013104171783524522,342.38,225280,25.0
