avg_q_selected,avg_q_retraced,policy_gradient_bias_correction,grad_norm,model_prob_std,epoch_idx,fps,policy_entropy,policy_loss,P01:episode_rewards,q_loss,explained_variance,rollout_prob_std,policy_gradient_loss,advantage_norm,P09:episode_rewards,PMM:episode_rewards,episode_length,frames
0.010849051146457593,0.010917980220013609,0.0,0.0569471778901026,0.010211993606450658,1,321,2.179248583316803,-5.4174663637240884e-05,0.0,0.0004213275829291282,-63.676223818461104,0.010211993839281302,-5.4174663637240884e-05,0.0332394019390146,0.0,0.0,0,7200
0.007415416883304715,0.007159083414201935,0.0,0.025372905355592713,0.004875458024131755,2,191,2.1943737268447876,-0.00017959093626510972,0.0,9.140798536767155e-05,-59.750770250956215,0.004875458020251244,-0.00017959093626510972,0.0173888493484507,0.0,0.0,0,14400
0.004096355312503875,0.004073514432335893,0.0,0.003130716910227641,0.0022505321617548664,3,225,2.1968797206878663,-8.394887803054492e-05,0.0,1.4885034746233335e-05,-32.73637183507284,0.002250532239365081,-8.394887803054492e-05,0.013052799676855405,0.0,0.0,0,21600
0.005841146044743558,0.005863701365888119,0.0,0.0034019809031241672,0.004184624350940188,4,254,2.1964577198028565,-0.00014245823297756032,0.0,2.6293028713553213e-05,-54.71451501846313,0.004184624300493548,-0.00014245823297756032,0.030701294479270776,0.0,0.0,0,28800
0.003494518700366219,0.0035202670842409134,0.0,0.0013094916341650704,0.0017807615047786384,5,279,2.1970077037811278,-7.08003204332878e-05,0.0,1.2922773491178911e-05,-117.25888040860494,0.0017807615047786384,-7.08003204332878e-05,0.01308885810431093,0.0,0.0,0,36000
0.0036980040875884395,0.00372461803490296,0.0,0.0017709691452755829,0.0024436394955652456,6,300,2.196901623408,-0.00010022499473431405,0.0,1.3265746383694932e-05,-46.145194625854494,0.0024436394936249903,-0.00010022499473431405,0.020239626864592235,0.0,0.0,3324.9166666666665,43200
0.002734398888424039,0.0027539200071866315,0.0,0.0011353811312561797,0.0009406621451489627,7,317,2.1971545219421387,-5.539619766447383e-05,0.0,7.722093626701583e-06,-69.40062065124512,0.0009406621373879413,-5.539619766447383e-05,0.006971555661099652,0.0,0.0,3324.9166666666665,50400
0.0032306418327304226,0.0031680213830744225,0.0,0.0010507920247439606,0.0010133595225246003,8,332,2.1971620162328085,-7.708994993057179e-05,0.0,4.30271360680005e-06,-42.428719488779706,0.001013359553568686,-7.708994993057179e-05,0.005841269724381467,0.0,0.0,3324.9166666666665,57600
0.0031458735543613632,0.0030673424790923793,0.0,0.0010288977534085818,0.0017183504552425197,9,344,2.1970582167307535,-6.314406109595439e-05,0.0,6.737863486705464e-06,-28.565970293680827,0.0017183504765853285,-6.314406109595439e-05,0.014293521984169881,0.0,0.0,3324.9166666666665,64800
0.002306655441255619,0.002243744523730129,0.0,0.000732892725917461,0.00120662534609437,10,356,2.197120364507039,-5.712319974312171e-05,0.0,5.014309590478661e-06,-236.90537219047548,0.0012066253179606671,-5.712319974312171e-05,0.010245492538282027,0.0,0.0,3324.9166666666665,72000
0.002594064319661508,0.0026448026997968554,0.0,0.0010403841403429268,0.0018995934631675481,11,364,2.1970532099405924,-4.9507914991409055e-05,0.0,5.890934236655691e-06,-59.25705308914185,0.0018995934767493357,-4.9507914991409055e-05,0.017291872816470762,0.0,0.0,3324.9166666666665,79200
0.0013056480830224851,0.0012601950341680397,0.0,0.0003618795178653287,0.0005613253830233589,12,371,2.1972015062967936,-4.1377937774692936e-05,0.0,2.4784821789580747e-06,-116.94752157529196,0.0005613253820532312,-4.1377937774692936e-05,0.004461613801928858,0.0,0.0,3324.2916666666665,86400
0.002017398465735217,0.0020071163928757113,0.0,0.0006308786264613215,0.0005554144474444911,13,378,2.1971994717915853,-3.960653375543188e-05,0.0,2.311521512865511e-06,-92.82383604049683,0.0005554144493847465,-3.960653375543188e-05,0.003220168912472824,0.0,0.0,3324.2916666666665,93600
0.0014067732243953893,0.0013692108914256096,0.0,0.00045585734312237377,0.0005409478433042144,14,384,2.1972013155619305,-3.789503665908948e-05,0.0,1.6286699898652537e-06,-77.79795246124267,0.0005409478733781725,-3.789503665908948e-05,0.004011922500406702,0.0,0.0,3324.2916666666665,100800
0.0018240244438250859,0.0018634368064037214,0.0,0.0008352041388171212,0.0015889807749772445,15,389,2.1971155643463134,-3.891909702247176e-05,0.0,4.100891663938455e-06,-86.97091414133708,0.0015889807788577552,-3.891909702247176e-05,0.014751115020286913,0.0,0.0,3324.2916666666665,108000
0.0009540740478162965,0.0009323985606897623,0.0,0.0003109095944200722,0.0005397570794836308,16,395,2.19719766775767,-1.7038798326514855e-05,0.0,1.5313240055547795e-06,-497.3670202891032,0.0005397571056770782,-1.7038798326514855e-05,0.004478970847170179,0.0,0.0,3324.2916666666665,115200
0.0011778088661681286,0.0011577541749053155,7.620685001559953e-09,0.0006370291236822479,0.0012819097242385078,17,396,2.197146961045644,-3.108948294677955e-05,0.0,2.8206318521818547e-06,-26.576781368274535,0.0018855460612717757,-3.109710363201796e-05,0.011948806819568817,0.0,0.0,3324.3333333333335,122400
0.0006310807088933264,0.0006282629707641685,1.3875949870604623e-08,0.0002819824280824664,0.0005491991289456671,18,391,2.1972091887836105,-1.3167132682605262e-05,0.0,7.741436896984462e-07,-23.196093538980634,0.0025174535561793988,-1.318100863145742e-05,0.0055893866563996265,0.0,0.0,3324.3333333333335,129600
