epoch_idx,policy_entropy,value_loss,episode_length,P09:episode_rewards,policy_loss,explained_variance,grad_norm,frames,P01:episode_rewards,advantage_norm,fps,PMM:episode_rewards
1,1.3178806856274605,0.06517963930657061,167.76923076923077,3.200000000000003,-0.020630429004668258,-3.1881217122077943,1.9420697570035426,8000,0.0,2.0043981058523057,202,1.0769230769230769
2,1.3267002511024475,0.015678921886574243,179.74074074074073,4.0,0.0024600101145915688,-0.011609090566635132,0.2718162940911225,16000,0.0,1.3343765312433242,182,1.3950617283950617
3,1.339812891483307,0.013046147166896845,193.32,7.0,0.002196599974995479,0.031783713698387145,0.25429333564217793,24000,0.0,1.1363776616752148,187,1.82
4,1.3616965806484223,0.013095731346184039,183.28,4.0,0.001642103921767557,-0.004914334416389466,0.25447003167696103,32000,0.0,1.186284762173891,188,1.53
5,1.3724989914894103,0.014238133325088711,179.75,4.0,0.004322291072458029,0.03494801342487335,0.27094696829276754,40000,0.0,1.2470219466090202,198,1.39
6,1.3541384708881379,0.015019374436669751,191.26,5.0,-0.004230238606323837,0.2266905152797699,0.3258431627114133,48000,0.0,1.3318132051825524,197,1.64
7,1.3563496446609498,0.017263999372371473,204.66,5.1000000000000085,-0.0028016175361699424,0.31375356554985045,0.43340249751438764,56000,0.0,1.4587417361140251,197,2.01
8,1.3722361350059509,0.01340928233024897,189.23,5.0,-0.005495069139578845,0.44148894369602204,0.38934834119265266,64000,0.0,1.262665262967348,200,1.61
9,1.368483082652092,0.015328834808897226,184.27,4.0,0.0009702044715959346,0.46677748441696165,0.42369001156767827,72000,0.0,1.4048572328686715,201,1.47
10,1.3599404001235962,0.011975117801048327,185.56,4.0,0.0021059711324051024,0.33711406171321867,0.33821274300433535,80000,0.0,1.1992756067216397,202,1.46
11,1.3602208840847014,0.013606762125564274,177.95,3.0,-0.0038627568259835244,0.1894294399023056,0.35953989107046075,88000,0.0,1.2772238864004613,202,1.31
12,1.373892993927002,0.01174322869235766,175.99,3.0,-0.006595054020290263,0.6595122510194779,0.3753998691412868,96000,0.0,1.2607883593440057,203,1.26
13,1.3314087641239167,0.012758951369905845,173.04,3.0,-0.0043174789895419965,0.7474580645561218,0.35877142325052747,104000,0.0,1.3183774104714394,204,1.18
14,1.3215833795070648,0.009753669999772683,195.85,5.1000000000000085,-0.002472470124339452,0.8104573178291321,0.36222026022745196,112000,0.0,1.1702695879340173,204,1.81
15,1.3536907410621644,0.009387210906716063,199.63,5.200000000000017,-0.0019986509007867428,0.8826578682661057,0.33675677883058314,120000,0.0,1.149029493033886,206,1.93
16,1.3582319593429566,0.008606433413224295,203.72,5.0,0.0007872437458718196,0.8690601217746735,0.2956868368919232,128000,0.0,1.0905322167277336,206,1.97
17,1.3460888624191285,0.006858553934143856,216.11,6.0,-0.0011334117545629852,0.9110585290193558,0.27305861895074157,136000,0.0,0.9950956413149834,206,2.32
18,1.3466127562522887,0.006800669288495555,207.73,5.0,-0.0021146237954963,0.9240496134757996,0.2725216380027488,144000,0.0,0.935107735991478,207,2.02
19,1.3176908659934998,0.006356928114546463,208.08,5.0,-0.001194888790269033,0.9444060552120209,0.28927068873084116,152000,0.0,0.9418235132098198,208,2.04
20,1.3352465057373046,0.003921148621593602,205.13,5.1000000000000085,-0.0007641966547816992,0.9650301301479339,0.20779820472160707,160000,0.0,0.7135906723141671,208,2.01
21,1.3412021136283874,0.0037215623579686507,215.77,5.1000000000000085,-0.0007687146864191163,0.9639213681221008,0.18694103696302855,168000,0.0,0.7043167901039123,210,2.3
22,1.3466604268550872,0.008351745943073183,219.84,6.1000000000000085,-0.0013353468841523863,0.8664452534914017,0.2768700656033401,176000,0.0,1.025892541408539,210,2.41
23,1.3630800831317902,0.005707894038059749,215.54,6.0,-0.0009419575246283785,0.9386100149154664,0.23407345484601702,184000,0.0,0.8749426224827767,212,2.28
24,1.3563400685787201,0.008577040142263286,203.28,6.0,-0.00017852651129942387,0.8877328968048096,0.2941998602015276,192000,0.0,1.0454921254515648,213,1.97
25,1.3446817600727081,0.005037221015081741,204.53,5.0,-0.000711758283432573,0.956936399936676,0.22301973079070472,200000,0.0,0.8142848367989063,214,1.96
26,1.3296836841106414,0.004115159994107671,208.94,5.0,-0.0013217657616223732,0.9645877683162689,0.1787849995030509,208000,0.0,0.7206085553765297,215,2.12
27,1.3373522973060608,0.0055090051188017245,210.01,5.0,-0.0012637774009635905,0.9432133531570435,0.2257823461142138,216000,0.0,0.8061045828461647,215,2.19
28,1.3449977016448975,0.004733681828365661,220.12,6.0,-5.7623240645625626e-05,0.9572165036201477,0.20849750697533373,224000,0.0,0.7617358951270581,216,2.39
29,1.3440859389305115,0.006280147035722621,214.11,5.0,-0.0016818984714336693,0.9325879085063934,0.2361240315749523,232000,0.0,0.88889763712883,214,2.23
30,1.3557009649276734,0.005930650997906923,205.9,5.0,-0.001991683873347938,0.9298050743341446,0.23907044604462194,240000,0.0,0.8489208218455314,215,1.95
31,1.3369647979736328,0.003937123659125063,201.55,5.0,-0.0007973524965927937,0.9584312397241592,0.17692646392139763,248000,0.0,0.6892997987568379,214,1.84
32,1.3699901914596557,0.006071112896024715,206.55,5.0,-0.00032556266229221364,0.9125913900136947,0.22706206517086844,256000,0.0,0.8806326201558113,214,2.01
33,1.3635542833805083,0.00519597129401518,200.33,5.0,-0.0002632022918987786,0.9325982624292374,0.21384548849386675,264000,0.0,0.8219421005249024,215,1.88
34,1.353280793428421,0.003622335941181518,199.45,5.0,-0.0012108113485737703,0.9567787545919418,0.17221094958695424,272000,0.0,0.6589291079342365,214,1.79
