P01:episode_rewards,grad_norm,fps,frames,explained_variance,policy_entropy,avg_q_retraced,rollout_prob_std,q_loss,advantage_norm,episode_length,policy_gradient_bias_correction,P09:episode_rewards,epoch_idx,model_prob_std,policy_gradient_loss,policy_loss,avg_q_selected,PMM:episode_rewards
0.0,0.03304145161013882,255,7200,-14.414212306340536,2.1901031891504923,-0.0073469894782950485,0.008152918936684728,0.00011304935133011895,0.04089731226364771,0,0.0,0.0,1,0.00815291937130193,0.00016634342546240077,0.00016634342546240077,-0.00741208220521609,0.0
0.0,0.21035910343389028,228,14400,-20.415319220225015,2.155595012505849,-0.01486656186170876,0.018322999759887656,0.0009171441882244835,0.07889010552316904,0,0.0,0.0,2,0.018323000667927167,0.0006361378069717224,0.0006361378069717224,-0.01573390148890515,0.0
0.0,0.00537714893052115,277,21600,-20.15106922785441,2.19644771416982,-0.003855295362882316,0.003395653597544879,2.3744058550316063e-05,0.022645658658196528,0,0.0,0.0,3,0.0033956537139602006,4.2727197933345454e-05,4.2727197933345454e-05,-0.0037424230327208837,0.0
0.0,0.0027615392167413544,312,28800,-10.906999874114991,2.1968841473261516,-0.002729132166132331,0.0028657093915777903,9.863813291606978e-06,0.020476646224657693,0,0.0,0.0,4,0.002865709461426983,0.00010037403421847557,0.00010037403421847557,-0.002840125747025013,0.0
0.0,0.0016389509997441804,337,36000,-8.808816957473756,2.197053798039754,-0.002063990345535179,0.0018096720256532233,3.1917356295707577e-06,0.011955786651621262,0,0.0,0.0,5,0.0018096721343075237,3.695695637304652e-05,3.695695637304652e-05,-0.00204917888622731,0.0
0.0,0.0015006713008530277,355,43200,-9.584932470321656,2.197030766805013,-0.0020116280880756675,0.0020949232663648822,4.4074589861035445e-06,0.015659076254814865,3325.0,0.0,0.0,6,0.0020949232741259037,7.01748876357063e-05,7.01748876357063e-05,-0.00206196717141817,0.0
0.0,0.0023661473317493848,371,50400,-9.852841552098592,2.197022525469462,-0.0018406099329392116,0.0015392051660455762,6.5228342729521195e-06,0.012514658241222302,3325.0,0.0,0.0,7,0.00153920518544813,4.883899166543415e-05,4.883899166543415e-05,-0.0018737314967438579,0.0
0.0,0.0021253684243542448,383,57600,-10.882385842005412,2.1969900051752727,-0.0029282571049407125,0.0017910171649418772,4.671081584698792e-06,0.01244966872036457,3325.0,0.0,0.0,8,0.0017910171843444308,6.209213458987505e-05,6.209213458987505e-05,-0.002915721732036521,0.0
0.0,0.001099393070049278,394,64800,-11.641002782185872,2.1971124172210694,-0.0016089837105634313,0.0015837308213425179,2.8149879502355665e-06,0.011325316891695062,3325.0,0.0,0.0,9,0.001583730864028136,6.891632772578759e-05,6.891632772578759e-05,-0.0016856105571302275,0.0
0.0,0.0007415719086892518,403,72000,-10.154061015446981,2.1971561272939044,-0.0013077292630138497,0.0011929300439078362,1.6316956475748156e-06,0.008697824366390706,3325.0,0.0,0.0,10,0.0011929300885337095,3.6203567363675876e-05,3.6203567363675876e-05,-0.0013245665972741942,0.0
