advantage_norm,grad_norm,q_loss,policy_loss,avg_q_selected,episode_length,explained_variance,PMM:episode_rewards,frames,epoch_idx,model_prob_std,policy_gradient_loss,policy_gradient_bias_correction,rollout_prob_std,P01:episode_rewards,fps,P09:episode_rewards,policy_entropy,avg_q_retraced
0.10438698629538218,0.03960690188384619,0.0007200252827412138,0.0003907388159859693,-0.033196485104660195,0,-10.266000986099243,0.0,7200,1,0.0757491177568833,0.0003907388159859693,0.0,0.07574911875029405,0.0,493,0.0,1.9829585115114847,-0.03371948804706335
0.3463427536189556,0.10743513509683188,0.0013398692935879808,0.0011867109926546012,-0.12340873144567013,0,-3.956125885248184,0.0,14400,2,0.2374272684256236,0.0011867110004156226,-7.200567205266315e-12,0.2374272679289182,0.0,650,0.0,0.6807631730722884,-0.12300951997749507
0.08194620398183664,0.031864330725000875,0.00039794632624155687,0.0007028250390552178,-0.0634463363327086,0,-29.791151118278503,0.0,21600,3,0.12389442771673202,0.0007028250390552178,1.6988782884815034e-13,0.12389442945520084,0.0,768,0.0,1.6744710450371108,-0.06253963864097993
0.055947721873720484,0.013917794103791023,0.00016240919236831057,0.0009990295278839768,-0.048081827660401665,0,-17.89310574531555,0.0,28800,4,0.05365625210106373,0.0009990295278839768,0.0,0.05365625110765298,0.0,717,0.0,2.066521684328715,-0.04767717340340217
0.04203120755652587,0.00659335712311805,4.1297153711639115e-05,0.0010003643770081301,-0.04943112898617983,0,-6.74568323691686,0.0,36000,5,0.08823395601163307,0.0010003643770081301,0.0,0.08823395638416211,0.0,771,0.0,1.9250391999880472,-0.04899434900532166
0.04957354931781689,0.007133619353988933,6.580163365773235e-05,0.0006414797877975312,-0.03132695245246093,3324.6666666666665,-11.250634320576985,0.0,43200,6,0.03813010373463233,0.0006414797877975312,0.0,0.03813010398298502,0.0,807,0.0,2.1386603832244875,-0.030983587106068928
0.04117798066387574,0.005803070784808155,2.768785649701992e-05,0.0001724829622010778,-0.03760572702934344,3324.6666666666665,-5.001489744583766,0.0,50400,7,0.09843420510490736,0.0001724829622010778,4.0553609698590253e-14,0.09843420448402564,0.0,738,0.0,1.735217243929704,-0.03733366106947263
0.06107747703790665,0.008535013852275702,3.667506274117234e-05,0.00011251883059533914,-0.041628986783325675,3324.6666666666665,-4.843494701385498,0.0,57600,8,0.2139322673281034,0.0001125188304437567,3.99246119088645e-13,0.21393226720392705,0.0,691,0.0,0.8688627173503239,-0.040997426491230726
0.03788123230139415,0.004849306771960881,3.952154638682259e-05,0.00024516286260526006,-0.013367234791318575,3324.6666666666665,-7.135538276036581,0.0,64800,9,0.038737836418052514,0.00024516286260526006,0.0,0.03873783648014069,0.0,657,0.0,2.135650555292765,-0.013116927600155275
0.03345806815971931,0.004276464054619051,2.4288433572413244e-05,0.00031277699260196337,-0.017053403053432704,3324.6666666666665,-5.862675793965658,0.0,72000,10,0.07010500282049179,0.00031277699260196337,0.0,0.07010500375181436,0.0,621,0.0,2.0131632645924884,-0.016931185219436883
0.043096833303570746,0.005093818583486462,3.7070210464662526e-05,0.0003300718379856941,-0.018300839886069297,3324.6666666666665,-6.281653491655986,0.0,79200,11,0.042675254431863624,0.0003300718379856941,0.0,0.04267525480439265,0.0,594,0.0,2.113913822174072,-0.018049529008567333
0.026706930249929428,0.0030213102332414055,1.5115263674185067e-05,0.00012005102195568421,-0.004480752541470187,3324.0,-6.6774622639020285,0.0,86400,12,0.03470828793942928,0.00012005102195568421,0.0,0.03470828781525294,0.0,567,0.0,2.1513604561487836,-0.0044837882436695505
0.05849846384177605,0.0033864416385942153,1.696897394746581e-05,-0.0001140069096455439,-0.012377494558071097,3324.0,-1.4398442387580872,0.0,93600,13,0.22001754343509675,-0.0001140069096455439,1.5462047915637997e-15,0.22001754269003868,0.0,556,0.0,0.7559750609720747,-0.012282619609807928
0.04245847376684348,0.004333789543657185,1.731093962007435e-05,0.0001806774341645223,-0.014176048115283871,3324.0,-3.25037162899971,0.0,100800,14,0.13372029289603232,0.0001806774341645223,0.0,0.13372029215097428,0.0,546,0.0,1.573662484406183,-0.014091199824179057
0.04448372330516577,0.005081992257130161,3.7132585415141266e-05,0.00033064777502052795,-0.01837045236801108,3324.0,-6.44218168258667,0.0,108000,15,0.049850845833619435,0.00033064777502052795,0.0,0.04985084595779578,0.0,538,0.0,2.0856105287869773,-0.018384549332161746
0.03139340151101351,0.004361011127001518,1.647215663069801e-05,0.00038635569997040874,-0.018068199154610436,3324.0,-4.742979804674785,0.0,115200,16,0.09924387217809756,0.00038635569997040874,0.0,0.09924387410283089,0.0,532,0.0,1.8730565508206685,-0.017903171991929413
0.04729885780718178,0.025209145599354745,0.0002612820410048597,-1.624037374692005e-05,-0.008660499559902949,3324.1388888888887,-19.477949799332354,0.0,122400,17,0.06956951228384342,0.00020748079757071183,-0.00022372116639190077,0.06866976439021527,0.0,517,0.0,1.978323920302921,-0.007651043465981879
0.10887264325002594,0.04876897622547936,0.0005859669609214638,-0.0004328844185748917,0.07969400560909846,3324.1388888888887,-1.3347514637027469,0.0,129600,18,0.21877805222653676,-0.00031469305291021983,-0.0001181913651428536,0.14733070691574424,0.0,497,0.0,0.9777372993400786,0.08235587230170727
0.17939502818332545,0.02042717029084592,0.00037807245848113334,-0.0003835522224355574,0.08128078676810088,3324.1388888888887,-2.316827168876216,0.0,136800,19,0.2891589655549753,-0.0001526467379545422,-0.00023090548536164402,0.18651334649750165,0.0,478,0.0,0.34472888129545254,0.08004430874644425
