#{"t_start": 1542727505.0528018, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,5.793655
3.0,234,8.37968
0.0,127,9.736637
0.0,129,12.35779
1.0,153,14.134441
1.0,175,16.078742
1.0,174,18.061395
3.0,253,23.605864
0.0,125,25.2326
0.0,127,27.13409
0.0,129,29.398959
1.0,173,32.279653
0.0,125,34.120943
3.0,230,38.598729
1.0,171,41.324438
2.0,184,44.249717
0.0,127,46.41222
0.0,127,48.358208
3.0,254,52.615715
0.0,129,54.686532
0.0,127,56.825769
1.0,155,59.302889
0.0,127,61.295705
2.0,223,65.166121
3.0,270,69.673904
0.0,129,71.720641
4.0,301,77.038253
3.0,270,81.53846
5.0,349,87.783362
0.0,127,89.84155
0.0,129,92.147318
0.0,129,94.222324
1.0,172,97.120312
0.0,127,99.151119
0.0,125,101.375183
1.0,153,103.964919
0.0,127,106.06975
4.0,284,111.133658
2.0,205,114.472773
1.0,171,117.368293
0.0,123,119.602667
0.0,127,121.675832
0.0,127,123.827373
0.0,129,125.896747
4.0,297,131.141716
1.0,171,133.950659
0.0,125,136.234563
2.0,225,140.320467
1.0,175,143.271985
1.0,155,145.901712
2.0,202,149.537275
0.0,127,151.718657
1.0,173,154.624272
3.0,228,158.673856
0.0,129,160.791797
2.0,202,164.161041
0.0,127,166.684082
4.0,297,171.865431
6.0,361,178.147389
0.0,125,180.251176
0.0,125,182.315284
4.0,244,186.63049
2.0,224,190.392862
0.0,127,192.371848
1.0,177,195.536424
0.0,127,197.619012
1.0,178,200.558421
1.0,170,203.514923
1.0,175,206.365825
0.0,123,208.31895
0.0,129,210.416309
5.0,333,216.265226
0.0,127,218.260582
0.0,125,220.152123
0.0,127,222.317021
6.0,399,229.08075
0.0,129,231.23903
5.0,350,237.011945
10.0,455,244.966847
0.0,129,247.050121
5.0,350,253.060902
9.0,404,260.180243
9.0,404,267.188011
0.0,125,269.160801
3.0,248,273.261542
0.0,125,275.395526
0.0,125,277.357194
0.0,125,279.37783
0.0,127,281.428072
0.0,127,283.376049
2.0,202,286.724448
1.0,178,289.590721
3.0,248,294.008787
0.0,125,296.006523
0.0,125,297.93374
2.0,202,301.280606
2.0,202,304.827741
2.0,200,308.217227
3.0,248,312.574728
2.0,205,315.888766
0.0,127,317.954299
1.0,172,320.912944
4.0,297,326.001948
2.0,198,329.374348
0.0,127,331.337481
1.0,173,334.061856
2.0,202,337.416786
13.0,459,345.231397
0.0,129,347.612936
0.0,127,349.59238
0.0,129,351.569916
0.0,129,353.488791
0.0,129,355.524306
2.0,202,359.00351
0.0,129,361.051225
9.0,403,368.038638
4.0,297,372.877594
0.0,125,375.022419
0.0,125,377.039822
0.0,129,379.032871
0.0,129,381.102489
2.0,202,384.382967
2.0,198,387.586307
9.0,403,394.608103
2.0,202,397.912094
5.0,348,403.820081
0.0,125,405.755796
0.0,127,407.664771
2.0,187,410.882114
0.0,129,412.798224
5.0,329,418.562791
4.0,278,423.001945
5.0,347,429.085839
0.0,129,431.034474
0.0,125,432.9538
0.0,129,435.026347
0.0,129,437.34813
1.0,157,439.823768
10.0,454,447.885937
0.0,129,449.906464
0.0,129,451.987978
1.0,158,454.742397
0.0,125,456.713859
0.0,125,458.683813
0.0,127,460.746263
0.0,127,462.750755
0.0,129,464.927013
0.0,129,466.928768
0.0,129,469.041862
9.0,404,475.846344
5.0,350,481.971863
6.0,377,488.377701
4.0,297,493.474011
2.0,184,496.335966
1.0,155,499.006089
5.0,352,504.721717
0.0,125,506.656833
0.0,125,508.793435
5.0,350,514.501553
0.0,129,516.643163
